stem,dataset,model,seed,early_slope,early_intercept,epoch20_log_mse,extrapolated_epoch200_log_mse,final_mse,final_log_mse,material,predicted_material
bank_marketing_subscription__ft_transformer__seed8101,bank_marketing_subscription,ft_transformer,8101,0.1228944634355454,-4.287611891813255,-1.9880488528317444,20.291280795295823,0.04905405493168553,-1.3093250869248534,True,True
bank_marketing_subscription__ft_transformer__seed8202,bank_marketing_subscription,ft_transformer,8202,0.12685170315793382,-4.369732361315678,-1.9951735024986537,21.000608270271087,0.04483429342446025,-1.3483896702069444,True,True
bank_marketing_subscription__ft_transformer__seed8303,bank_marketing_subscription,ft_transformer,8303,0.11013337009946429,-4.079091749089894,-1.9719245071292737,17.947582270802965,0.044501947710791544,-1.3516209808946171,True,True
bank_marketing_subscription__ft_transformer__seed8404,bank_marketing_subscription,ft_transformer,8404,0.1308769787118368,-4.423647671200247,-1.9509394888082312,21.75174807116711,0.050284489891236656,-1.29856595119429,True,True
bank_marketing_subscription__mlp__seed8202,bank_marketing_subscription,mlp,8202,0.019420205262889477,-15.4093682358328,-15.017716742919303,-11.525327183254904,2.5654600483376835e-12,-11.590834744182086,False,False
bank_marketing_subscription__mlp__seed8303,bank_marketing_subscription,mlp,8303,0.00520423757454836,-15.338639083311643,-15.238999271189535,-14.297791568401971,4.245089426023392e-11,-10.37211315658153,False,False
bank_marketing_subscription__mlp__seed8404,bank_marketing_subscription,mlp,8404,0.00923408380537122,-15.353560469622897,-15.175529548362432,-13.506743708548653,2.7559612260352854e-12,-11.559726896865055,False,False
bank_marketing_subscription__resnet__seed8202,bank_marketing_subscription,resnet,8202,0.2020467158783703,-16.01853839670043,-11.889168498450525,24.39080477897363,0.027197406343091274,-1.5654725101051872,True,True
bank_marketing_subscription__resnet__seed8303,bank_marketing_subscription,resnet,8303,0.1787365963933073,-15.668289067068468,-12.054394868412498,20.07903021159299,0.02271025577343651,-1.643777974526783,True,True
bank_marketing_subscription__resnet__seed8404,bank_marketing_subscription,resnet,8404,0.17515028977568278,-15.864263126747534,-12.276723322220784,19.16579482838902,0.023914043609041123,-1.621346983122416,True,True
credit_card_default__ft_transformer__seed8101,credit_card_default,ft_transformer,8101,0.10651193365640586,-4.405733153614525,-2.2887294950266686,16.896653577666648,0.06375827970075844,-1.1954634094059675,True,True
