stem,dataset,model,seed,action,fp32_final_mse,iea64_final_mse,final_ratio,eligible_fp32_material,iea64_final_win,material_rescue,twofold_worsening,iea64_exact_final
bank_marketing_subscription__ft_transformer__seed8303,bank_marketing_subscription,ft_transformer,8303,1,0.04549134074322211,0.026506552381047096,0.5826724811357948,True,True,False,False,False
bank_marketing_subscription__ft_transformer__seed8303,bank_marketing_subscription,ft_transformer,8303,2,0.044425379334495634,0.02750912292526488,0.6192208898912983,True,True,False,False,False
bank_marketing_subscription__ft_transformer__seed8303,bank_marketing_subscription,ft_transformer,8303,3,0.04358912305465689,0.02750912292526488,0.6311006278050347,True,True,False,False,False
bank_marketing_subscription__ft_transformer__seed8404,bank_marketing_subscription,ft_transformer,8404,1,0.05190656920189081,0.0,1.9265384235095487e-29,True,True,True,False,True
bank_marketing_subscription__ft_transformer__seed8404,bank_marketing_subscription,ft_transformer,8404,2,0.048820453959481314,0.0,2.0483217973146114e-29,True,True,True,False,True
bank_marketing_subscription__ft_transformer__seed8404,bank_marketing_subscription,ft_transformer,8404,3,0.050126446512337844,0.0,1.9949548982169835e-29,True,True,True,False,True
bank_marketing_subscription__mlp__seed8303,bank_marketing_subscription,mlp,8303,1,1.7061453071879636e-11,1.0537958862573823e-14,0.0006176472084867314,False,True,False,False,False
bank_marketing_subscription__mlp__seed8303,bank_marketing_subscription,mlp,8303,2,8.714733651799878e-11,0.0,1.147481999973077e-20,False,True,False,False,True
bank_marketing_subscription__mlp__seed8303,bank_marketing_subscription,mlp,8303,3,2.3143893190823357e-11,0.0,4.32079422314524e-20,False,True,False,False,True
bank_marketing_subscription__mlp__seed8404,bank_marketing_subscription,mlp,8404,1,2.7493852410585144e-12,0.0,3.637176722513429e-19,False,True,False,False,True
bank_marketing_subscription__mlp__seed8404,bank_marketing_subscription,mlp,8404,2,2.1739252160466244e-12,0.0,4.599974242989567e-19,False,True,False,False,True
