backbone,source,task,split,operator,validation_gain,validation_se,test_gain,validation_states,test_states,ordinary_dimensions,oof_finite
tabm,ACS,acs_occupation,0,harmonic,0.0004914864987082,0.0007643137446898,0.0011543778269545,86,88,10,True
tabm,ACS,acs_occupation,0,kernel_ridge,0.0251349782481823,0.0039773406789866,0.022825444308477,86,88,10,True
tabm,ACS,acs_occupation,0,knn_1,0.0154292241883425,0.0079815486816763,0.0139782124097105,86,88,10,True
tabm,ACS,acs_occupation,0,knn_10,0.0191512623454327,0.0039898129159777,0.0196511207615644,86,88,10,True
tabm,ACS,acs_occupation,0,knn_3,0.0239568414377017,0.0049597447800148,0.0178060402173088,86,88,10,True
tabm,ACS,acs_occupation,0,knn_5,0.024126444108604,0.0042617554069469,0.0241652154607907,86,88,10,True
tabm,ACS,acs_occupation,0,rbf,0.000295210755809,0.0007622129373438,0.0009327095733541,86,88,10,True
tabm,ACS,acs_occupation,0,rbf_double,0.0001835985530414,0.0007650052417694,0.0008252868538079,86,88,10,True
tabm,ACS,acs_occupation,0,rbf_half,0.0008235646614439,0.0007536669454181,0.0014336948336959,86,88,10,True
tabm,ACS,acs_occupation,1,harmonic,0.0002037723207888,0.0002544333022457,0.0001623256422724,86,88,10,True
tabm,ACS,acs_occupation,1,kernel_ridge,0.0341951631172405,0.0052609529163336,0.014187308355511,86,88,10,True
tabm,ACS,acs_occupation,1,knn_1,0.0205348147772295,0.0100841374121475,-0.0006713258305646,86,88,10,True
tabm,ACS,acs_occupation,1,knn_10,0.0292911507663055,0.0048294900639936,0.0133524076336112,86,88,10,True
tabm,ACS,acs_occupation,1,knn_3,0.0378495891474648,0.006826552937864,0.0115357672680872,86,88,10,True
tabm,ACS,acs_occupation,1,knn_5,0.0372563575130706,0.0062143858390469,0.0138103337781681,86,88,10,True
tabm,ACS,acs_occupation,1,rbf,-9.904370638025924e-05,0.000267391442714,-6.799366245735091e-06,86,88,10,True
tabm,ACS,acs_occupation,1,rbf_double,-0.0002342306824781,0.0002739681851953,-8.629784000449676e-05,86,88,10,True
tabm,ACS,acs_occupation,1,rbf_half,0.0005350195365897,0.0002691972173305,0.0003587928791458,86,88,10,True
tabm,BTS,airline_origin_airport,0,harmonic,-0.0005926749295982,0.0003781662187541,-0.0001856093578505,43,43,328,True
tabm,BTS,airline_origin_airport,0,kernel_ridge,3.543758689793826e-05,0.0002967451376609,9.472613889692444e-05,43,43,328,True
tabm,BTS,airline_origin_airport,0,knn_1,-0.018650902442793,0.0072022590272891,-0.0240612637026717,43,43,328,True
