seed,n_train_per_schema,signal_scale,model,heldout_auroc,shuffled_auroc
3,100,0.5,structure_only,0.5742905797248201,0.5742905797248201
3,100,0.5,semantics,0.7472268514998859,0.34632620969194017
3,100,1.0,structure_only,0.653890730526093,0.653890730526093
3,100,1.0,semantics,0.8778942368389803,0.2633926462040388
3,100,1.5,structure_only,0.6351409290670904,0.6351409290670904
3,100,1.5,semantics,0.9180847838073956,0.2391763595661237
3,500,0.5,structure_only,0.5970225599324379,0.5970225599324379
3,500,0.5,semantics,0.7419451879681198,0.33505077299788744
3,500,1.0,structure_only,0.615825542429882,0.615825542429882
3,500,1.0,semantics,0.8698322458061452,0.26838170954273854
3,500,1.5,structure_only,0.6363112844475551,0.6363112844475551
3,500,1.5,semantics,0.9257641976000224,0.23665692684429757
3,1400,0.5,structure_only,0.5914030597702322,0.5914030597702322
3,1400,0.5,semantics,0.7607376075485983,0.326428420158566
3,1400,1.0,structure_only,0.6172900065604199,0.6172900065604199
3,1400,1.0,semantics,0.8743386815508372,0.26214974592320817
3,1400,1.5,structure_only,0.6270207823325173,0.6270207823325173
3,1400,1.5,semantics,0.9296669317983203,0.23423443922654902
11,100,0.5,structure_only,0.5811110277756943,0.5811110277756943
11,100,0.5,semantics,0.7583718709039113,0.3049319503741298
11,100,1.0,structure_only,0.6135007653843759,0.6135007653843759
11,100,1.0,semantics,0.8806380778351541,0.25525163752674207
11,100,1.5,structure_only,0.6409112931642,0.6409112931642
11,100,1.5,semantics,0.9289261789261788,0.24479074479074478
11,500,0.5,structure_only,0.5836443467892335,0.5836443467892335
11,500,0.5,semantics,0.7642771123946268,0.3212284350483293
11,500,1.0,structure_only,0.623665298768892,0.623665298768892
11,500,1.0,semantics,0.8709072380632361,0.2753031193996416
11,500,1.5,structure_only,0.6233417477845781,0.6233417477845781
11,500,1.5,semantics,0.9233514434057737,0.21394810579242315
11,1400,0.5,structure_only,0.5930483982620995,0.5930483982620995
11,1400,0.5,semantics,0.7676880805521005,0.32133664321375677
11,1400,1.0,structure_only,0.6106181370865974,0.6106181370865974
11,1400,1.0,semantics,0.8731090144407193,0.2657898560129071
11,1400,1.5,structure_only,0.6304400888720828,0.6304400888720828
11,1400,1.5,semantics,0.9249926989486486,0.2389859139716119
29,100,0.5,structure_only,0.5570695136256226,0.5570695136256226
29,100,0.5,semantics,0.7420266018306636,0.31445003080443584
29,100,1.0,structure_only,0.6129103790483529,0.6129103790483529
29,100,1.0,semantics,0.8636005157010773,0.26823082324135533
29,100,1.5,structure_only,0.6285481205942733,0.6285481205942733
29,100,1.5,semantics,0.9242850242608733,0.2440472857022853
29,500,0.5,structure_only,0.5594672378689515,0.5594672378689515
29,500,0.5,semantics,0.7673580277284436,0.31623930982895726
29,500,1.0,structure_only,0.6251438924109818,0.6251438924109818
29,500,1.0,semantics,0.8626450145014503,0.2590331533153315
29,500,1.5,structure_only,0.6354768945138225,0.6354768945138225
29,500,1.5,semantics,0.9222264805566203,0.24255831063957767
29,1400,0.5,structure_only,0.5864494060470167,0.5864494060470167
29,1400,0.5,semantics,0.7577970077970078,0.3348215848215848
29,1400,1.0,structure_only,0.6358735394508583,0.6358735394508583
29,1400,1.0,semantics,0.8759305285424641,0.25525888904819416
29,1400,1.5,structure_only,0.6226877761874106,0.6226877761874106
29,1400,1.5,semantics,0.9208450366715019,0.2389031842835206
47,100,0.5,structure_only,0.5856475676443329,0.5856475676443329
47,100,0.5,semantics,0.7467730059815865,0.3569653292997731
47,100,1.0,structure_only,0.618376392055186,0.618376392055186
47,100,1.0,semantics,0.8717663630754091,0.2668163621253321
47,100,1.5,structure_only,0.6292849681416496,0.6292849681416496
47,100,1.5,semantics,0.9247677680248447,0.2467379243999179
47,500,0.5,structure_only,0.5773553498684925,0.5773553498684925
47,500,0.5,semantics,0.7463824148900932,0.3358150988443678
47,500,1.0,structure_only,0.6339004472292493,0.6339004472292493
47,500,1.0,semantics,0.8649266533154383,0.27268207562560115
47,500,1.5,structure_only,0.6409213231676341,0.6409213231676341
47,500,1.5,semantics,0.9284111912115344,0.2293652786001184
47,1400,0.5,structure_only,0.5868642652752315,0.5868642652752315
47,1400,0.5,semantics,0.76347998527947,0.3273870359332936
47,1400,1.0,structure_only,0.6168896982203405,0.6168896982203405
47,1400,1.0,semantics,0.8787292212488709,0.2586776326253778
47,1400,1.5,structure_only,0.6466898454693708,0.6466898454693708
47,1400,1.5,semantics,0.9235145763390038,0.2212670130227382
71,100,0.5,structure_only,0.5924439156424045,0.5924439156424045
71,100,0.5,semantics,0.747662396156541,0.3341512361125013
71,100,1.0,structure_only,0.6176440582354141,0.6176440582354141
71,100,1.0,semantics,0.8741670003002703,0.2662095886297668
71,100,1.5,structure_only,0.6230069920279682,0.6230069920279682
71,100,1.5,semantics,0.9246016471113773,0.2152272387911312
71,500,0.5,structure_only,0.5820558965276188,0.5820558965276188
71,500,0.5,semantics,0.7426484214222316,0.34902445361925116
71,500,1.0,structure_only,0.623171021707314,0.623171021707314
71,500,1.0,semantics,0.872814491257965,0.2686453245812983
71,500,1.5,structure_only,0.6340034688130604,0.6340034688130604
71,500,1.5,semantics,0.9287349267465601,0.21522567235652235
71,1400,0.5,structure_only,0.5846893346893347,0.5846893346893347
71,1400,0.5,semantics,0.7480891949990481,0.3291300167934199
71,1400,1.0,structure_only,0.6152261105898453,0.6152261105898453
71,1400,1.0,semantics,0.8722681633196011,0.24922761946769006
71,1400,1.5,structure_only,0.6327559674372439,0.6327559674372439
71,1400,1.5,semantics,0.9283288767244976,0.2100908427942487
