shift,severity,mae,rmse,ensemble_variance,coverage_90,naive_mae,ood_score,n,error_ratio_vs_iid,uncertainty_ratio_vs_iid
combined,0.5,0.25135714,0.33475133777423655,0.0006008515,0.8363636363636363,0.49307927,0.46919379951838464,220,1.2801188,1.0497928
combined,1.0,0.3723259,0.45531385309192257,0.0007646685,0.6909090909090909,1.0012306,0.5111844782017523,220,1.896192,1.3360097
combined,1.5,0.44106075,0.5477139357117585,0.0011488595,0.7136363636363636,1.7747421,0.5679278149211963,220,2.2462468,2.0072587
covariate,0.5,0.18891896,0.2469054714968006,0.00064519624,0.9,0.71099263,0.4718032175807502,220,0.9621319,1.1272708
covariate,1.0,0.20018157,0.25730603172806066,0.00064290455,0.8636363636363636,0.6517872,0.49377334200849365,220,1.0194905,1.1232668
covariate,1.5,0.19150417,0.2379549610306587,0.0007346123,0.9454545454545454,0.5487112,0.5048702342226837,220,0.97529787,1.2834963
heterogeneous_effect,0.5,0.22245613,0.27877629300876644,0.0005807606,0.8363636363636363,0.6758973,0.46933059702726615,220,1.1329309,1.0146904
heterogeneous_effect,1.0,0.31916165,0.39886036192800006,0.00082516356,0.7954545454545454,0.68148875,0.4817953865099212,220,1.6254356,1.4417052
heterogeneous_effect,1.5,0.39720723,0.48908862342058107,0.0011225803,0.7863636363636364,0.7207379,0.4932294970276765,220,2.0229082,1.9613442
hidden_confounding,0.5,0.21214148,0.2756757663591626,0.00067910744,0.8545454545454545,0.65593004,0.4721843953743598,220,1.0804002,1.1865196
hidden_confounding,1.0,0.2574861,0.31658959823920707,0.00071309216,0.7909090909090909,1.2254539,0.49486226453661836,220,1.3113326,1.2458968
hidden_confounding,1.5,0.35382447,0.4505875442755316,0.0010903514,0.8136363636363636,2.1224394,0.525113595390787,220,1.8019674,1.9050347
iid,0.0,0.19635454,0.24953609730125584,0.0005723525,0.8681818181818182,0.6673428,0.46321540084418333,220,1.0,1.0
outcome_nonlinearity,0.5,0.18703757,0.23707797550381,0.0005290928,0.8818181818181818,0.43059206,0.4594789479895023,220,0.9525503,0.92441773
outcome_nonlinearity,1.0,0.15747072,0.1997280496868865,0.00054809236,0.9045454545454545,0.2844911,0.4559093893535411,220,0.8019714,0.9576133
outcome_nonlinearity,1.5,0.17030533,0.22001998198778513,0.00044159914,0.8727272727272727,0.2798382,0.4525420168231024,220,0.86733586,0.771551
treatment,0.5,0.21374555,0.2778449827470355,0.0005760856,0.8727272727272727,0.59196126,0.4653592810475304,220,1.0885694,1.0065224
treatment,1.0,0.2806468,0.35236467699774193,0.00057238946,0.7681818181818182,0.44099462,0.4674587583560824,220,1.429286,1.0000646
treatment,1.5,0.31095305,0.39242606829114246,0.00058164453,0.7318181818181818,0.35098857,0.47017922311860266,220,1.5836306,1.0162349
