nuisance_features,n_train,world,auroc_mean,accuracy_mean,mean_confidence_mean,causal_absolute_error_mean,plugin_ate_mean,runtime_seconds_mean,auroc_std,accuracy_std,mean_confidence_std,causal_absolute_error_std,plugin_ate_std,runtime_seconds_std,n
0,512,hidden_confounding,0.802455565019973,0.8004123263888889,0.8078144042222222,0.6170894198947483,0.617089422,0.43846771452162003,0.13641322602965683,0.1360357153184372,0.14128550507975562,0.28108549837016567,0.28108550084285416,0.10627948641200935,45
0,512,randomized_causal,0.7993635794425826,0.7985894097222223,0.805596153111111,0.033843089236153444,0.6114650537777778,0.5779058085547553,0.13581765631318746,0.1371436167355805,0.14499306831678305,0.022308167919620297,0.2911469914938843,0.31461619147537606,45
0,2048,hidden_confounding,0.7984716227311939,0.7993055555555556,0.8127394768888889,0.6260953426361084,0.6260953426666667,0.5767725944519043,0.13430050317800193,0.13351038751370026,0.13745046425382484,0.274258313655956,0.27425831482926977,0.22455688456830117,45
0,2048,randomized_causal,0.7976126302269918,0.797265625,0.8113072673333334,0.03229186455408726,0.6231927071111111,0.5249245590633816,0.13336908770867614,0.1352234393247465,0.14082178183360358,0.017344169637911265,0.2793417882432106,0.1824363108443682,45
4,512,hidden_confounding,0.7972295599010382,0.7955512152777777,0.8123552246666667,0.6258772234121959,0.6258772251111111,0.5980607562594944,0.13892704845097592,0.13873221799040433,0.13699976556347102,0.27413201237416357,0.2741320144170275,0.21647088727686642,45
4,512,randomized_causal,0.7983431219596776,0.7974392361111111,0.8148822353333333,0.03980503964424127,0.6290411611111111,0.5254054440392388,0.1346829455597093,0.1365395679410473,0.13504145300306444,0.02786404979061956,0.27208154197951,0.1894682058413045,45
4,2048,hidden_confounding,0.7970953000010206,0.7974609375,0.8109767624444444,0.6212388316790263,0.6212388324444444,0.5937381214565701,0.13503458073662247,0.1343757548724337,0.1409124720652812,0.28153023118386766,0.2815302318153192,0.18742120352649777,45
4,2048,randomized_causal,0.7988025518132793,0.7981553819444445,0.8139141542222222,0.030962230629391085,0.626888726888889,0.6313408692677815,0.13534736697588168,0.136953466056771,0.13696249006674335,0.0159091089918017,0.27449450588916885,0.19110896528413013,45
16,512,hidden_confounding,0.7964201156829875,0.7985026041666666,0.8093100635555555,0.6192527777618833,0.619252777111111,0.5632409837510851,0.13629786925444373,0.1336326368115392,0.1432514430361913,0.2871316196321397,0.2871316186600557,0.18584122393986097,45
16,512,randomized_causal,0.7929795902512369,0.7943359375,0.8047957271111111,0.03765184805128304,0.6100659422222222,0.5883375114864773,0.13478146689136755,0.1346450125208904,0.14723198165613258,0.03329939492336381,0.29474220037446885,0.20405126477821972,45
16,2048,hidden_confounding,0.7965658533709961,0.7967447916666667,0.8145216708888889,0.6284837126731873,0.6284837117777778,0.6336336930592855,0.13471900659941355,0.13440530124835892,0.13919404015942516,0.27858154146918673,0.2785815426095539,0.115162956092662,45
16,2048,randomized_causal,0.7988808595935613,0.7979166666666667,0.813446294888889,0.030306283500459403,0.626228376,0.7591288089752197,0.13606618420928304,0.13624349850628364,0.1363236920321635,0.014598809903816911,0.27370392169723456,0.18173864272684992,45
32,512,hidden_confounding,0.7979288178930528,0.7976779513888889,0.8080367535555556,0.617210633887185,0.6172106313333333,0.6056633313496907,0.1386999586635212,0.1379372397576231,0.13995544387962838,0.28031519836921465,0.2803151975416974,0.12693727250691914,45
32,512,randomized_causal,0.8008037658612813,0.7993706597222222,0.8035693295555556,0.04049857449531549,0.6086105808888889,0.6513150533040365,0.13313402152589204,0.1349331955000585,0.1454431393994829,0.03809666611605081,0.2919818280404247,0.21272737644346768,45
32,2048,hidden_confounding,0.796302938442479,0.7949652777777778,0.8130407020000001,0.6258621613184611,0.6258621604444444,0.8165879673428006,0.13847819613417411,0.13903307587748237,0.13845166674573645,0.27742065392436016,0.27742065410258526,0.198004329527902,45
32,2048,randomized_causal,0.799610747322763,0.7993055555555556,0.8156714191111111,0.03691455973519213,0.6309422184444444,0.8457080682118734,0.13406132752526126,0.13657482503815027,0.13891257458619236,0.02116798792936085,0.27849008889789006,0.1950435633433612,45
64,512,hidden_confounding,0.7966854980029823,0.7970703125,0.8112216933333334,0.622875393099255,0.6228753924444445,0.7490171326531304,0.13906080599731435,0.1397036182103067,0.13670848377132488,0.2744247876473984,0.274424786405293,0.14157016575380627,45
64,512,randomized_causal,0.7998288025631298,0.7985460069444444,0.8044417055555556,0.0359961396588219,0.6098862858666667,0.7589084519280328,0.13570124852116533,0.13765872939662135,0.14643375156648814,0.03183054557334976,0.2935003580962416,0.1470630336274518,45
64,2048,hidden_confounding,0.7978916813295504,0.7970486111111111,0.8124249882222222,0.6241856449180179,0.6241856442222222,1.2186708821190728,0.1351759749620278,0.13471274787013723,0.13804334877651536,0.27653500960281,0.27653501001820324,0.22149404122769087,45
64,2048,randomized_causal,0.8002151633341907,0.8011067708333334,0.8116842544444445,0.02890973077880006,0.6226399486666666,1.2598773744371203,0.1343209049561816,0.13342551671570613,0.13677571462744054,0.016301081485439517,0.2743550018611889,0.23290797108106395,45
