model,transform,meta_model,target,datasets,rows,group_folds,mae,fold_mean_baseline_mae,mae_improvement_fraction,r2,target_std
mitra_default,asinh,ridge,matched_normalized_loss_gap,8,16,5,0.000709607408500822,0.0005497249190765409,-0.2908408985586115,-1.2921754173379005,0.000730746183666022
mitra_default,asinh,random_forest,matched_normalized_loss_gap,8,16,5,0.0005939743869262978,0.0005497249190765409,-0.08049383667032894,-0.1856570867695806,0.000730746183666022
mitra_default,composition,ridge,matched_normalized_loss_gap,8,15,5,0.0014757693957853392,0.0004073212945837807,-2.623108871077676,-19.25188639644514,0.000577941092546287
mitra_default,composition,random_forest,matched_normalized_loss_gap,8,15,5,0.0004148486092424286,0.0004073212945837807,-0.018480042066888913,-0.08428011281237735,0.000577941092546287
mitra_default,monotone_spline,ridge,matched_normalized_loss_gap,8,16,5,0.0004427191975842333,0.000343237477646743,-0.28983350134007235,-0.898475278875273,0.0004720326733308422
mitra_default,monotone_spline,random_forest,matched_normalized_loss_gap,8,16,5,0.000429196190781384,0.000343237477646743,-0.25043510319438056,-0.3551741509966122,0.0004720326733308422
mitra_default,random_monotone_pwl,ridge,matched_normalized_loss_gap,8,16,5,0.000510066012086951,0.00023997174114779758,-1.1255253208035172,-3.4559331271771727,0.0003694154754321301
mitra_default,random_monotone_pwl,random_forest,matched_normalized_loss_gap,8,16,5,0.0002797811314445202,0.00023997174114779758,-0.16589199255842457,-0.2593657090248962,0.0003694154754321301
mitra_default,signed_power,ridge,matched_normalized_loss_gap,8,16,5,0.0025293531290549475,0.0008383849396049992,-2.0169353116560504,-17.241281208187083,0.001040349269229788
mitra_default,signed_power,random_forest,matched_normalized_loss_gap,8,16,5,0.0010560433595605827,0.0008383849396049992,-0.25961632857829264,-0.7523304595646068,0.001040349269229788
tabicl_v2_default,asinh,ridge,matched_normalized_loss_gap,7,11,5,0.0016235438066574037,0.0017119541369901362,0.05164293156133881,-0.30630223540872215,0.002044505087368352
tabicl_v2_default,asinh,random_forest,matched_normalized_loss_gap,7,11,5,0.001596848911776544,0.0017119541369901362,0.06723616172099323,0.030421331888479286,0.002044505087368352
tabicl_v2_default,composition,ridge,matched_normalized_loss_gap,6,10,5,0.006297460653726672,0.005122210137784631,-0.2294420737003069,-0.9107584533378039,0.006087086953236581
tabicl_v2_default,composition,random_forest,matched_normalized_loss_gap,6,10,5,0.006612405331231752,0.005122210137784631,-0.2909281644762107,-0.8450292920245501,0.006087086953236581
tabicl_v2_default,monotone_spline,ridge,matched_normalized_loss_gap,7,11,5,0.004870754079831904,0.004123363027899959,-0.18125764015316248,-1.1202319080403003,0.004864883595283591
tabicl_v2_default,monotone_spline,random_forest,matched_normalized_loss_gap,7,11,5,0.0035148051382978313,0.004123363027899959,0.1475877543365538,0.118636038578387,0.004864883595283591
tabicl_v2_default,random_monotone_pwl,ridge,matched_normalized_loss_gap,7,11,5,0.0038879296067780636,0.0036362571557990346,-0.0692119506943194,-0.5876882402554797,0.004455830314352064
tabicl_v2_default,random_monotone_pwl,random_forest,matched_normalized_loss_gap,7,11,5,0.003765365426289116,0.0036362571557990346,-0.03550581407153297,-0.5883023429761651,0.004455830314352064
tabicl_v2_default,signed_power,ridge,matched_normalized_loss_gap,7,11,5,0.006592104939772413,0.0061243808326185475,-0.07637083975293635,-0.1553578834929925,0.007656788193046486
tabicl_v2_default,signed_power,random_forest,matched_normalized_loss_gap,7,11,5,0.006777892980707926,0.0061243808326185475,-0.1067066477330676,-0.3751550078666357,0.007656788193046486
tabicl_v2_single,asinh,ridge,matched_normalized_loss_gap,8,15,5,0.0031238632679928225,0.0019012582752576037,-0.6430504517170696,-1.9472851928365933,0.0025321538506888975
tabicl_v2_single,asinh,random_forest,matched_normalized_loss_gap,8,15,5,0.0018931286017630537,0.0019012582752576037,0.0042759437790999,-0.032328503641307904,0.0025321538506888975
tabicl_v2_single,composition,ridge,matched_normalized_loss_gap,7,14,5,0.01666990816595774,0.006602961175510943,-1.5246109620912334,-7.707225706877846,0.0077594646582581734
tabicl_v2_single,composition,random_forest,matched_normalized_loss_gap,7,14,5,0.008205477144100814,0.006602961175510943,-0.24269656082990188,-1.015279862769121,0.0077594646582581734
tabicl_v2_single,monotone_spline,ridge,matched_normalized_loss_gap,8,15,5,0.002806795294157252,0.005199076990722785,0.46013584735027235,0.6623347888984485,0.006365558096622878
tabicl_v2_single,monotone_spline,random_forest,matched_normalized_loss_gap,8,15,5,0.004751052082208158,0.005199076990722785,0.08617393227953352,-0.14002044523452595,0.006365558096622878
tabicl_v2_single,random_monotone_pwl,ridge,matched_normalized_loss_gap,8,15,5,0.009088016587184855,0.004142253650247564,-1.193978774487097,-7.677864193005799,0.00552635525681747
tabicl_v2_single,random_monotone_pwl,random_forest,matched_normalized_loss_gap,8,15,5,0.0049229733533599235,0.004142253650247564,-0.1884770390788837,-0.6425343192145678,0.00552635525681747
tabicl_v2_single,signed_power,ridge,matched_normalized_loss_gap,8,15,5,0.015097218255907818,0.008936012913642846,-0.6894803534648544,-2.841122023717849,0.01178301767739545
tabicl_v2_single,signed_power,random_forest,matched_normalized_loss_gap,8,15,5,0.011135756799561199,0.008936012913642846,-0.2461661489499356,-0.5780289850724165,0.01178301767739545
tabpfn_v25_default,asinh,ridge,matched_normalized_loss_gap,6,12,5,0.0020339899595502894,0.0008868557321326451,-1.2934845949059839,-3.1737245437357213,0.001263831723733377
tabpfn_v25_default,asinh,random_forest,matched_normalized_loss_gap,6,12,5,0.001024402864177438,0.0008868557321326451,-0.15509527317823135,-0.2707399983967609,0.001263831723733377
tabpfn_v25_default,composition,ridge,matched_normalized_loss_gap,5,10,5,0.0037037173288144904,0.0018363069095399774,-1.0169380780374713,-4.9985337375594785,0.001999084853778178
tabpfn_v25_default,composition,random_forest,matched_normalized_loss_gap,5,10,5,0.002012382571870942,0.0018363069095399774,-0.09588574840960229,-0.6167224096575337,0.001999084853778178
tabpfn_v25_default,monotone_spline,ridge,matched_normalized_loss_gap,5,10,5,0.00649515463576752,0.0044356751448533455,-0.4642989902684287,-1.2758624572416926,0.00618454788390635
tabpfn_v25_default,monotone_spline,random_forest,matched_normalized_loss_gap,5,10,5,0.0033945185890569885,0.0044356751448533455,0.234723355925737,0.03609785673005639,0.00618454788390635
tabpfn_v25_default,random_monotone_pwl,ridge,matched_normalized_loss_gap,6,11,5,0.005743767387819975,0.003697669523519116,-0.5533479537007309,-2.507702671266027,0.004787131591882882
tabpfn_v25_default,random_monotone_pwl,random_forest,matched_normalized_loss_gap,6,11,5,0.0030680049807060715,0.003697669523519116,0.17028686279507887,-0.0023036444865158767,0.004787131591882882
tabpfn_v25_default,signed_power,ridge,matched_normalized_loss_gap,6,12,5,0.021323747493521825,0.005957454337237224,-2.5793388058784075,-18.501970469662364,0.0074979169648948804
tabpfn_v25_default,signed_power,random_forest,matched_normalized_loss_gap,6,12,5,0.005971977781070273,0.005957454337237224,-0.0024378607054140744,-0.15545186105265718,0.0074979169648948804
tabpfn_v25_single,asinh,ridge,matched_normalized_loss_gap,8,16,5,0.0027971973656076912,0.0021661020657252348,-0.29135067542219395,-1.025659682873719,0.0027028968890932493
tabpfn_v25_single,asinh,random_forest,matched_normalized_loss_gap,8,16,5,0.002523511397027635,0.0021661020657252348,-0.1650011497416377,-0.6869426727618151,0.0027028968890932493
tabpfn_v25_single,composition,ridge,matched_normalized_loss_gap,7,14,5,0.01040346929629211,0.005096415635949953,-1.0413306212519968,-3.4152165385491404,0.007352707937169963
tabpfn_v25_single,composition,random_forest,matched_normalized_loss_gap,7,14,5,0.006332907556805306,0.005096415635949953,-0.24261991351984302,-0.6333244726205267,0.007352707937169963
tabpfn_v25_single,monotone_spline,ridge,matched_normalized_loss_gap,8,16,5,0.007486126632097077,0.004561590318847391,-0.6411220887518563,-1.2354406717385706,0.0059824559381655585
tabpfn_v25_single,monotone_spline,random_forest,matched_normalized_loss_gap,8,16,5,0.005427584392254211,0.004561590318847391,-0.18984477186141446,-0.38373065639219095,0.0059824559381655585
tabpfn_v25_single,random_monotone_pwl,ridge,matched_normalized_loss_gap,8,16,5,0.008980663808670814,0.004745595461708156,-0.8924208523746067,-4.392492323772505,0.006199729559051547
tabpfn_v25_single,random_monotone_pwl,random_forest,matched_normalized_loss_gap,8,16,5,0.0056043623020953035,0.004745595461708156,-0.18096081878796255,-0.3775744342351708,0.006199729559051547
tabpfn_v25_single,signed_power,ridge,matched_normalized_loss_gap,8,16,5,0.05422033209084576,0.02823037729750898,-0.920637883066129,-5.000604514952987,0.033332903440616915
tabpfn_v25_single,signed_power,random_forest,matched_normalized_loss_gap,8,16,5,0.029669869028238816,0.02823037729750898,-0.050990878214612234,-0.3878343216894997,0.033332903440616915
mitra_default,asinh,ridge,matched_excess_disagreement,8,16,5,0.02611672291960427,0.009278349844361652,-1.8148025627073232,-5.6373697273477195,0.013881972367797226
mitra_default,asinh,random_forest,matched_excess_disagreement,8,16,5,0.011328981885736607,0.009278349844361652,-0.22101258044512107,-0.3903561005622105,0.013881972367797226
mitra_default,composition,ridge,matched_excess_disagreement,8,15,5,0.012048220551522448,0.0056934559353300366,-1.1161524192641425,-5.227370235866089,0.0073894699423146205
mitra_default,composition,random_forest,matched_excess_disagreement,8,15,5,0.006265452093798181,0.0056934559353300366,-0.10046554587674827,-0.4075123990953764,0.0073894699423146205
mitra_default,monotone_spline,ridge,matched_excess_disagreement,8,16,5,0.03904575429370148,0.01096691592034325,-2.5603222070183795,-15.40348587944866,0.014910750383253055
mitra_default,monotone_spline,random_forest,matched_excess_disagreement,8,16,5,0.013270201314597925,0.01096691592034325,-0.21002125036649177,-0.5582887454616461,0.014910750383253055
