model,multiplier,n_tasks,n_observations,nrmse_mean,nrmse_std_across_tasks,nrmse_ci95_low,nrmse_ci95_high,training_seconds_mean
ExactPrimitives,1.0,30,150,0.0,0.0,0.0,0.0,0.0
ExactPrimitives,2.0,30,150,0.0,0.0,0.0,0.0,0.0
ExactPrimitives,4.0,30,150,0.0,0.0,0.0,0.0,0.0
ExactPrimitives,8.0,30,150,0.0,0.0,0.0,0.0,0.0
NeuralPrimitives,1.0,30,150,0.13006469521116232,0.1724547777957611,0.07142029811705355,0.1907960632148128,1.6722735269988576
NeuralPrimitives,2.0,30,150,1.0412622488904966,2.0514851041204714,0.42445029317699434,1.810321135622294,1.6722735269988576
NeuralPrimitives,4.0,30,150,2.889456859524098,6.805634973590164,0.8011608717956282,5.554300949970842,1.6722735269988576
NeuralPrimitives,8.0,30,150,6.475024264508703,16.892189584839112,1.0919671707806775,13.256171186895637,1.6722735269988576
WholeMLP,1.0,30,150,0.15828955831878425,0.24210809837937297,0.07951738548379626,0.24906406689030458,0.9803524697634081
WholeMLP,2.0,30,150,0.5813453614628619,1.21225514027134,0.23713979366197205,1.0631139928059692,0.9803524697634081
WholeMLP,4.0,30,150,1.5120542132200174,3.462042781302044,0.5462147762708159,2.810644870848482,0.9803524697634081
WholeMLP,8.0,30,150,3.46124183050671,8.855173435355875,0.8708746415924126,6.88337121637706,0.9803524697634081
