dataset,task,model,n_seeds,primary_metric,primary_error_mean,primary_error_std,score_mean,training_seconds_mean,operation_count_mean
breast_cancer,classification,CatBoost,5,log_loss,0.09363737016819623,0.027432884392919743,0.9949193437974964,0.301870011119172,-1.0
breast_cancer,classification,Linear,5,log_loss,0.07346703535276915,0.03233169356196008,0.9962452362755345,0.0032051896676421167,-1.0
breast_cancer,classification,MLP,5,log_loss,0.32829003242604904,0.12048415901857468,0.9881751967446366,0.0327480545733124,-1.0
breast_cancer,classification,RandomForest,5,log_loss,0.11059150170048666,0.026811431542788637,0.9916156066459045,0.8179743292275816,-1.0
breast_cancer,classification,TabALU-SparseExact,5,log_loss,0.08510961051845475,0.03309660304169176,0.9937602791598861,0.03242496438324451,28.0
breast_cancer,classification,XGBoost,5,log_loss,0.0968155233570775,0.04564751991455499,0.9940727482899117,0.9798460966907442,-1.0
diabetes,regression,CatBoost,5,nrmse,0.7673959879180883,0.0507997854382013,0.4090389031667673,0.19980200128629805,-1.0
diabetes,regression,Linear,5,nrmse,0.7334883171823201,0.059644257231327796,0.45914893862050654,0.000862511433660984,-1.0
diabetes,regression,MLP,5,nrmse,0.8079549081826725,0.07275259734141175,0.34297451400759205,0.2516909631900489,-1.0
diabetes,regression,RandomForest,5,nrmse,0.791768981365051,0.07101958688168608,0.3690668547714731,0.648041786113754,-1.0
diabetes,regression,TabALU-SparseExact,5,nrmse,0.7416948760517227,0.1017770858960138,0.4416018506678321,0.00666169160977006,12.0
diabetes,regression,XGBoost,5,nrmse,0.8187758432742278,0.07483740746527624,0.32512560842567784,1.5126786390319467,-1.0
wine_binary,classification,CatBoost,5,log_loss,0.10679071649490521,0.0888782277595689,0.9993055555555556,0.8067745692096651,-1.0
wine_binary,classification,Linear,5,log_loss,0.051019538305638025,0.028815240511657465,0.9986111111111111,0.0015863474924117326,-1.0
wine_binary,classification,MLP,5,log_loss,0.4724081411857817,0.07416311129711889,0.9777777777777779,0.012019083555787801,-1.0
wine_binary,classification,RandomForest,5,log_loss,0.09542495226541349,0.020638292450320637,0.9993055555555556,0.8996215844061226,-1.0
wine_binary,classification,TabALU-SparseExact,5,log_loss,0.07458405552499522,0.050470746892212794,0.9986111111111111,0.009212583582848311,9.4
wine_binary,classification,XGBoost,5,log_loss,0.0916300829452853,0.051715659356952645,0.9972222222222221,0.5088179731741548,-1.0
