git_commit,git_dirty,task_id,task_seed,seed,model,split,training_seconds,operator_accuracy,post_change_train_rows,mae,rmse,r2,nrmse,relative_error
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,0,GlobalProgram,iid,0.10858036088757217,0.3333333333333333,63,0.17448825539582913,0.3246033570858025,0.8446995149835651,0.3940818252805309,0.27168367132380855
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,0,IndependentPrograms,iid,0.13905495894141495,0.3333333333333333,63,0.0011538646568283184,0.0022667134623049357,0.999992427137945,0.0027518833650785764,0.002427288173267535
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,0,SharedStructureCoefficients,iid,0.10641148197464645,0.3333333333333333,63,0.0011538599223106713,0.0022666892546505026,0.9999924272996948,0.00275185397599052,0.00242726420257916
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,0,ContextCoefficients,iid,3.254915948957205,0.3333333333333333,63,0.019542814815451948,0.04496792755808888,0.9970196138036612,0.054592913426000526,0.030562781125359942
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,0,MLP,iid,0.8951466658618301,-1.0,63,0.20495172184240573,0.5334673542707743,0.5805477836417733,0.6476513076943694,0.2110666157751519
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,0,NeuralMoE,iid,1.1863500229083002,-1.0,63,0.2590054698734434,0.653813351263055,0.36995094026698294,0.7937562974446358,0.2501786176287023
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,0,GlobalProgram,future,0.10858036088757217,0.3333333333333333,63,0.5448885667963168,0.7102728977578454,0.7129007776335834,0.5358164073322285,0.5386217043260276
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,0,IndependentPrograms,future,0.13905495894141495,0.3333333333333333,63,0.004241224915631392,0.005525529489246513,0.9999826248192372,0.004168354682942916,0.004627480405928584
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,0,SharedStructureCoefficients,future,0.10641148197464645,0.3333333333333333,63,0.004241183760071828,0.00552547994670452,0.9999826251308116,0.004168317308988561,0.004627212720597082
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,0,ContextCoefficients,future,3.254915948957205,0.3333333333333333,63,0.043345885944972906,0.061723110710738244,0.9978319108289775,0.046562744453291165,0.033800609777956875
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,0,MLP,future,0.8951466658618301,-1.0,63,2.3939990754849987,3.618450450787224,-6.451209758719289,2.7296904144461673,2.385574589589183
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,0,NeuralMoE,future,1.1863500229083002,-1.0,63,2.440592942881949,4.672994366787826,-11.427164419270008,3.525218350580572,1.9569389138734405
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,1,GlobalProgram,iid,0.10459708794951439,0.5,63,0.1521591719027242,0.33257362971122034,0.8472764380741424,0.3907986206805976,0.20329358830709837
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,1,IndependentPrograms,iid,0.12827635719440877,0.3333333333333333,63,0.004051483145474322,0.009937955858109021,0.9998636282070303,0.01167783340220327,0.0020450950191136293
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,1,SharedStructureCoefficients,iid,0.10593695705756545,0.3333333333333333,63,0.004855311079891255,0.013734857752109947,0.9997395173775514,0.01613947404497925,0.002057772233646544
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,1,ContextCoefficients,iid,0.5395513500552624,0.3333333333333333,63,0.02972246130974554,0.0948713859347374,0.9875720094655684,0.1114808976212138,0.03150175576892011
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,1,MLP,iid,0.3899609169457108,-1.0,63,0.25686672174236946,0.5957744032675721,0.5098893898892227,0.7000790027638147,0.3700349305564733
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,1,NeuralMoE,iid,0.6855257160495967,-1.0,63,0.23579229401553903,0.5393871906014915,0.5982723901139059,0.6338198560206947,0.33755248276396266
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,1,GlobalProgram,future,0.10459708794951439,0.5,63,0.5786183010773129,0.7426676854497931,0.6774146516835877,0.5679659746115187,0.5641887991229586
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,1,IndependentPrograms,future,0.12827635719440877,0.3333333333333333,63,0.009274290800476592,0.009287646635692582,0.9999495493286146,0.007102863604592827,0.010423256321027898
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,1,SharedStructureCoefficients,future,0.10593695705756545,0.3333333333333333,63,0.010545010783235451,0.010546138977192185,0.9999349507096087,0.008065314029304724,0.011916002484097491
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,1,ContextCoefficients,future,0.5395513500552624,0.3333333333333333,63,0.3016281721997984,0.42193466625866355,0.8958771612109347,0.3226807071844632,0.27707661814155304
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,1,MLP,future,0.3899609169457108,-1.0,63,5.1154595003486065,7.4673830166315645,-31.613126752537106,5.71079037897007,4.579290782828051
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,1,NeuralMoE,future,0.6855257160495967,-1.0,63,4.5194553208834805,6.8208147985179925,-26.20997219957054,5.216317877542601,4.534020767434859
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,2,GlobalProgram,iid,0.1065645320340991,0.5,57,0.18190947169262017,0.4126384260221759,0.808087311136187,0.438078404927489,0.28778618171125653
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,2,IndependentPrograms,iid,0.13114903587847948,0.3333333333333333,57,0.006013117140014401,0.007262506654103322,0.9999405519736881,0.007710254620431004,0.015646701661854022
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,2,SharedStructureCoefficients,iid,0.11126150004565716,0.3333333333333333,57,0.0060131139007230505,0.007262492936295717,0.999940552198265,0.007710240056893302,0.015646656182873635
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,2,ContextCoefficients,iid,0.41883651609532535,0.3333333333333333,57,0.036091616375983904,0.0931301254677361,0.9902243705740943,0.09887178275881214,0.06462976833825282
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,2,MLP,iid,0.4341118729207665,-1.0,57,0.24859025266357548,0.7513868214527357,0.363656662623007,0.7977113120527958,0.21584190873737397
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,2,NeuralMoE,iid,0.2776011819951236,-1.0,57,0.4988814536064865,0.8908895874411413,0.10543455181489236,0.9458147007660156,0.856247932142263
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,2,GlobalProgram,future,0.1065645320340991,0.5,57,0.5506356786945048,0.7146356523244309,0.6926683915932952,0.5543749709417849,0.5370773759600387
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,2,IndependentPrograms,future,0.13114903587847948,0.3333333333333333,57,0.006890586114479902,0.008844184582489699,0.9999529289954213,0.006860831187156673,0.006501312144438741
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,2,SharedStructureCoefficients,future,0.11126150004565716,0.3333333333333333,57,0.006890568740517437,0.008844157002990492,0.9999529292889912,0.006860809792500499,0.006501254430804587
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,2,ContextCoefficients,future,0.41883651609532535,0.3333333333333333,57,0.20276066704087725,0.2888621997334365,0.949786638091572,0.22408338159807392,0.19697671283517576
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,2,MLP,future,0.4341118729207665,-1.0,57,3.198153706400774,7.897108555755612,-36.52961309046902,6.126141778515171,2.2377715727159018
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,2,NeuralMoE,future,0.2776011819951236,-1.0,57,4.1088104453963865,4.92149735244899,-13.575799402764016,3.8178265286369437,5.441538258164424
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,3,GlobalProgram,iid,0.10719797713682055,0.3333333333333333,60,0.17939641802314554,0.3794736095708591,0.8282769523073954,0.41439479689374065,0.2681968464437208
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,3,IndependentPrograms,iid,0.13165559899061918,0.3333333333333333,60,0.0031497316051058988,0.004377028070306838,0.9999771532676205,0.0047798255595276375,0.0059143154370515155
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,3,SharedStructureCoefficients,iid,0.10929552698507905,0.3333333333333333,60,0.003149726531400036,0.00437702358690489,0.9999771533144244,0.004779820663539108,0.005914259965523817
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,3,ContextCoefficients,iid,0.7087770320940763,0.3333333333333333,60,0.01586281476699014,0.05916641156398074,0.9958253901715136,0.0646112206082383,0.011747105910581174
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,3,MLP,iid,0.6843062089756131,-1.0,60,0.23138551490347936,0.7741208499799399,0.2853671751969542,0.8453595831378773,0.17522278475418485
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609300,202609300,3,NeuralMoE,iid,1.2640842839609832,-1.0,60,0.22998926171902667,0.7364316907029541,0.35325903667850456,0.8042020662255821,0.18772664590427013
