model,split,n_tasks,n_observations,nrmse_mean,nrmse_std_across_tasks,nrmse_ci95_low,nrmse_ci95_high,operator_accuracy_mean,post_change_train_rows_mean,training_seconds_mean
ContextCoefficients,future,16,80,0.13848868892099947,0.11548804794978451,0.09756862162651544,0.19947651615642023,0.65,63.525,1.4109262525191297
ContextCoefficients,iid,16,80,0.0910923684054046,0.02209581887047297,0.08100231217508223,0.10167555856995554,0.65,63.525,1.4109262525191297
GlobalProgram,future,16,80,0.7608617580641222,0.4648920631787621,0.5855770889133818,1.022814464349164,0.5979166666666667,63.525,0.10480952702928334
GlobalProgram,iid,16,80,0.4780922002781859,0.12263692003678538,0.42032567090287926,0.5382099637211515,0.5979166666666667,63.525,0.10480952702928334
IndependentPrograms,future,16,80,0.005912417079736261,0.009909309107292767,0.0029046382437394984,0.011174143940358658,0.6395833333333334,63.525,0.12809657337784303
IndependentPrograms,iid,16,80,0.0045309519721903994,0.0011634838579115195,0.0040065224380708905,0.005100994339225023,0.6395833333333334,63.525,0.12809657337784303
MLP,future,16,80,2.448695412635156,4.06086486193283,1.004690006355502,4.771645164395053,-1.0,63.525,0.9249965228518704
MLP,iid,16,80,0.35219438283735155,0.21240227063771996,0.2559460435633116,0.45788298375241093,-1.0,63.525,0.9249965228518704
NeuralMoE,future,16,80,4.248297138367867,10.130336644321547,1.087507352172032,9.751015934090782,-1.0,63.525,1.484872566978447
NeuralMoE,iid,16,80,0.38932803545855627,0.22512496416010994,0.29192285738080903,0.5100982019197476,-1.0,63.525,1.484872566978447
SharedStructureCoefficients,future,16,80,0.006388411360795195,0.011876285264209963,0.0028937300265487035,0.01261735785536004,0.65,63.525,0.10143935488886201
SharedStructureCoefficients,iid,16,80,0.004467216364641326,0.0010443931515648323,0.00398731225177804,0.004975939997407452,0.65,63.525,0.10143935488886201
