git_commit,git_dirty,task_id,task_seed,seed,alpha,model,split,magnitude_multiplier,training_seconds,residual_usage,gate_mean,mae,rmse,r2,nrmse,relative_error
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,0,0.0,PureProgram,iid,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,0,0.0,UnpenalizedResidual,iid,1.0,0.49603952188044786,0.002480602614928763,1.0,0.0032250326313255345,0.003978976149040564,0.9999938466106668,0.002480602614928764,0.002398544576270565
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,0,0.0,PenalizedScalarResidual,iid,1.0,0.8850121630821377,3.1673739130947e-05,0.024630580097436905,4.0743717942772384e-05,5.080582105110342e-05,0.9999999989967743,3.167373913094677e-05,3.0460092664781328e-05
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,0,0.0,AdaptiveResidual,iid,1.0,0.9023340679705143,2.6456074518586194e-07,0.00034382542241928604,3.26704192334168e-07,4.2436498644358364e-07,0.9999999999999301,2.6456074518315275e-07,2.494547917694628e-07
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,0,0.0,PureMLP,iid,1.0,0.6662513911724091,-1.0,-1.0,0.005956169892670005,0.008215380438349802,0.9999737682610498,0.005121692976953147,0.004075296160515493
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,0,0.0,PureProgram,ood,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,0,0.0,UnpenalizedResidual,ood,4.0,0.49603952188044786,0.02025688588489032,1.0,0.11945502051618997,0.15395312984109785,0.9995896585742465,0.02025688588489032,0.01665898094176572
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,0,0.0,PenalizedScalarResidual,ood,4.0,0.8850121630821377,0.00030543759224930655,0.024630580097436905,0.001787337649824742,0.0023213377201766485,0.9999999067078772,0.0003054375922493067,0.00028114817651873653
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,0,0.0,AdaptiveResidual,ood,4.0,0.9023340679705143,9.997385976353046e-06,0.0005096278717644509,5.949615775392004e-05,7.59805268211057e-05,0.9999999999000523,9.997385976352624e-06,8.27736732683511e-06
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,0,0.0,PureMLP,ood,4.0,0.6662513911724091,-1.0,-1.0,0.5464682610272575,0.6973316732519194,0.991581259919611,0.09175369246187857,0.08881518423198295
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,1,0.0,PureProgram,iid,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,1,0.0,UnpenalizedResidual,iid,1.0,0.6200265230145305,0.0036290138304722946,1.0,0.0041801787048607614,0.005821069198704471,0.9999868302586182,0.003629013830472294,0.003109367602815981
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,1,0.0,PenalizedScalarResidual,iid,1.0,0.6622138088569045,3.8347975204509584e-05,0.025023886933922768,4.762816534371632e-05,6.15115366663155e-05,0.9999999985294328,3.834797520451114e-05,3.577542661386991e-05
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,1,0.0,AdaptiveResidual,iid,1.0,0.797645169775933,6.476925551061728e-07,0.0003575382022233953,6.621491952180017e-07,1.0389222413787669e-06,0.9999999999995804,6.476925551044685e-07,4.3047792658653646e-07
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,1,0.0,PureMLP,iid,1.0,0.5910686559509486,-1.0,-1.0,0.008212757920773583,0.010856054513477114,0.9999541946977203,0.00676796145672649,0.006061359116783015
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,1,0.0,PureProgram,ood,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,1,0.0,UnpenalizedResidual,ood,4.0,0.6200265230145305,0.028810917809924876,1.0,0.17136251593848367,0.21896410907567193,0.9991699310149498,0.028810917809924876,0.03042853156126412
