task,model,method,seeds,rmse_mean,rmse_change_mean,rmse_change_sd,wins,losses,k_mean
S1_rotating,ModernNCA,aggregate_estimated,8,0.2816518467978131,-0.001195894942707998,0.0024650726486643085,5,3,64.0
S1_rotating,ModernNCA,aggregate_exact,8,0.2798346182088801,-0.003013123531640967,0.0020257793466847474,7,1,64.0
S1_rotating,ModernNCA,direct_estimated_proxy,8,0.3232353967972985,0.040387655056777425,0.003979137034551259,0,8,
S1_rotating,ModernNCA,distance_model,8,0.2828477417405211,0.0,0.0,0,0,
S1_rotating,TabR,aggregate_estimated,8,0.2821691953329088,-0.006039595401291807,0.005373904007272636,8,0,56.0
S1_rotating,TabR,aggregate_exact,8,0.2799447610003719,-0.008264029733828691,0.004783244772182657,8,0,60.0
S1_rotating,TabR,direct_estimated_proxy,8,0.3232353967972985,0.035026606063097904,0.008702784366483888,0,8,
S1_rotating,TabR,distance_model,8,0.2882087907342006,0.0,0.0,0,0,
S2_global,ModernNCA,aggregate_estimated,8,0.2222764855539984,0.00037794745162696153,0.0011942554985194193,3,5,60.0
S2_global,ModernNCA,aggregate_exact,8,0.22073665015398328,-0.001161887948388153,0.0015958945535208058,6,2,60.0
S2_global,ModernNCA,direct_estimated_proxy,8,0.27309936372211574,0.0512008256197443,0.009901725566127501,0,8,
S2_global,ModernNCA,distance_model,8,0.22189853810237145,0.0,0.0,0,0,
S2_global,TabR,aggregate_estimated,8,0.2244893987882179,-0.022313467249703824,0.014930074095482339,8,0,44.0
S2_global,TabR,aggregate_exact,8,0.22056179315021654,-0.02624107288770517,0.015506494556578715,8,0,64.0
S2_global,TabR,direct_estimated_proxy,8,0.27309936372211574,0.026296497684194047,0.012259870358595996,0,8,
S2_global,TabR,distance_model,8,0.2468028660379217,0.0,0.0,0,0,
S3_noise,ModernNCA,aggregate_estimated,8,0.5768283162164678,2.711986329742566e-05,0.00266937732198741,5,3,64.0
S3_noise,ModernNCA,aggregate_exact,8,0.5756762043112701,-0.001124992041900294,0.0023585521803462122,5,3,64.0
S3_noise,ModernNCA,direct_estimated_proxy,8,0.5878339151278205,0.011032718774650035,0.002782889080504798,0,8,
S3_noise,ModernNCA,distance_model,8,0.5768011963531704,0.0,0.0,0,0,
S3_noise,TabR,aggregate_estimated,8,0.5778045563134356,-0.00913891263630312,0.0046914708324675815,8,0,64.0
S3_noise,TabR,aggregate_exact,8,0.577276944854938,-0.009666524094800871,0.0042685496026201915,8,0,64.0
S3_noise,TabR,direct_estimated_proxy,8,0.5878339151278205,0.0008904461780816636,0.004120231272333148,4,4,
S3_noise,TabR,distance_model,8,0.5869434689497388,0.0,0.0,0,0,
S4_warp,ModernNCA,aggregate_estimated,8,0.18300960650995932,-0.0014947864686899598,0.0032028859049291437,4,4,44.0
S4_warp,ModernNCA,aggregate_exact,8,0.18049341515146272,-0.004010977827186558,0.003183570244169704,8,0,64.0
S4_warp,ModernNCA,direct_estimated_proxy,8,0.2709605450700144,0.08645615209136509,0.009508422777904799,0,8,
S4_warp,ModernNCA,distance_model,8,0.1845043929786493,0.0,0.0,0,0,
S4_warp,TabR,aggregate_estimated,8,0.18303123819254855,-0.002962871373564914,0.001491338694196489,8,0,40.0
S4_warp,TabR,aggregate_exact,8,0.18042224380310806,-0.005571865763005394,0.0018316686781231543,8,0,64.0
S4_warp,TabR,direct_estimated_proxy,8,0.2709605450700144,0.08496643550390089,0.009316238287544671,0,8,
S4_warp,TabR,distance_model,8,0.18599410956611348,0.0,0.0,0,0,
