task,model,method,seeds,rmse_mean,rmse_change_mean,rmse_change_sd,prediction_wins,proxy_risk_mean,proxy_risk_change_mean,lambda_mean,lambda_nonzero,uncertainty_spearman
S1_rotating,ModernNCA,distance,8,0.2828477417405211,0.0,0.0,0,0.08194780449139216,0.0,0.0,0,0.9212918823218882
S1_rotating,ModernNCA,estimated_reliability,8,0.2828477417405211,0.0,0.0,0,0.08194780449139216,0.0,0.0,0,0.9212918823218882
S1_rotating,ModernNCA,exact_reliability,8,0.28311522732745276,0.0002674855869317233,0.0004496137533501767,0,0.08047323611117463,-0.0014745683802175336,0.0175,3,0.9212918823218882
S1_rotating,ModernNCA,permuted_exact_reliability,8,0.2831842235343899,0.0003364817938688036,0.0010560746035369317,2,0.08662718341111031,0.004679378919718147,0.02375,4,0.9212918823218882
S1_rotating,TabR,distance,8,0.2882087907342006,0.0,0.0,0,0.08326576802664931,0.0,0.0,0,0.9212918823218882
S1_rotating,TabR,estimated_reliability,8,0.2886266922281838,0.0004179014939832207,0.0012678812284203805,2,0.08352600927628373,0.00026024124963441864,0.036250000000000004,5,0.9212918823218882
S1_rotating,TabR,exact_reliability,8,0.28818149032126805,-2.730041293255714e-05,0.0004984885299560358,2,0.082739397235855,-0.0005263707907943171,0.02125,6,0.9212918823218882
S1_rotating,TabR,permuted_exact_reliability,8,0.28685638812837805,-0.0013524026058225405,0.0017651546574492037,5,0.08704286548254458,0.003777097455895273,0.0225,5,0.9212918823218882
S2_global,ModernNCA,distance,8,0.22189853810237145,0.0,0.0,0,0.04938793246037676,0.0,0.0,0,
S2_global,ModernNCA,estimated_reliability,8,0.22189853810237145,0.0,0.0,0,0.04938793246037676,0.0,0.0,0,
S2_global,ModernNCA,exact_reliability,8,0.2218985407775261,2.6751546602921117e-09,2.198376383471605e-09,1,0.04938793246401474,3.637978807091713e-12,0.85375,7,
S2_global,ModernNCA,permuted_exact_reliability,8,0.2218985407775261,2.6751546602921117e-09,2.198376383471605e-09,1,0.04938793246401474,3.637978807091713e-12,0.85375,7,
S2_global,TabR,distance,8,0.2468028660379217,0.0,0.0,0,0.05453794519416988,0.0,0.0,0,
S2_global,TabR,estimated_reliability,8,0.24566460266430132,-0.001138263373620385,0.002247650655387582,4,0.059013343594415346,0.004475398400245467,0.03375,5,
S2_global,TabR,exact_reliability,8,0.24680286553684122,-5.010804791927281e-10,8.328260851430184e-10,5,0.05453794519416988,0.0,0.0675,8,
S2_global,TabR,permuted_exact_reliability,8,0.24680286553684122,-5.010804791927281e-10,8.328260851430184e-10,5,0.05453794519416988,0.0,0.0675,8,
S3_noise,ModernNCA,distance,8,0.5768011963531704,0.0,0.0,0,0.3308221187351137,0.0,0.0,0,0.96789887958454
S3_noise,ModernNCA,estimated_reliability,8,0.5768680528564835,6.685650331300641e-05,0.0003260686744646962,5,0.033236100142630676,-0.297586018592483,0.0275,8,0.96789887958454
S3_noise,ModernNCA,exact_reliability,8,0.576154101305064,-0.0006470950481064219,0.00169828010785683,5,0.015333976435385921,-0.31548814229972777,0.5912499999999999,8,0.96789887958454
S3_noise,ModernNCA,permuted_exact_reliability,8,0.5769698198254649,0.0001686234722945018,0.000580978683012389,2,0.335881989380141,0.005059870645027331,0.09125,6,0.96789887958454
S3_noise,TabR,distance,8,0.5869434689497388,0.0,0.0,0,0.3323537580879474,0.0,0.0,0,0.96789887958454
S3_noise,TabR,estimated_reliability,8,0.5856432461278106,-0.0013002228219282375,0.0020016681914110227,3,0.2660928809723373,-0.06626087711561013,0.16375,3,0.96789887958454
S3_noise,TabR,exact_reliability,8,0.5862368989999781,-0.0007065699497607325,0.0013371080143881303,2,0.2663308351370688,-0.06602292295087864,0.1625,2,0.96789887958454
S3_noise,TabR,permuted_exact_reliability,8,0.5855226914860637,-0.0014207774636750548,0.0020619531247313755,4,0.33637021672006995,0.0040164586321225215,0.0925,5,0.96789887958454
S4_warp,ModernNCA,distance,8,0.1845043929786493,0.0,0.0,0,0.03504960127611412,0.0,0.0,0,
S4_warp,ModernNCA,estimated_reliability,8,0.1845043929786493,0.0,0.0,0,0.03504960127611412,0.0,0.0,0,
S4_warp,ModernNCA,exact_reliability,8,0.18450439288637907,-9.227020883462167e-11,1.4846593144896712e-09,5,0.03504960127611412,0.0,0.99,8,
S4_warp,ModernNCA,permuted_exact_reliability,8,0.18450439288637907,-9.227020883462167e-11,1.4846593144896712e-09,5,0.03504960127611412,0.0,0.99,8,
S4_warp,TabR,distance,8,0.18599410956611348,0.0,0.0,0,0.03836558712646365,0.0,0.0,0,
S4_warp,TabR,estimated_reliability,8,0.1861632067903587,0.0001690972242452196,0.000484084598984416,2,0.03964555815036874,0.001279971023905091,0.00875,5,
S4_warp,TabR,exact_reliability,8,0.18599410957343243,7.318968348046795e-12,1.0657569951711333e-09,4,0.03836558712646365,0.0,2.255,8,
S4_warp,TabR,permuted_exact_reliability,8,0.18599410957343243,7.318968348046795e-12,1.0657569951711333e-09,4,0.03836558712646365,0.0,2.255,8,
