dataset,problem_type,model,seed,method,transform_family,representation_id,member,is_reference,split,coordinate_error,task_error,disagreement,fit_seconds
california_housing,regression,catboost,0,Raw,condition_le_3_all,rbf_reference,-1,True,validation,0.0,56035.27528994351,0.0,0.0
california_housing,regression,catboost,0,Raw,condition_le_3_all,rbf_reference,-1,True,test,0.0,61413.13394131962,0.0,0.0
california_housing,regression,catboost,0,Raw,condition_le_3_all,condition_le_3_all__m0,0,False,validation,0.0,57673.46419665007,0.1227643158570352,0.0
california_housing,regression,catboost,0,Raw,condition_le_3_all,condition_le_3_all__m0,0,False,test,0.0,62089.64375225129,0.1102962666595037,0.0
california_housing,regression,catboost,0,Raw,condition_le_3_all,condition_le_3_all__m1,1,False,validation,0.0,58237.772398741225,0.13601640530889672,0.0
california_housing,regression,catboost,0,Raw,condition_le_3_all,condition_le_3_all__m1,1,False,test,0.0,62822.57513269414,0.14208118034955297,0.0
california_housing,regression,catboost,0,Raw,condition_le_3_all,condition_le_3_all__m2,2,False,validation,0.0,56075.17522450191,0.1077347962475422,0.0
california_housing,regression,catboost,0,Raw,condition_le_3_all,condition_le_3_all__m2,2,False,test,0.0,61974.67789581121,0.1129746174546235,0.0
california_housing,regression,catboost,0,Raw,condition_le_3_all,condition_le_3_all__m3,3,False,validation,0.0,56291.406824649646,0.11798279318532896,0.0
california_housing,regression,catboost,0,Raw,condition_le_3_all,condition_le_3_all__m3,3,False,test,0.0,63197.7991634011,0.11930384613160162,0.0
california_housing,regression,catboost,0,Raw,condition_le_3_all,condition_le_3_all__m4,4,False,validation,0.0,56683.90269937594,0.11817378722223833,0.0
california_housing,regression,catboost,0,Raw,condition_le_3_all,condition_le_3_all__m4,4,False,test,0.0,61637.91052152766,0.12056282524410715,0.0
california_housing,regression,catboost,0,Raw,condition_le_3_all,condition_le_3_all__m5,5,False,validation,0.0,57307.27010581176,0.1240597982404978,0.0
california_housing,regression,catboost,0,Raw,condition_le_3_all,condition_le_3_all__m5,5,False,test,0.0,63571.58551692182,0.1255227960881406,0.0
california_housing,regression,catboost,0,Raw,condition_le_3_all,condition_le_3_all__m6,6,False,validation,0.0,56607.68894067952,0.12750227012727444,0.0
california_housing,regression,catboost,0,Raw,condition_le_3_all,condition_le_3_all__m6,6,False,test,0.0,62200.46638050027,0.12722143488130902,0.0
california_housing,regression,catboost,0,Raw,condition_le_3_all,condition_le_3_all__m7,7,False,validation,0.0,57486.89568572424,0.12586888672553306,0.0
california_housing,regression,catboost,0,Raw,condition_le_3_all,condition_le_3_all__m7,7,False,test,0.0,61988.764043698095,0.12215132814801417,0.0
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,rbf_reference,-1,True,validation,0.9276194820822351,56430.96761192544,0.0,0.0
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,rbf_reference,-1,True,test,0.9276194820822351,61829.80327400173,0.0,0.0
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,condition_le_3_all__m0,0,False,validation,0.9276194820822351,56957.299722399955,0.12982543741392955,0.0
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,condition_le_3_all__m0,0,False,test,0.9276194820822351,62109.91567544077,0.12157733468413437,0.0
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,condition_le_3_all__m1,1,False,validation,0.9276194820822351,57396.15219121958,0.10879351153590229,0.0
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,condition_le_3_all__m1,1,False,test,0.9276194820822351,62428.46522923507,0.11591822927412984,0.0
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,condition_le_3_all__m2,2,False,validation,0.9276194820822351,57349.22792833196,0.11941992897199738,0.0
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,condition_le_3_all__m2,2,False,test,0.9276194820822351,62424.925495888405,0.11489979645058879,0.0
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,condition_le_3_all__m3,3,False,validation,0.9276194820822351,56943.753215070894,0.12241796975796465,0.0
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,condition_le_3_all__m3,3,False,test,0.9276194820822351,62359.781609411555,0.11925116613969863,0.0
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,condition_le_3_all__m4,4,False,validation,0.9276194820822351,56761.61495057924,0.14721712939246365,0.0
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,condition_le_3_all__m4,4,False,test,0.9276194820822351,61559.62164094484,0.14275201727549527,0.0
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,condition_le_3_all__m5,5,False,validation,0.9276194820822351,59221.84767336291,0.14191935448843274,0.0
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,condition_le_3_all__m5,5,False,test,0.9276194820822351,62780.52189191088,0.13428084012167418,0.0
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,condition_le_3_all__m6,6,False,validation,0.9276194820822351,57138.97872200926,0.139006665240364,0.0
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,condition_le_3_all__m6,6,False,test,0.9276194820822351,61692.41653376792,0.13084241641928043,0.0
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,condition_le_3_all__m7,7,False,validation,0.9276194820822351,57512.02314750169,0.13501754080911388,0.0
california_housing,regression,catboost,0,GramAnchor,condition_le_3_all,condition_le_3_all__m7,7,False,test,0.9276194820822351,62064.054446914015,0.1092688311903981,0.0
california_housing,regression,catboost,0,Raw+GramAnchor@0.75,condition_le_3_all,rbf_reference,-1,True,validation,0.9276194820822351,56142.757580068435,0.0,0.0
california_housing,regression,catboost,0,Raw+GramAnchor@0.75,condition_le_3_all,rbf_reference,-1,True,test,0.9276194820822351,61570.1108719411,0.0,0.0
california_housing,regression,catboost,0,Raw+GramAnchor@0.75,condition_le_3_all,condition_le_3_all__m0,0,False,validation,0.9276194820822351,56871.26134023371,0.10946408461332842,0.0
california_housing,regression,catboost,0,Raw+GramAnchor@0.75,condition_le_3_all,condition_le_3_all__m0,0,False,test,0.9276194820822351,61860.95045478045,0.10211395488818582,0.0
california_housing,regression,catboost,0,Raw+GramAnchor@0.75,condition_le_3_all,condition_le_3_all__m1,1,False,validation,0.9276194820822351,57315.54591419556,0.09720360184173599,0.0
california_housing,regression,catboost,0,Raw+GramAnchor@0.75,condition_le_3_all,condition_le_3_all__m1,1,False,test,0.9276194820822351,62217.93574928501,0.10467100298102677,0.0
california_housing,regression,catboost,0,Raw+GramAnchor@0.75,condition_le_3_all,condition_le_3_all__m2,2,False,validation,0.9276194820822351,56777.19023928531,0.09943910576957485,0.0
california_housing,regression,catboost,0,Raw+GramAnchor@0.75,condition_le_3_all,condition_le_3_all__m2,2,False,test,0.9276194820822351,62029.43220191813,0.09832689421581198,0.0
california_housing,regression,catboost,0,Raw+GramAnchor@0.75,condition_le_3_all,condition_le_3_all__m3,3,False,validation,0.9276194820822351,56507.61060955927,0.10436002748964911,0.0
california_housing,regression,catboost,0,Raw+GramAnchor@0.75,condition_le_3_all,condition_le_3_all__m3,3,False,test,0.9276194820822351,62256.885983300206,0.09759343871864928,0.0
california_housing,regression,catboost,0,Raw+GramAnchor@0.75,condition_le_3_all,condition_le_3_all__m4,4,False,validation,0.9276194820822351,56424.96736634908,0.12150518265249464,0.0
california_housing,regression,catboost,0,Raw+GramAnchor@0.75,condition_le_3_all,condition_le_3_all__m4,4,False,test,0.9276194820822351,61248.21603576114,0.11911744719337292,0.0
california_housing,regression,catboost,0,Raw+GramAnchor@0.75,condition_le_3_all,condition_le_3_all__m5,5,False,validation,0.9276194820822351,58403.27930178364,0.11566415930792821,0.0
california_housing,regression,catboost,0,Raw+GramAnchor@0.75,condition_le_3_all,condition_le_3_all__m5,5,False,test,0.9276194820822351,62658.03408552019,0.11253658784515824,0.0
california_housing,regression,catboost,0,Raw+GramAnchor@0.75,condition_le_3_all,condition_le_3_all__m6,6,False,validation,0.9276194820822351,56749.32433975287,0.11959834183129339,0.0
california_housing,regression,catboost,0,Raw+GramAnchor@0.75,condition_le_3_all,condition_le_3_all__m6,6,False,test,0.9276194820822351,61574.22722372329,0.1134588628962361,0.0
california_housing,regression,catboost,0,Raw+GramAnchor@0.75,condition_le_3_all,condition_le_3_all__m7,7,False,validation,0.9276194820822351,57187.817041965885,0.11531779063605962,0.0
california_housing,regression,catboost,0,Raw+GramAnchor@0.75,condition_le_3_all,condition_le_3_all__m7,7,False,test,0.9276194820822351,61726.16834775977,0.09191853862838398,0.0
california_housing,regression,catboost,0,MahalanobisGram-lambda1e-06,condition_le_3_all,rbf_reference,-1,True,validation,0.9541830589999052,61604.49528086206,0.0,0.0
california_housing,regression,catboost,0,MahalanobisGram-lambda1e-06,condition_le_3_all,rbf_reference,-1,True,test,0.9541830589999052,65921.01044480214,0.0,0.0
california_housing,regression,catboost,0,MahalanobisGram-lambda1e-06,condition_le_3_all,condition_le_3_all__m0,0,False,validation,0.9541830589999052,61269.52814605206,0.12139966973429658,0.0
california_housing,regression,catboost,0,MahalanobisGram-lambda1e-06,condition_le_3_all,condition_le_3_all__m0,0,False,test,0.9541830589999052,65757.56663431432,0.12426383342157438,0.0
california_housing,regression,catboost,0,MahalanobisGram-lambda1e-06,condition_le_3_all,condition_le_3_all__m1,1,False,validation,0.9541830589999052,61539.9477923815,0.12939875751054752,0.0
california_housing,regression,catboost,0,MahalanobisGram-lambda1e-06,condition_le_3_all,condition_le_3_all__m1,1,False,test,0.9541830589999052,66283.67542518496,0.1270306935756228,0.0
california_housing,regression,catboost,0,MahalanobisGram-lambda1e-06,condition_le_3_all,condition_le_3_all__m2,2,False,validation,0.9541830589999052,60732.144804695694,0.13526797879164892,0.0
california_housing,regression,catboost,0,MahalanobisGram-lambda1e-06,condition_le_3_all,condition_le_3_all__m2,2,False,test,0.9541830589999052,65641.59096176321,0.12593637961640614,0.0
california_housing,regression,catboost,0,MahalanobisGram-lambda1e-06,condition_le_3_all,condition_le_3_all__m3,3,False,validation,0.9541830589999052,61239.745705310736,0.13176423050468997,0.0
california_housing,regression,catboost,0,MahalanobisGram-lambda1e-06,condition_le_3_all,condition_le_3_all__m3,3,False,test,0.9541830589999052,66862.07835991214,0.126628621038499,0.0
california_housing,regression,catboost,0,MahalanobisGram-lambda1e-06,condition_le_3_all,condition_le_3_all__m4,4,False,validation,0.9541830589999052,61086.8582120867,0.12575569852463334,0.0
california_housing,regression,catboost,0,MahalanobisGram-lambda1e-06,condition_le_3_all,condition_le_3_all__m4,4,False,test,0.9541830589999052,66086.15943673151,0.12583442885413484,0.0
california_housing,regression,catboost,0,MahalanobisGram-lambda1e-06,condition_le_3_all,condition_le_3_all__m5,5,False,validation,0.9541830589999052,59950.49372119136,0.12519067552573285,0.0
california_housing,regression,catboost,0,MahalanobisGram-lambda1e-06,condition_le_3_all,condition_le_3_all__m5,5,False,test,0.9541830589999052,65905.98062107718,0.11857300956504717,0.0
california_housing,regression,catboost,0,MahalanobisGram-lambda1e-06,condition_le_3_all,condition_le_3_all__m6,6,False,validation,0.9541830589999052,61076.45013169301,0.12242812909517083,0.0
california_housing,regression,catboost,0,MahalanobisGram-lambda1e-06,condition_le_3_all,condition_le_3_all__m6,6,False,test,0.9541830589999052,66139.60904885472,0.11459405155991545,0.0
california_housing,regression,catboost,0,MahalanobisGram-lambda1e-06,condition_le_3_all,condition_le_3_all__m7,7,False,validation,0.9541830589999052,60808.66204460119,0.11632936266875099,0.0
california_housing,regression,catboost,0,MahalanobisGram-lambda1e-06,condition_le_3_all,condition_le_3_all__m7,7,False,test,0.9541830589999052,67006.1010421787,0.1241122379199923,0.0
california_housing,regression,catboost,0,MahalanobisGram-lambda0.0001,condition_le_3_all,rbf_reference,-1,True,validation,0.964108284151604,60417.94941885852,0.0,0.0
california_housing,regression,catboost,0,MahalanobisGram-lambda0.0001,condition_le_3_all,rbf_reference,-1,True,test,0.964108284151604,64457.87499562235,0.0,0.0
california_housing,regression,catboost,0,MahalanobisGram-lambda0.0001,condition_le_3_all,condition_le_3_all__m0,0,False,validation,0.964108284151604,61297.58712449803,0.11038442647973917,0.0
