dataset,problem_type,model,seed,method,track,split,disagreement,max_disagreement,task_error,orbit_mean_task_error,worst_orbit_task_error,runtime_seconds,raw_disagreement,raw_task_error,raw_worst_orbit_task_error,disagreement_reduction,relative_task_change,worst_orbit_gain,failure,predictive_rank
bike-sharing,regression,controlled_mlp,0,AdamW,optimizer,test,0.15903471189582,0.1938088897326442,76.40112529010118,76.55281190431567,80.96999380999816,3.6061926763504735,0.15903471189582,76.40112529010118,80.96999380999816,0.0,0.0,0.0,False,33.5
bike-sharing,regression,controlled_mlp,0,AdamW,optimizer,validation,0.1547397168960454,0.1981573770217764,70.5029563057822,70.50317389147263,72.74657242109483,3.6061926763504735,0.1547397168960454,70.5029563057822,72.74657242109483,0.0,0.0,0.0,False,28.5
bike-sharing,regression,controlled_mlp,0,BlockAdam,optimizer,test,0.1590411847880446,0.2019284142084547,74.99027149010388,77.47806664022555,81.5872607327821,5.436492175795138,0.15903471189582,76.40112529010118,80.96999380999816,-4.070112837273321e-05,-0.0184664007845456,-0.0076234033589332,False,22.0
bike-sharing,regression,controlled_mlp,0,BlockAdam,optimizer,validation,0.1541160481306718,0.2003818396561517,70.72837407087594,70.43073791438755,73.04467547496147,5.436492175795138,0.1547397168960454,70.5029563057822,72.74657242109483,0.0040304375494795,0.0031972810347989,-0.004097829546402,False,30.0
bike-sharing,regression,controlled_mlp,0,BlockAdam+DataInit,optimizer,test,9.245056311809154e-07,1.5669207760866472e-06,83.23696427483601,83.2369399009354,83.23696219912334,5.550554777728394,0.15903471189582,76.40112529010118,80.96999380999816,0.9999941867682838,0.0894730144193375,-0.0279976356975496,False,50.0
bike-sharing,regression,controlled_mlp,0,BlockAdam+DataInit,optimizer,validation,8.694249701659035e-07,1.617547923826612e-06,76.5139895592228,76.51397284182896,76.51398326862373,5.550554777728394,0.1547397168960454,70.5029563057822,72.74657242109483,0.9999943813715856,0.085259307813559,-0.0517881560896255,False,46.0
bike-sharing,regression,controlled_mlp,0,MatrixAdam,optimizer,test,0.1204147211710254,0.1462840965406019,68.45534552844703,70.6862169661071,75.19727394603831,10.95543832425028,0.15903471189582,76.40112529010118,80.96999380999816,0.2428400080989463,-0.104000821080624,0.0712945573085499,False,5.0
bike-sharing,regression,controlled_mlp,0,MatrixAdam,optimizer,validation,0.1279713789497716,0.1525211044612616,70.01478701283362,69.95145012198054,72.61536098314326,10.95543832425028,0.1547397168960454,70.5029563057822,72.74657242109483,0.1729894462987602,-0.0069240967829961,0.0018036786282114,False,23.0
bike-sharing,regression,controlled_mlp,0,MatrixAdam+DataInit,optimizer,test,7.059425168115414e-07,8.691465309867239e-07,76.66460083723439,76.66459310294906,76.66460544933389,10.389974092133343,0.15903471189582,76.40112529010118,80.96999380999816,0.9999955610790348,0.0034485820219633,0.0531726403581945,False,37.0
bike-sharing,regression,controlled_mlp,0,MatrixAdam+DataInit,optimizer,validation,7.423923662404821e-07,9.598854611176584e-07,72.63006691014625,72.63005515647268,72.63007194792549,10.389974092133343,0.1547397168960454,70.5029563057822,72.74657242109483,0.9999952023153388,0.0301705164693866,0.0016014565262947,False,37.0
bike-sharing,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer,test,0.043438097818663,0.0573570374453222,83.35526089113105,83.38004855256165,83.55012925266603,5.885571078164503,0.15903471189582,76.40112529010118,80.96999380999816,0.7268640455857314,0.0910213766436615,-0.0318653283921737,False,51.0
bike-sharing,regression,controlled_mlp,0,SoftBlockAdam-a0.1+DataInit,optimizer,validation,0.0449086991493313,0.0595267307888334,76.55259859791525,76.64599848730086,76.73871383770292,5.885571078164503,0.1547397168960454,70.5029563057822,72.74657242109483,0.7097791048725965,0.0858069307887574,-0.0548773816242435,False,47.0
bike-sharing,regression,controlled_mlp,0,SoftBlockAdam-a0.25+DataInit,optimizer,test,0.0442966481503084,0.0573861357764466,83.53231308356523,83.24248677605271,83.59004176856024,5.659107577754185,0.15903471189582,76.40112529010118,80.96999380999816,0.7214655365344,0.0933387795845461,-0.0323582581062092,False,52.0
bike-sharing,regression,controlled_mlp,0,SoftBlockAdam-a0.25+DataInit,optimizer,validation,0.0448209318764735,0.0586545409829907,76.56181665561043,76.69220335272945,76.85209974716906,5.659107577754185,0.1547397168960454,70.5029563057822,72.74657242109483,0.7103462977990038,0.0859376778975056,-0.056436024261175,False,48.0
bike-sharing,regression,controlled_mlp,1,AdamW,optimizer,test,0.1412077779335113,0.1999958672325489,78.00769345797514,75.48612597303716,78.63266746492822,4.429618244292215,0.1412077779335113,78.00769345797514,78.63266746492822,0.0,0.0,0.0,False,45.5
bike-sharing,regression,controlled_mlp,1,AdamW,optimizer,validation,0.129470260080016,0.1822186831622259,73.34231252782743,72.21327375776953,76.40138994440308,4.429618244292215,0.129470260080016,73.34231252782743,76.40138994440308,0.0,0.0,0.0,False,31.5
bike-sharing,regression,controlled_mlp,1,BlockAdam,optimizer,test,0.1393917918668852,0.1753289412106935,78.02681491391725,76.89486539104496,79.89636810830699,6.380241048056632,0.1412077779335113,78.00769345797514,78.63266746492822,0.0128603827154701,0.0002451226936021,-0.0160709369797534,False,47.0
bike-sharing,regression,controlled_mlp,1,BlockAdam,optimizer,validation,0.1285606647316672,0.1464249303414194,72.79825541979876,72.56401517795518,75.76018964069009,6.380241048056632,0.129470260080016,73.34231252782743,76.40138994440308,0.007025515726829,-0.0074180522712894,0.0083925214473138,False,26.0
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,optimizer,test,8.13160177199836e-07,1.1030589975283329e-06,86.21422834938512,86.21424296504259,86.21426315453527,4.842359693720937,0.1412077779335113,78.00769345797514,78.63266746492822,0.9999942413924424,0.1052016093237146,-0.0964178875527604,False,50.0
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,optimizer,validation,8.589595847570144e-07,1.1692864392552924e-06,79.35421334566081,79.35421871282296,79.35423087868564,4.842359693720937,0.129470260080016,73.34231252782743,76.40138994440308,0.9999933655838474,0.0819704289464877,-0.0386490473070101,False,50.0
bike-sharing,regression,controlled_mlp,1,MatrixAdam,optimizer,test,0.1390384617666124,0.1527002939648088,74.02082295726497,71.61599475052654,73.34741034292055,10.93151947716251,0.1412077779335113,78.00769345797514,78.63266746492822,0.0153625827036262,-0.0511086833102943,0.0672145215519363,False,20.0
bike-sharing,regression,controlled_mlp,1,MatrixAdam,optimizer,validation,0.1306141291372473,0.1418601913677634,72.61357108172501,70.71706707450015,73.61386276804565,10.93151947716251,0.129470260080016,73.34231252782743,76.40138994440308,-0.0088349946661445,-0.0099361667363013,0.0364852940291518,False,21.0
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,optimizer,test,9.864278607919674e-07,1.3057924519641106e-06,77.09817630355543,77.09820302428372,77.09821039638307,11.388343972386792,0.1412077779335113,78.00769345797514,78.63266746492822,0.9999930143517926,-0.0116593263318275,0.0195142441178095,False,42.0
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,optimizer,validation,1.0455870522868253e-06,1.3159678888087972e-06,74.81134976314134,74.81136094740198,74.81138259393076,11.388343972386792,0.129470260080016,73.34231252782743,76.40138994440308,0.9999919241140656,0.0200298734070666,0.02081123591638,False,41.0
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,optimizer,test,0.0175031910047784,0.0791143569098746,86.27273050175666,86.33149400598896,86.72633876592073,5.052156128920615,0.1412077779335113,78.00769345797514,78.63266746492822,0.8760465516777701,0.1059515629472382,-0.1029301378412789,False,51.0
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,optimizer,validation,0.0165382819466562,0.0731790921758247,79.41350189755076,79.51963181967939,79.66300318168243,5.052156128920615,0.129470260080016,73.34231252782743,76.40138994440308,0.8722619238083311,0.0827788102184507,-0.0426904960715087,False,51.0
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.25+DataInit,optimizer,test,0.0613683801033472,0.1202689166115859,86.50264905140816,85.4024592712114,86.58874961398618,5.316038235323504,0.1412077779335113,78.00769345797514,78.63266746492822,0.5654036838378478,0.1088989459483183,-0.1011803669588919,False,52.0
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.25+DataInit,optimizer,validation,0.0595837463318727,0.1235251311878391,79.53350935953371,79.64232557412046,79.75899988300725,5.316038235323504,0.129470260080016,73.34231252782743,76.40138994440308,0.5397881621999643,0.0844150752590085,-0.0439469745386502,False,52.0
bike-sharing,regression,controlled_mlp,2,AdamW,optimizer,test,0.1570453894991187,0.1818313398022987,79.1057565708493,75.94954651530125,79.65519674283632,4.312184639973566,0.1570453894991187,79.1057565708493,79.65519674283632,0.0,0.0,0.0,False,45.5
bike-sharing,regression,controlled_mlp,2,AdamW,optimizer,validation,0.1583410804985803,0.1809495395300894,71.14862399696966,72.4960185049988,76.6867730022676,4.312184639973566,0.1583410804985803,71.14862399696966,76.6867730022676,0.0,0.0,0.0,False,29.5
bike-sharing,regression,controlled_mlp,2,BlockAdam,optimizer,test,0.1547128539977637,0.2246426152473474,77.79467821843234,77.0112471689726,82.64995426753842,6.2073047265876085,0.1570453894991187,79.1057565708493,79.65519674283632,0.0148526200533134,-0.0165737413969705,-0.0375965115543001,False,44.0
bike-sharing,regression,controlled_mlp,2,BlockAdam,optimizer,validation,0.1514940416193182,0.2222091745960356,70.30851802128356,73.10160220198102,76.1367862027967,6.2073047265876085,0.1583410804985803,71.14862399696966,76.6867730022676,0.0432423402549885,-0.0118077613942594,0.007171859995395,False,22.0
bike-sharing,regression,controlled_mlp,2,BlockAdam+DataInit,optimizer,test,6.677944333814139e-07,7.689113112207848e-07,82.70708936127807,82.70709900306684,82.70711492922578,5.90068304981105,0.1570453894991187,79.1057565708493,79.65519674283632,0.9999957477616152,0.0455255463893239,-0.0383141127156142,False,50.0
bike-sharing,regression,controlled_mlp,2,BlockAdam+DataInit,optimizer,validation,7.025236499850773e-07,7.991814734892375e-07,75.94990377680082,75.9498963470642,75.94991279085642,5.90068304981105,0.1583410804985803,71.14862399696966,76.6867730022676,0.9999955632256154,0.0674823982546121,0.0096087002042633,False,49.0
bike-sharing,regression,controlled_mlp,2,MatrixAdam,optimizer,test,0.1369036298377828,0.1740539180135329,71.0951993881086,70.30229897350804,76.73093855144609,11.326095717260614,0.1570453894991187,79.1057565708493,79.65519674283632,0.1282543838158901,-0.1012638969651497,0.0367114552592355,False,8.0
bike-sharing,regression,controlled_mlp,2,MatrixAdam,optimizer,validation,0.1279689750852751,0.1553353963854124,68.8815916357741,70.8801708657928,72.36320785195942,11.326095717260614,0.1583410804985803,71.14862399696966,76.6867730022676,0.1918144382851897,-0.0318633338754677,0.0563795421432107,False,15.0
