dataset,problem_type,model,seed,method,track,split,disagreement,max_disagreement,task_error,orbit_mean_task_error,worst_orbit_task_error,runtime_seconds,raw_disagreement,raw_task_error,raw_worst_orbit_task_error,disagreement_reduction,relative_task_change,worst_orbit_gain,failure,predictive_rank
bike-sharing,regression,controlled_mlp,0,AdamW,optimizer,test,0.15903471189582002,0.1938088897326442,76.40112529010118,76.55281190431567,80.96999380999816,3.6061926763504744,0.15903471189582002,76.40112529010118,80.96999380999816,0.0,0.0,0.0,False,31.5
bike-sharing,regression,controlled_mlp,0,AdamW,optimizer,validation,0.15473971689604546,0.1981573770217764,70.5029563057822,70.50317389147263,72.74657242109483,3.6061926763504744,0.15473971689604546,70.5029563057822,72.74657242109483,0.0,0.0,0.0,False,26.5
bike-sharing,regression,controlled_mlp,0,BlockAdam,optimizer,test,0.15904118478804463,0.2019284142084547,74.99027149010388,77.47806664022555,81.5872607327821,5.436492175795138,0.15903471189582002,76.40112529010118,80.96999380999816,-4.070112837273321e-05,-0.018466400784545693,-0.007623403358933204,False,20.0
bike-sharing,regression,controlled_mlp,0,BlockAdam,optimizer,validation,0.1541160481306718,0.2003818396561517,70.72837407087594,70.43073791438755,73.04467547496147,5.436492175795138,0.15473971689604546,70.5029563057822,72.74657242109483,0.004030437549479515,0.00319728103479897,-0.004097829546402069,False,28.0
bike-sharing,regression,controlled_mlp,0,BlockAdam+DataInit,optimizer,test,9.245056311809154e-07,1.5669207760866472e-06,83.23696427483601,83.2369399009354,83.23696219912334,5.550554777728394,0.15903471189582002,76.40112529010118,80.96999380999816,0.9999941867682838,0.08947301441933751,-0.027997635697549695,False,46.0
bike-sharing,regression,controlled_mlp,0,BlockAdam+DataInit,optimizer,validation,8.694249701659035e-07,1.617547923826612e-06,76.5139895592228,76.51397284182896,76.51398326862373,5.550554777728394,0.15473971689604546,70.5029563057822,72.74657242109483,0.9999943813715857,0.08525930781355902,-0.05178815608962554,False,42.0
bike-sharing,regression,controlled_mlp,0,MatrixAdam,optimizer,test,0.12041472117102549,0.1462840965406019,68.45534552844703,70.6862169661071,75.19727394603831,10.95543832425028,0.15903471189582002,76.40112529010118,80.96999380999816,0.24284000809894635,-0.10400082108062401,0.07129455730854997,False,5.0
bike-sharing,regression,controlled_mlp,0,MatrixAdam,optimizer,validation,0.12797137894977165,0.1525211044612616,70.01478701283362,69.95145012198054,72.61536098314326,10.95543832425028,0.15473971689604546,70.5029563057822,72.74657242109483,0.17298944629876023,-0.006924096782996136,0.0018036786282114253,False,21.0
bike-sharing,regression,controlled_mlp,0,MatrixAdam+DataInit,optimizer,test,7.059425168115414e-07,8.691465309867239e-07,76.66460083723439,76.66459310294906,76.66460544933389,10.389974092133343,0.15903471189582002,76.40112529010118,80.96999380999816,0.9999955610790349,0.0034485820219633365,0.0531726403581945,False,35.0
bike-sharing,regression,controlled_mlp,0,MatrixAdam+DataInit,optimizer,validation,7.423923662404821e-07,9.598854611176584e-07,72.63006691014625,72.63005515647268,72.63007194792549,10.389974092133343,0.15473971689604546,70.5029563057822,72.74657242109483,0.9999952023153388,0.03017051646938664,0.0016014565262947866,False,35.0
