dataset,problem_type,model,seed,method,representation_id,member,is_reference,multiplier,learning_rate,validation_task_error,test_task_error,fit_seconds
california_housing,regression,controlled_mlp,1,AdamW,rbf_reference,-1,True,0.5,0.0005,61640.59262454469,63763.55026162334,0.4229959431104362
california_housing,regression,controlled_mlp,1,AdamW,orthogonal_all__m0,0,False,0.5,0.0005,62045.3570145072,65307.59806821087,0.485172487096861
california_housing,regression,controlled_mlp,1,AdamW,orthogonal_all__m1,1,False,0.5,0.0005,62521.7402922192,65747.50545403946,0.4918984309770167
california_housing,regression,controlled_mlp,1,AdamW,orthogonal_all__m2,2,False,0.5,0.0005,63038.927132558645,64486.26756314712,0.4339983600657433
california_housing,regression,controlled_mlp,1,AdamW,orthogonal_all__m3,3,False,0.5,0.0005,63540.69325701159,65147.48110586305,0.24944756599143147
california_housing,regression,controlled_mlp,1,AdamW,orthogonal_all__m4,4,False,0.5,0.0005,62405.16204615327,65641.71472765574,0.31924634613096714
california_housing,regression,controlled_mlp,1,AdamW,orthogonal_all__m5,5,False,0.5,0.0005,62433.85608778303,65356.00988604936,0.47662191092967987
california_housing,regression,controlled_mlp,1,AdamW,orthogonal_all__m6,6,False,0.5,0.0005,63414.57154883656,65582.7478477663,0.27683684485964477
california_housing,regression,controlled_mlp,1,AdamW,orthogonal_all__m7,7,False,0.5,0.0005,62343.840277986725,66056.01239697359,0.5043224301189184
california_housing,regression,controlled_mlp,1,AdamW,rbf_reference,-1,True,1.0,0.001,60603.919194023496,64520.1255845563,0.49833218287676573
california_housing,regression,controlled_mlp,1,AdamW,orthogonal_all__m0,0,False,1.0,0.001,61795.59712343009,64781.63283972324,0.32338294689543545
california_housing,regression,controlled_mlp,1,AdamW,orthogonal_all__m1,1,False,1.0,0.001,61503.42614911625,66144.05131980426,0.4586143270134926
california_housing,regression,controlled_mlp,1,AdamW,orthogonal_all__m2,2,False,1.0,0.001,61961.90368795185,64810.88539928307,0.4879037591163069
california_housing,regression,controlled_mlp,1,AdamW,orthogonal_all__m3,3,False,1.0,0.001,62478.486021724806,66163.57706340367,0.49220568989403546
california_housing,regression,controlled_mlp,1,AdamW,orthogonal_all__m4,4,False,1.0,0.001,61780.40447386554,65686.51440692588,0.4982072729617357
california_housing,regression,controlled_mlp,1,AdamW,orthogonal_all__m5,5,False,1.0,0.001,61523.16340065606,66080.66283042461,0.4485913938842714
california_housing,regression,controlled_mlp,1,AdamW,orthogonal_all__m6,6,False,1.0,0.001,62813.94244915738,65775.2103381074,0.30993572412990034
