dataset,problem_type,model,seed,method,representation_id,member,is_reference,multiplier,learning_rate,validation_task_error,test_task_error,fit_seconds
credit-g,classification,controlled_mlp,2,AdamW,rbf_reference,-1,True,0.5,0.0005,0.4670378677850355,0.4750768518129512,0.24734330107457936
credit-g,classification,controlled_mlp,2,AdamW,orthogonal_all__m0,0,False,0.5,0.0005,0.47432419315518326,0.49163889327166893,0.2732064169831574
credit-g,classification,controlled_mlp,2,AdamW,orthogonal_all__m1,1,False,0.5,0.0005,0.4700418590150962,0.47739850720554516,0.11322070402093232
credit-g,classification,controlled_mlp,2,AdamW,orthogonal_all__m2,2,False,0.5,0.0005,0.47546628575587846,0.48900402502195234,0.2045439458452165
credit-g,classification,controlled_mlp,2,AdamW,orthogonal_all__m3,3,False,0.5,0.0005,0.47116420193085295,0.4880223950620223,0.3208476649597287
credit-g,classification,controlled_mlp,2,AdamW,orthogonal_all__m4,4,False,0.5,0.0005,0.4677857686830752,0.4883662218049467,0.16606191406026483
credit-g,classification,controlled_mlp,2,AdamW,orthogonal_all__m5,5,False,0.5,0.0005,0.4708819031835346,0.49069025018341716,0.1505269859917462
credit-g,classification,controlled_mlp,2,AdamW,orthogonal_all__m6,6,False,0.5,0.0005,0.47499171933991347,0.49495736930255524,0.3765736990608275
credit-g,classification,controlled_mlp,2,AdamW,orthogonal_all__m7,7,False,0.5,0.0005,0.47150087403953567,0.49317031003828576,0.26515881391242146
credit-g,classification,controlled_mlp,2,AdamW,rbf_reference,-1,True,1.0,0.001,0.473389936465799,0.4906803187663125,0.09536748402751982
credit-g,classification,controlled_mlp,2,AdamW,orthogonal_all__m0,0,False,1.0,0.001,0.4786648421611786,0.5073909125362667,0.23747264384292066
credit-g,classification,controlled_mlp,2,AdamW,orthogonal_all__m1,1,False,1.0,0.001,0.47473810154185186,0.5091746666549899,0.12082725088112056
credit-g,classification,controlled_mlp,2,AdamW,orthogonal_all__m2,2,False,1.0,0.001,0.47650635792261886,0.511560033449606,0.13317007198929787
