dataset,problem_type,model,seed,method,representation_id,member,is_reference,multiplier,learning_rate,validation_task_error,test_task_error,fit_seconds
house_16H,regression,controlled_mlp,0,AdamW,rbf_reference,-1,True,0.5,0.0005,40172.37392143707,35264.938948007446,0.3698746401350945
house_16H,regression,controlled_mlp,0,AdamW,orthogonal_all__m0,0,False,0.5,0.0005,38904.18361351034,34927.039644164826,0.6098803908098489
house_16H,regression,controlled_mlp,0,AdamW,orthogonal_all__m1,1,False,0.5,0.0005,38800.512245329046,34709.94153434698,0.5915233760606498
house_16H,regression,controlled_mlp,0,AdamW,orthogonal_all__m2,2,False,0.5,0.0005,39282.797886746346,33450.89433372326,0.6834364142268896
house_16H,regression,controlled_mlp,0,AdamW,orthogonal_all__m3,3,False,0.5,0.0005,40540.95987015733,34872.032091209374,0.5800648031290621
house_16H,regression,controlled_mlp,0,AdamW,orthogonal_all__m4,4,False,0.5,0.0005,39003.03898395971,34655.01251974848,0.5195497658569366
house_16H,regression,controlled_mlp,0,AdamW,orthogonal_all__m5,5,False,0.5,0.0005,38838.469917774935,32880.27071133532,0.8257272141054273
house_16H,regression,controlled_mlp,0,AdamW,orthogonal_all__m6,6,False,0.5,0.0005,40468.636676433176,35000.717139370405,0.5087025640532374
house_16H,regression,controlled_mlp,0,AdamW,orthogonal_all__m7,7,False,0.5,0.0005,40504.63033427377,34782.46681661504,0.7993214831221849
house_16H,regression,controlled_mlp,0,AdamW,rbf_reference,-1,True,1.0,0.001,39664.90278506632,35132.52082471339,0.7884070298168808
house_16H,regression,controlled_mlp,0,AdamW,orthogonal_all__m0,0,False,1.0,0.001,38529.93265654081,35941.40200330246,0.5568233979865909
house_16H,regression,controlled_mlp,0,AdamW,orthogonal_all__m1,1,False,1.0,0.001,37329.72289627385,35818.22393015817,0.5298158410005271
house_16H,regression,controlled_mlp,0,AdamW,orthogonal_all__m2,2,False,1.0,0.001,38380.0481551474,34036.94747260847,0.7492958870716393
house_16H,regression,controlled_mlp,0,AdamW,orthogonal_all__m3,3,False,1.0,0.001,39655.43358715371,35542.01253832941,0.49110599304549396
house_16H,regression,controlled_mlp,0,AdamW,orthogonal_all__m4,4,False,1.0,0.001,38237.96132483296,35533.414598501855,0.5395169430412352
house_16H,regression,controlled_mlp,0,AdamW,orthogonal_all__m5,5,False,1.0,0.001,38822.738754114354,34778.65707201754,0.750157805159688
house_16H,regression,controlled_mlp,0,AdamW,orthogonal_all__m6,6,False,1.0,0.001,38594.33232820673,35387.93913656513,0.7668609381653368
house_16H,regression,controlled_mlp,0,AdamW,orthogonal_all__m7,7,False,1.0,0.001,38559.41067670378,35516.43866351973,0.5676582979504019
house_16H,regression,controlled_mlp,0,AdamW,rbf_reference,-1,True,2.0,0.002,38348.22710291196,35394.10249247182,0.35204257210716605
house_16H,regression,controlled_mlp,0,AdamW,orthogonal_all__m0,0,False,2.0,0.002,39039.41473922442,35487.92689596423,0.3382265390828252
house_16H,regression,controlled_mlp,0,AdamW,orthogonal_all__m1,1,False,2.0,0.002,37573.09096525621,33415.175642729584,0.440289868041873
house_16H,regression,controlled_mlp,0,AdamW,orthogonal_all__m2,2,False,2.0,0.002,37971.97645384867,35482.42347795741,0.2772046390455216
house_16H,regression,controlled_mlp,0,AdamW,orthogonal_all__m3,3,False,2.0,0.002,39414.01321975008,36850.67480466597,0.27705357200466096
house_16H,regression,controlled_mlp,0,AdamW,orthogonal_all__m4,4,False,2.0,0.002,37520.66279767431,34985.93771931481,0.41712196404114366
house_16H,regression,controlled_mlp,0,AdamW,orthogonal_all__m5,5,False,2.0,0.002,38302.94197812823,34487.56373983799,0.5561527539975941
house_16H,regression,controlled_mlp,0,AdamW,orthogonal_all__m6,6,False,2.0,0.002,39115.41833248225,35477.015613553776,0.3091099930461496
house_16H,regression,controlled_mlp,0,AdamW,orthogonal_all__m7,7,False,2.0,0.002,38469.088546709674,34382.63498051431,0.3807920031249523
house_16H,regression,controlled_mlp,0,BlockAdam+DataInit,rbf_reference,-1,True,0.5,0.0005,40095.796700518316,35003.03164508685,1.1420285331550986
house_16H,regression,controlled_mlp,0,BlockAdam+DataInit,orthogonal_all__m0,0,False,0.5,0.0005,40095.79372015027,35003.03106365129,1.0221437059808522
