dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,selected_lr_multiplier,selected_learning_rate,task_error,disagreement,fit_seconds
phoneme,classification,controlled_mlp,0,AdamW,optimizer_equal_hpo,rbf_reference,-1,True,validation,2.0,0.002,0.28741776289054355,0.0,0.3138009139802307
phoneme,classification,controlled_mlp,0,AdamW,optimizer_equal_hpo,rbf_reference,-1,True,test,2.0,0.002,0.35719407684685756,0.0,0.3138009139802307
phoneme,classification,controlled_mlp,0,AdamW,optimizer_equal_hpo,orthogonal_all__m0,0,False,validation,1.0,0.001,0.2916474659611057,0.05562309037501336,0.5177518678829074
phoneme,classification,controlled_mlp,0,AdamW,optimizer_equal_hpo,orthogonal_all__m0,0,False,test,1.0,0.001,0.3457479494651017,0.05382678332286301,0.5177518678829074
phoneme,classification,controlled_mlp,0,AdamW,optimizer_equal_hpo,orthogonal_all__m1,1,False,validation,2.0,0.002,0.27560911709606223,0.06999725893232407,0.4169366981368512
phoneme,classification,controlled_mlp,0,AdamW,optimizer_equal_hpo,orthogonal_all__m1,1,False,test,2.0,0.002,0.37316796925992146,0.0779679108741015,0.4169366981368512
phoneme,classification,controlled_mlp,0,AdamW,optimizer_equal_hpo,orthogonal_all__m2,2,False,validation,2.0,0.002,0.2786616068730927,0.041766380502850795,0.2681602181401104
phoneme,classification,controlled_mlp,0,AdamW,optimizer_equal_hpo,orthogonal_all__m2,2,False,test,2.0,0.002,0.3609508476061793,0.04408450459040596,0.2681602181401104
phoneme,classification,controlled_mlp,0,AdamW,optimizer_equal_hpo,orthogonal_all__m3,3,False,validation,2.0,0.002,0.2849414873556329,0.0477090161189187,0.31929210387170315
phoneme,classification,controlled_mlp,0,AdamW,optimizer_equal_hpo,orthogonal_all__m3,3,False,test,2.0,0.002,0.3477184379529272,0.050183956258895046,0.31929210387170315
phoneme,classification,controlled_mlp,0,AdamW,optimizer_equal_hpo,orthogonal_all__m4,4,False,validation,2.0,0.002,0.2871325371393163,0.05183618320584928,0.4395164579618722
phoneme,classification,controlled_mlp,0,AdamW,optimizer_equal_hpo,orthogonal_all__m4,4,False,test,2.0,0.002,0.35208752792442977,0.05661526709939638,0.4395164579618722
phoneme,classification,controlled_mlp,0,AdamW,optimizer_equal_hpo,orthogonal_all__m5,5,False,validation,1.0,0.001,0.28387233232122294,0.0653262054950936,0.5633769892156124
phoneme,classification,controlled_mlp,0,AdamW,optimizer_equal_hpo,orthogonal_all__m5,5,False,test,1.0,0.001,0.3504223297527965,0.059643650122591985,0.5633769892156124
phoneme,classification,controlled_mlp,0,AdamW,optimizer_equal_hpo,orthogonal_all__m6,6,False,validation,2.0,0.002,0.28779915170012593,0.04420614087832729,0.3321428201161325
phoneme,classification,controlled_mlp,0,AdamW,optimizer_equal_hpo,orthogonal_all__m6,6,False,test,2.0,0.002,0.34450187531068555,0.043939872699191126,0.3321428201161325
phoneme,classification,controlled_mlp,0,AdamW,optimizer_equal_hpo,orthogonal_all__m7,7,False,validation,1.0,0.001,0.2807328497132942,0.07756594887420797,0.5687485400121659
phoneme,classification,controlled_mlp,0,AdamW,optimizer_equal_hpo,orthogonal_all__m7,7,False,test,1.0,0.001,0.35831353473155614,0.0760885474844712,0.5687485400121659
phoneme,classification,controlled_mlp,0,BlockAdam+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,validation,1.0,0.001,0.2760166036108719,0.0,0.7702975349966437
phoneme,classification,controlled_mlp,0,BlockAdam+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,test,1.0,0.001,0.3444830433139443,0.0,0.7702975349966437
phoneme,classification,controlled_mlp,0,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,validation,1.0,0.001,0.27601657083931797,2.0139371685401555e-07,0.6644171059597284
phoneme,classification,controlled_mlp,0,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,test,1.0,0.001,0.3444830772273614,2.083845987075455e-07,0.6644171059597284
phoneme,classification,controlled_mlp,0,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,validation,1.0,0.001,0.2760165807719371,1.9615823753719532e-07,0.706812412943691
