dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,selected_lr_multiplier,selected_learning_rate,task_error,disagreement,fit_seconds
wine-quality-red,regression,controlled_mlp,2,AdamW,optimizer_equal_hpo,rbf_reference,-1,True,validation,1.0,0.001,0.6493292457107712,0.0,0.17573261610232294
wine-quality-red,regression,controlled_mlp,2,AdamW,optimizer_equal_hpo,rbf_reference,-1,True,test,1.0,0.001,0.6962309332751172,0.0,0.17573261610232294
wine-quality-red,regression,controlled_mlp,2,AdamW,optimizer_equal_hpo,orthogonal_all__m0,0,False,validation,0.5,0.0005,0.6514782288970912,0.12872782054474427,0.2870719830971211
wine-quality-red,regression,controlled_mlp,2,AdamW,optimizer_equal_hpo,orthogonal_all__m0,0,False,test,0.5,0.0005,0.7103640581202162,0.14413427206655952,0.2870719830971211
wine-quality-red,regression,controlled_mlp,2,AdamW,optimizer_equal_hpo,orthogonal_all__m1,1,False,validation,0.5,0.0005,0.6610162543389723,0.10950571672674322,0.2627497501671314
wine-quality-red,regression,controlled_mlp,2,AdamW,optimizer_equal_hpo,orthogonal_all__m1,1,False,test,0.5,0.0005,0.6980554350802369,0.11334156333808347,0.2627497501671314
wine-quality-red,regression,controlled_mlp,2,AdamW,optimizer_equal_hpo,orthogonal_all__m2,2,False,validation,0.5,0.0005,0.6533522847141232,0.11097244503111045,0.25904067303054035
wine-quality-red,regression,controlled_mlp,2,AdamW,optimizer_equal_hpo,orthogonal_all__m2,2,False,test,0.5,0.0005,0.6994377612734283,0.12052209683997638,0.25904067303054035
wine-quality-red,regression,controlled_mlp,2,AdamW,optimizer_equal_hpo,orthogonal_all__m3,3,False,validation,0.5,0.0005,0.6538543386348613,0.09448410286205192,0.22313747694715858
wine-quality-red,regression,controlled_mlp,2,AdamW,optimizer_equal_hpo,orthogonal_all__m3,3,False,test,0.5,0.0005,0.6986417574049655,0.10144952671039062,0.22313747694715858
wine-quality-red,regression,controlled_mlp,2,AdamW,optimizer_equal_hpo,orthogonal_all__m4,4,False,validation,0.5,0.0005,0.658536221645037,0.11172654756741526,0.22791364998556674
wine-quality-red,regression,controlled_mlp,2,AdamW,optimizer_equal_hpo,orthogonal_all__m4,4,False,test,0.5,0.0005,0.692465415646748,0.11625176233645133,0.22791364998556674
wine-quality-red,regression,controlled_mlp,2,AdamW,optimizer_equal_hpo,orthogonal_all__m5,5,False,validation,0.5,0.0005,0.6542573609659832,0.11739854425115102,0.26948456396348774
wine-quality-red,regression,controlled_mlp,2,AdamW,optimizer_equal_hpo,orthogonal_all__m5,5,False,test,0.5,0.0005,0.7066085659071184,0.12595122827477573,0.26948456396348774
wine-quality-red,regression,controlled_mlp,2,AdamW,optimizer_equal_hpo,orthogonal_all__m6,6,False,validation,0.5,0.0005,0.6577219345809554,0.10586018820739827,0.2244144701398909
wine-quality-red,regression,controlled_mlp,2,AdamW,optimizer_equal_hpo,orthogonal_all__m6,6,False,test,0.5,0.0005,0.7011446012011585,0.11846684912249243,0.2244144701398909
wine-quality-red,regression,controlled_mlp,2,AdamW,optimizer_equal_hpo,orthogonal_all__m7,7,False,validation,0.5,0.0005,0.6645396794876357,0.12356542157351637,0.22258986113592982
wine-quality-red,regression,controlled_mlp,2,AdamW,optimizer_equal_hpo,orthogonal_all__m7,7,False,test,0.5,0.0005,0.6972296636192322,0.11960430356218167,0.22258986113592982
wine-quality-red,regression,controlled_mlp,2,BlockAdam+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,validation,1.0,0.001,0.6735258153894882,0.0,0.35974271898157895
wine-quality-red,regression,controlled_mlp,2,BlockAdam+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,test,1.0,0.001,0.7135136295330721,0.0,0.35974271898157895
wine-quality-red,regression,controlled_mlp,2,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,validation,1.0,0.001,0.6735258211440117,4.967007308204947e-07,0.3941858059260994
wine-quality-red,regression,controlled_mlp,2,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,test,1.0,0.001,0.7135136080291751,5.55544982460415e-07,0.3941858059260994
wine-quality-red,regression,controlled_mlp,2,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,validation,1.0,0.001,0.6735257768688377,3.431038668842753e-07,0.37220027204602957
wine-quality-red,regression,controlled_mlp,2,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,test,1.0,0.001,0.7135136236191562,3.735207813389271e-07,0.37220027204602957
wine-quality-red,regression,controlled_mlp,2,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m2,2,False,validation,1.0,0.001,0.6735257843214165,3.538846179779904e-07,0.43199456203728914
wine-quality-red,regression,controlled_mlp,2,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m2,2,False,test,1.0,0.001,0.7135136086263173,4.163415242094195e-07,0.43199456203728914
wine-quality-red,regression,controlled_mlp,2,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m3,3,False,validation,1.0,0.001,0.6735258043020592,4.4058279630985786e-07,0.3833224440459162
wine-quality-red,regression,controlled_mlp,2,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m3,3,False,test,1.0,0.001,0.7135136202452086,4.677491172031643e-07,0.3833224440459162
wine-quality-red,regression,controlled_mlp,2,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m4,4,False,validation,1.0,0.001,0.6735257720277359,3.677676830129891e-07,0.3658967879600823
wine-quality-red,regression,controlled_mlp,2,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m4,4,False,test,1.0,0.001,0.7135135998934117,4.008201975607705e-07,0.3658967879600823
wine-quality-red,regression,controlled_mlp,2,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,validation,1.0,0.001,0.6735257783629861,3.9565503099516536e-07,0.40032431203871965
wine-quality-red,regression,controlled_mlp,2,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,test,1.0,0.001,0.7135135813809558,3.968450229882734e-07,0.40032431203871965
wine-quality-red,regression,controlled_mlp,2,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,validation,1.0,0.001,0.6735258100519858,3.7784537583412095e-07,0.3429216630756855
wine-quality-red,regression,controlled_mlp,2,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,test,1.0,0.001,0.7135136203183493,3.846731037703151e-07,0.3429216630756855
wine-quality-red,regression,controlled_mlp,2,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,validation,1.0,0.001,0.6735257872866235,2.9395864124156216e-07,0.404233569977805
wine-quality-red,regression,controlled_mlp,2,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,test,1.0,0.001,0.7135136121387011,3.394228320389455e-07,0.404233569977805
wine-quality-red,regression,controlled_mlp,2,MatrixAdam+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,validation,0.5,0.0005,0.6612664392351504,0.0,0.9241076640319079
wine-quality-red,regression,controlled_mlp,2,MatrixAdam+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,test,0.5,0.0005,0.7000235689945765,0.0,0.9241076640319079
wine-quality-red,regression,controlled_mlp,2,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,validation,0.5,0.0005,0.6612664363538027,3.6606109522909995e-07,0.9245883179828525
wine-quality-red,regression,controlled_mlp,2,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,test,0.5,0.0005,0.7000235833675457,4.008201975607705e-07,0.9245883179828525
wine-quality-red,regression,controlled_mlp,2,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,validation,0.5,0.0005,0.6612664624276245,3.574059446879091e-07,0.9053273471072316
wine-quality-red,regression,controlled_mlp,2,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,test,0.5,0.0005,0.7000235577747632,3.663782334171743e-07,0.9053273471072316
wine-quality-red,regression,controlled_mlp,2,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m2,2,False,validation,0.5,0.0005,0.6612664372168535,3.538846179779904e-07,0.9115007449872792
