dataset,problem_type,model,seed,method,representation_id,member,is_reference,multiplier,learning_rate,validation_task_error,test_task_error,fit_seconds
bike-sharing,regression,tabm_d,0,AdamW,rbf_reference,-1,True,0.5,0.001,90.60996049992049,93.68408380365887,0.4681280830409378
bike-sharing,regression,tabm_d,0,AdamW,orthogonal_all__m0,0,False,0.5,0.001,84.08695875189662,84.87728730421235,0.26059741200879216
bike-sharing,regression,tabm_d,0,AdamW,orthogonal_all__m1,1,False,0.5,0.001,86.55986056009878,90.29174268148877,0.45287824887782335
bike-sharing,regression,tabm_d,0,AdamW,orthogonal_all__m2,2,False,0.5,0.001,82.35770005708672,86.7880778189077,0.4085876690223813
bike-sharing,regression,tabm_d,0,AdamW,orthogonal_all__m3,3,False,0.5,0.001,87.14766960535691,89.54058765594884,0.4827206451445818
bike-sharing,regression,tabm_d,0,AdamW,orthogonal_all__m4,4,False,0.5,0.001,86.95759230627964,91.05401800631941,0.3344867010600865
bike-sharing,regression,tabm_d,0,AdamW,orthogonal_all__m5,5,False,0.5,0.001,87.57926774271239,89.82599589654703,0.3296029439661652
bike-sharing,regression,tabm_d,0,AdamW,orthogonal_all__m6,6,False,0.5,0.001,84.60997741599915,87.29324316960451,0.3221837170422077
bike-sharing,regression,tabm_d,0,AdamW,orthogonal_all__m7,7,False,0.5,0.001,90.18252835276958,94.23458908453472,0.5105332019738853
bike-sharing,regression,tabm_d,0,AdamW,rbf_reference,-1,True,1.0,0.002,73.61086101383552,74.9066739681887,0.3801734240259975
bike-sharing,regression,tabm_d,0,AdamW,orthogonal_all__m0,0,False,1.0,0.002,68.15920425633885,67.14514793653089,0.40208205790258944
bike-sharing,regression,tabm_d,0,AdamW,orthogonal_all__m1,1,False,1.0,0.002,71.1627953798793,71.12758383188653,0.4855566960759461
bike-sharing,regression,tabm_d,0,AdamW,orthogonal_all__m2,2,False,1.0,0.002,66.62401805372853,68.02448755231113,0.5215758860576898
bike-sharing,regression,tabm_d,0,AdamW,orthogonal_all__m3,3,False,1.0,0.002,71.52460749755468,69.90543414499867,0.4279001799877733
bike-sharing,regression,tabm_d,0,AdamW,orthogonal_all__m4,4,False,1.0,0.002,73.33910577133152,74.04982725464289,0.4912233520299196
bike-sharing,regression,tabm_d,0,AdamW,orthogonal_all__m5,5,False,1.0,0.002,71.54404691171638,71.31690429087662,0.5506682209670544
bike-sharing,regression,tabm_d,0,AdamW,orthogonal_all__m6,6,False,1.0,0.002,69.7590728541366,68.86563092736282,0.34195400797761977
bike-sharing,regression,tabm_d,0,AdamW,orthogonal_all__m7,7,False,1.0,0.002,73.3986357215716,75.99581172336536,0.5771408400032669
bike-sharing,regression,tabm_d,0,AdamW,rbf_reference,-1,True,2.0,0.004,62.39661754203905,63.58371306143935,0.3947502609807998
bike-sharing,regression,tabm_d,0,AdamW,orthogonal_all__m0,0,False,2.0,0.004,58.967799878936724,58.524026129001754,0.39735050895251334
bike-sharing,regression,tabm_d,0,AdamW,orthogonal_all__m1,1,False,2.0,0.004,63.15248580960846,64.01965853878198,0.4714059978723526
bike-sharing,regression,tabm_d,0,AdamW,orthogonal_all__m2,2,False,2.0,0.004,57.677483888716,59.04272201357234,0.3730389850679785
bike-sharing,regression,tabm_d,0,AdamW,orthogonal_all__m3,3,False,2.0,0.004,62.606514156013546,60.298270736468076,0.4341525579802692
bike-sharing,regression,tabm_d,0,AdamW,orthogonal_all__m4,4,False,2.0,0.004,63.22848747620792,62.45027891537801,0.4025174821726978
bike-sharing,regression,tabm_d,0,AdamW,orthogonal_all__m5,5,False,2.0,0.004,60.98277225820264,59.95226934392382,0.5608924820553511
bike-sharing,regression,tabm_d,0,AdamW,orthogonal_all__m6,6,False,2.0,0.004,58.99835693702496,57.65977165817975,0.4471353238914162
bike-sharing,regression,tabm_d,0,AdamW,orthogonal_all__m7,7,False,2.0,0.004,66.20752605573476,65.93912374505223,0.3981189460027963
bike-sharing,regression,tabm_d,0,BlockAdam+DataInit,rbf_reference,-1,True,0.5,0.001,81.5039759147891,92.58982590833205,0.5357355941087008
bike-sharing,regression,tabm_d,0,BlockAdam+DataInit,orthogonal_all__m0,0,False,0.5,0.001,81.4316421011258,92.71272228219335,0.4596318199764937
bike-sharing,regression,tabm_d,0,BlockAdam+DataInit,orthogonal_all__m1,1,False,0.5,0.001,81.44542481472138,92.83156822417197,0.5320347079541534
bike-sharing,regression,tabm_d,0,BlockAdam+DataInit,orthogonal_all__m2,2,False,0.5,0.001,81.3962307716019,92.7448530439596,0.5785330038052052
bike-sharing,regression,tabm_d,0,BlockAdam+DataInit,orthogonal_all__m3,3,False,0.5,0.001,81.57230691796288,92.6637228695002,0.5977077600546181
bike-sharing,regression,tabm_d,0,BlockAdam+DataInit,orthogonal_all__m4,4,False,0.5,0.001,81.35318694592804,92.58672406325303,0.38737540994770825
bike-sharing,regression,tabm_d,0,BlockAdam+DataInit,orthogonal_all__m5,5,False,0.5,0.001,81.3046989127991,92.53122718943732,0.3844932480715215
