dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,selected_lr_multiplier,selected_learning_rate,task_error,disagreement,fit_seconds
house_16H,regression,tabm_d,1,AdamW,optimizer_equal_hpo,rbf_reference,-1,True,validation,2.0,0.004,40381.84203068564,0.0,0.31739676906727254
house_16H,regression,tabm_d,1,AdamW,optimizer_equal_hpo,rbf_reference,-1,True,test,2.0,0.004,34333.2284636498,0.0,0.31739676906727254
house_16H,regression,tabm_d,1,AdamW,optimizer_equal_hpo,orthogonal_all__m0,0,False,validation,2.0,0.004,40527.75501995172,0.1189847601438924,0.23005021503195167
house_16H,regression,tabm_d,1,AdamW,optimizer_equal_hpo,orthogonal_all__m0,0,False,test,2.0,0.004,35659.70622570544,0.12208701935062465,0.23005021503195167
house_16H,regression,tabm_d,1,AdamW,optimizer_equal_hpo,orthogonal_all__m1,1,False,validation,2.0,0.004,41344.92513772866,0.13490399879831572,0.31120979809202254
house_16H,regression,tabm_d,1,AdamW,optimizer_equal_hpo,orthogonal_all__m1,1,False,test,2.0,0.004,33754.2083921934,0.16363869446528953,0.31120979809202254
house_16H,regression,tabm_d,1,AdamW,optimizer_equal_hpo,orthogonal_all__m2,2,False,validation,1.0,0.002,41289.25251578712,0.20254928495684743,0.5370925669558346
house_16H,regression,tabm_d,1,AdamW,optimizer_equal_hpo,orthogonal_all__m2,2,False,test,1.0,0.002,32875.14931307621,0.22306575525667507,0.5370925669558346
house_16H,regression,tabm_d,1,AdamW,optimizer_equal_hpo,orthogonal_all__m3,3,False,validation,2.0,0.004,38905.60450776758,0.2276614346893529,0.3526541378814727
house_16H,regression,tabm_d,1,AdamW,optimizer_equal_hpo,orthogonal_all__m3,3,False,test,2.0,0.004,32306.44967909285,0.2680047154595587,0.3526541378814727
house_16H,regression,tabm_d,1,AdamW,optimizer_equal_hpo,orthogonal_all__m4,4,False,validation,2.0,0.004,39450.06765404043,0.22632376452090683,0.3746931098867208
house_16H,regression,tabm_d,1,AdamW,optimizer_equal_hpo,orthogonal_all__m4,4,False,test,2.0,0.004,32986.86292495802,0.2774464260446481,0.3746931098867208
house_16H,regression,tabm_d,1,AdamW,optimizer_equal_hpo,orthogonal_all__m5,5,False,validation,2.0,0.004,41446.26822207067,0.13391352649695606,0.37927503208629787
house_16H,regression,tabm_d,1,AdamW,optimizer_equal_hpo,orthogonal_all__m5,5,False,test,2.0,0.004,33639.34379503663,0.13852688174974745,0.37927503208629787
house_16H,regression,tabm_d,1,AdamW,optimizer_equal_hpo,orthogonal_all__m6,6,False,validation,2.0,0.004,40467.5536461751,0.1350934473438051,0.6307915879879147
house_16H,regression,tabm_d,1,AdamW,optimizer_equal_hpo,orthogonal_all__m6,6,False,test,2.0,0.004,34621.51144200955,0.13779390741302366,0.6307915879879147
house_16H,regression,tabm_d,1,AdamW,optimizer_equal_hpo,orthogonal_all__m7,7,False,validation,2.0,0.004,40531.322834033395,0.1761967099277776,0.415835372870788
house_16H,regression,tabm_d,1,AdamW,optimizer_equal_hpo,orthogonal_all__m7,7,False,test,2.0,0.004,33233.831172147206,0.20689547804707922,0.415835372870788
house_16H,regression,tabm_d,1,BlockAdam+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,validation,0.5,0.001,38039.74548571026,0.0,0.7725837659090757
house_16H,regression,tabm_d,1,BlockAdam+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,test,0.5,0.001,35485.78868456902,0.0,0.7725837659090757
house_16H,regression,tabm_d,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,validation,1.0,0.002,38264.01198672279,0.1115591457054396,0.48236093297600746
house_16H,regression,tabm_d,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,test,1.0,0.002,35658.568074780196,0.15451232995287328,0.48236093297600746
house_16H,regression,tabm_d,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,validation,0.5,0.001,38015.56505447751,0.016996256070588873,0.6867136470973492
house_16H,regression,tabm_d,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,test,0.5,0.001,35417.46263157955,0.024395156392777083,0.6867136470973492
house_16H,regression,tabm_d,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m2,2,False,validation,0.5,0.001,38146.57434986559,0.023151657664654837,0.764347726944834
house_16H,regression,tabm_d,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m2,2,False,test,0.5,0.001,35428.170659890406,0.035284674153791204,0.764347726944834
house_16H,regression,tabm_d,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m3,3,False,validation,0.5,0.001,38162.64927006331,0.022974691821182287,0.597005955176428
house_16H,regression,tabm_d,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m3,3,False,test,0.5,0.001,35504.45921613188,0.03710226167566854,0.597005955176428
house_16H,regression,tabm_d,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m4,4,False,validation,1.0,0.002,38379.835714937035,0.10758805011139787,0.5814368650317192
house_16H,regression,tabm_d,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m4,4,False,test,1.0,0.002,35446.29144700365,0.1575291491232918,0.5814368650317192
house_16H,regression,tabm_d,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,validation,0.5,0.001,38064.45241334535,0.012105845407145006,0.7456874721683562
house_16H,regression,tabm_d,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,test,0.5,0.001,35622.579082472614,0.022139008297385104,0.7456874721683562
house_16H,regression,tabm_d,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,validation,0.5,0.001,38374.713830291534,0.02618828807297678,0.653292543021962
house_16H,regression,tabm_d,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,test,0.5,0.001,35487.79078888411,0.03694128032701339,0.653292543021962
house_16H,regression,tabm_d,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,validation,0.5,0.001,38290.237162679696,0.022327329821701783,0.7542637300211936
house_16H,regression,tabm_d,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,test,0.5,0.001,35303.22481414981,0.030933669859040416,0.7542637300211936
house_16H,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,validation,1.0,0.002,37565.29916952828,0.0,1.3170770730357617
house_16H,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,test,1.0,0.002,35757.59425153493,0.0,1.3170770730357617
house_16H,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,validation,1.0,0.002,37642.93345510978,0.016720373440613376,1.4662060979753733
house_16H,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,test,1.0,0.002,35597.43724635826,0.024579785741570916,1.4662060979753733
house_16H,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,validation,1.0,0.002,37516.5683425343,0.008642920944098152,1.5141819128766656
house_16H,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,test,1.0,0.002,35823.10467446596,0.014282592114425247,1.5141819128766656
house_16H,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m2,2,False,validation,1.0,0.002,37941.35889567316,0.046830605283607475,1.3547195880673826
house_16H,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m2,2,False,test,1.0,0.002,35012.627596845545,0.08794001476443175,1.3547195880673826
house_16H,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m3,3,False,validation,1.0,0.002,37920.47299261781,0.05273526551449334,1.3305296630132943
house_16H,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m3,3,False,test,1.0,0.002,35090.74676829118,0.09596254610709626,1.3305296630132943
house_16H,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m4,4,False,validation,2.0,0.004,37767.53441543717,0.10947958913878274,1.0402476659510285
house_16H,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m4,4,False,test,2.0,0.004,35266.89747161203,0.15964377200745705,1.0402476659510285
house_16H,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,validation,1.0,0.002,37648.05652939521,0.012102191712394171,1.3369145889300853
house_16H,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,test,1.0,0.002,35506.54360087051,0.022032128554750688,1.3369145889300853
house_16H,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,validation,2.0,0.004,37770.918423097726,0.11085207307606318,0.925196920055896
house_16H,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,test,2.0,0.004,35729.29159283246,0.1653975637039475,0.925196920055896
house_16H,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,validation,1.0,0.002,37713.51776327321,0.025309545041259214,1.0842718959320337
house_16H,regression,tabm_d,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,test,1.0,0.002,35893.78916842136,0.03466081530161099,1.0842718959320337
house_16H,regression,tabm_d,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,validation,1.0,0.002,38203.96873197068,0.0,0.5832049190066755
house_16H,regression,tabm_d,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,test,1.0,0.002,36568.766844569116,0.0,0.5832049190066755
house_16H,regression,tabm_d,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,validation,0.5,0.001,38205.618774207695,0.13679728575205782,0.635402319021523
house_16H,regression,tabm_d,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,test,0.5,0.001,35313.04327084457,0.18388583768883568,0.635402319021523
house_16H,regression,tabm_d,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,validation,0.5,0.001,37974.41972075018,0.13215036952899029,0.7953657840844244
house_16H,regression,tabm_d,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,test,0.5,0.001,35289.55651552164,0.17810832698446144,0.7953657840844244
house_16H,regression,tabm_d,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m2,2,False,validation,1.0,0.002,37730.759542485655,0.04707884152993213,0.645295538008213
house_16H,regression,tabm_d,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m2,2,False,test,1.0,0.002,36305.215713028294,0.06523875361881622,0.645295538008213
house_16H,regression,tabm_d,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m3,3,False,validation,0.5,0.001,37928.816316056356,0.13174837491922806,1.0788465191144496
