dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,selected_lr_multiplier,selected_learning_rate,task_error,disagreement,fit_seconds
wine-quality-red,regression,tabm_d,1,AdamW,optimizer_equal_hpo,rbf_reference,-1,True,validation,1.0,0.002,0.653530820327884,0.0,0.5017611850053072
wine-quality-red,regression,tabm_d,1,AdamW,optimizer_equal_hpo,rbf_reference,-1,True,test,1.0,0.002,0.6907300527654353,0.0,0.5017611850053072
wine-quality-red,regression,tabm_d,1,AdamW,optimizer_equal_hpo,orthogonal_all__m0,0,False,validation,1.0,0.002,0.6633909044960417,0.0813747437745316,0.38778580189682543
wine-quality-red,regression,tabm_d,1,AdamW,optimizer_equal_hpo,orthogonal_all__m0,0,False,test,1.0,0.002,0.6906275150969137,0.09139970504638172,0.38778580189682543
wine-quality-red,regression,tabm_d,1,AdamW,optimizer_equal_hpo,orthogonal_all__m1,1,False,validation,1.0,0.002,0.6599777022867559,0.0825405181163318,0.48670433601364493
wine-quality-red,regression,tabm_d,1,AdamW,optimizer_equal_hpo,orthogonal_all__m1,1,False,test,1.0,0.002,0.6884693303265021,0.09379722258808389,0.48670433601364493
wine-quality-red,regression,tabm_d,1,AdamW,optimizer_equal_hpo,orthogonal_all__m2,2,False,validation,1.0,0.002,0.6614716157329831,0.09338315827749542,0.5586112341843545
wine-quality-red,regression,tabm_d,1,AdamW,optimizer_equal_hpo,orthogonal_all__m2,2,False,test,1.0,0.002,0.6839733746640734,0.10238237271266228,0.5586112341843545
wine-quality-red,regression,tabm_d,1,AdamW,optimizer_equal_hpo,orthogonal_all__m3,3,False,validation,1.0,0.002,0.6609483171115258,0.06641875075387782,0.6930788320023566
wine-quality-red,regression,tabm_d,1,AdamW,optimizer_equal_hpo,orthogonal_all__m3,3,False,test,1.0,0.002,0.6865605621216498,0.08415534473032264,0.6930788320023566
wine-quality-red,regression,tabm_d,1,AdamW,optimizer_equal_hpo,orthogonal_all__m4,4,False,validation,1.0,0.002,0.6622371870057281,0.07499657729644724,0.31308281305246055
wine-quality-red,regression,tabm_d,1,AdamW,optimizer_equal_hpo,orthogonal_all__m4,4,False,test,1.0,0.002,0.6934907871229881,0.08801130137335948,0.31308281305246055
wine-quality-red,regression,tabm_d,1,AdamW,optimizer_equal_hpo,orthogonal_all__m5,5,False,validation,2.0,0.004,0.6604246328309755,0.1047497291159435,0.267205310985446
wine-quality-red,regression,tabm_d,1,AdamW,optimizer_equal_hpo,orthogonal_all__m5,5,False,test,2.0,0.004,0.687622783245084,0.11141743411484888,0.267205310985446
