dataset,problem_type,model,seed,method,representation_id,member,is_reference,multiplier,learning_rate,validation_task_error,test_task_error,fit_seconds
wine-quality-red,regression,tabm_d,2,AdamW,rbf_reference,-1,True,0.5,0.001,0.6659015450994691,0.6852800003053563,0.3906736879143864
wine-quality-red,regression,tabm_d,2,AdamW,orthogonal_all__m0,0,False,0.5,0.001,0.6673889325262562,0.6865407291599341,0.5183094840031117
wine-quality-red,regression,tabm_d,2,AdamW,orthogonal_all__m1,1,False,0.5,0.001,0.6694554032647604,0.689166698722449,0.41228750185109675
wine-quality-red,regression,tabm_d,2,AdamW,orthogonal_all__m2,2,False,0.5,0.001,0.6685750237344071,0.6873086740308321,0.3817322391550988
wine-quality-red,regression,tabm_d,2,AdamW,orthogonal_all__m3,3,False,0.5,0.001,0.6681502761732532,0.6816081680266897,0.3913535310421139
wine-quality-red,regression,tabm_d,2,AdamW,orthogonal_all__m4,4,False,0.5,0.001,0.6653502353749164,0.6857723083715693,0.3815668700262904
wine-quality-red,regression,tabm_d,2,AdamW,orthogonal_all__m5,5,False,0.5,0.001,0.6663784634650508,0.6867897743704175,0.5388199759181589
wine-quality-red,regression,tabm_d,2,AdamW,orthogonal_all__m6,6,False,0.5,0.001,0.6690164938185792,0.6865593029270342,0.5557893458753824
wine-quality-red,regression,tabm_d,2,AdamW,orthogonal_all__m7,7,False,0.5,0.001,0.6656020412801239,0.6828332658871136,0.3902175188995898
wine-quality-red,regression,tabm_d,2,AdamW,rbf_reference,-1,True,1.0,0.002,0.6574530144321419,0.685747681131355,0.4589204110670835
wine-quality-red,regression,tabm_d,2,AdamW,orthogonal_all__m0,0,False,1.0,0.002,0.6621596630476193,0.6924684353517606,0.38496749312616885
wine-quality-red,regression,tabm_d,2,AdamW,orthogonal_all__m1,1,False,1.0,0.002,0.6633250739064125,0.6966865984469588,0.33285744301974773
wine-quality-red,regression,tabm_d,2,AdamW,orthogonal_all__m2,2,False,1.0,0.002,0.6600463654056379,0.6901502477957967,0.39820343791507185
wine-quality-red,regression,tabm_d,2,AdamW,orthogonal_all__m3,3,False,1.0,0.002,0.6726079913589699,0.6820816395433386,0.22375810681842268
wine-quality-red,regression,tabm_d,2,AdamW,orthogonal_all__m4,4,False,1.0,0.002,0.6606065888579884,0.6920320463941484,0.2650473068933934
wine-quality-red,regression,tabm_d,2,AdamW,orthogonal_all__m5,5,False,1.0,0.002,0.6573717903191255,0.6934256375103813,0.33668372710235417
wine-quality-red,regression,tabm_d,2,AdamW,orthogonal_all__m6,6,False,1.0,0.002,0.6668329486334579,0.6885300042063214,0.3947530521545559
wine-quality-red,regression,tabm_d,2,AdamW,orthogonal_all__m7,7,False,1.0,0.002,0.658566814358231,0.6860491502867062,0.3455635108985007
wine-quality-red,regression,tabm_d,2,AdamW,rbf_reference,-1,True,2.0,0.004,0.6605409965836457,0.687895282032551,0.45949108013883233
wine-quality-red,regression,tabm_d,2,AdamW,orthogonal_all__m0,0,False,2.0,0.004,0.6644614797937795,0.6899644002705042,0.26750460895709693
wine-quality-red,regression,tabm_d,2,AdamW,orthogonal_all__m1,1,False,2.0,0.004,0.667652215000901,0.6894382081289995,0.23290952993556857
wine-quality-red,regression,tabm_d,2,AdamW,orthogonal_all__m2,2,False,2.0,0.004,0.6658669364107069,0.6886282487763367,0.3497446479741484
wine-quality-red,regression,tabm_d,2,AdamW,orthogonal_all__m3,3,False,2.0,0.004,0.6616327921289873,0.684012956302465,0.37349965889006853
wine-quality-red,regression,tabm_d,2,AdamW,orthogonal_all__m4,4,False,2.0,0.004,0.6635671166542217,0.6888971417877702,0.3407099200412631
wine-quality-red,regression,tabm_d,2,AdamW,orthogonal_all__m5,5,False,2.0,0.004,0.6633339777652884,0.6879938774152421,0.30469015799462795
wine-quality-red,regression,tabm_d,2,AdamW,orthogonal_all__m6,6,False,2.0,0.004,0.665930432918335,0.6835366037608542,0.22465826314873993
wine-quality-red,regression,tabm_d,2,AdamW,orthogonal_all__m7,7,False,2.0,0.004,0.6610322938671184,0.6884027662961925,0.23907796083949506
wine-quality-red,regression,tabm_d,2,BlockAdam+DataInit,rbf_reference,-1,True,0.5,0.001,0.6895041685779081,0.7060521230168092,0.33053686819039285
wine-quality-red,regression,tabm_d,2,BlockAdam+DataInit,orthogonal_all__m0,0,False,0.5,0.001,0.6892465373356989,0.7060438321411389,0.42167443013750017
wine-quality-red,regression,tabm_d,2,BlockAdam+DataInit,orthogonal_all__m1,1,False,0.5,0.001,0.6895643579860994,0.7055239783385131,0.3968245410360396
wine-quality-red,regression,tabm_d,2,BlockAdam+DataInit,orthogonal_all__m2,2,False,0.5,0.001,0.6898411380270203,0.7061648825552607,0.38570922892540693
wine-quality-red,regression,tabm_d,2,BlockAdam+DataInit,orthogonal_all__m3,3,False,0.5,0.001,0.6893908936341673,0.7059469703079655,0.41839309805072844
wine-quality-red,regression,tabm_d,2,BlockAdam+DataInit,orthogonal_all__m4,4,False,0.5,0.001,0.6897743248428954,0.7057341216599627,0.3320825060363859
wine-quality-red,regression,tabm_d,2,BlockAdam+DataInit,orthogonal_all__m5,5,False,0.5,0.001,0.6898649228397822,0.7061544896859647,0.40303698810748756
wine-quality-red,regression,tabm_d,2,BlockAdam+DataInit,orthogonal_all__m6,6,False,0.5,0.001,0.6896399916719422,0.7061323288412654,0.30171816097572446
wine-quality-red,regression,tabm_d,2,BlockAdam+DataInit,orthogonal_all__m7,7,False,0.5,0.001,0.6894626989541641,0.7060094080058422,0.4283042158931494
wine-quality-red,regression,tabm_d,2,BlockAdam+DataInit,rbf_reference,-1,True,1.0,0.002,0.691832532717795,0.7028081737514897,0.23871148005127907
wine-quality-red,regression,tabm_d,2,BlockAdam+DataInit,orthogonal_all__m0,0,False,1.0,0.002,0.6912809045976341,0.7021602294975952,0.4032707801088691
wine-quality-red,regression,tabm_d,2,BlockAdam+DataInit,orthogonal_all__m1,1,False,1.0,0.002,0.6918331550541186,0.7029277138729224,0.32218597922474146
wine-quality-red,regression,tabm_d,2,BlockAdam+DataInit,orthogonal_all__m2,2,False,1.0,0.002,0.6914564627859143,0.7023238638539672,0.32462402107194066
wine-quality-red,regression,tabm_d,2,BlockAdam+DataInit,orthogonal_all__m3,3,False,1.0,0.002,0.6916771089141214,0.7018580181076698,0.21671161311678588
wine-quality-red,regression,tabm_d,2,BlockAdam+DataInit,orthogonal_all__m4,4,False,1.0,0.002,0.6913433563991532,0.7025473129674519,0.267208602046594
wine-quality-red,regression,tabm_d,2,BlockAdam+DataInit,orthogonal_all__m5,5,False,1.0,0.002,0.6916041622112669,0.7018422957954141,0.21004750509746373
wine-quality-red,regression,tabm_d,2,BlockAdam+DataInit,orthogonal_all__m6,6,False,1.0,0.002,0.6909518219981768,0.7015319608978831,0.34012991609051824
wine-quality-red,regression,tabm_d,2,BlockAdam+DataInit,orthogonal_all__m7,7,False,1.0,0.002,0.6914092615760606,0.7022380471846454,0.1908215470612049
wine-quality-red,regression,tabm_d,2,BlockAdam+DataInit,rbf_reference,-1,True,2.0,0.004,0.7017842740884861,0.6980266442260797,0.2046025840099901
wine-quality-red,regression,tabm_d,2,BlockAdam+DataInit,orthogonal_all__m0,0,False,2.0,0.004,0.7008140526963667,0.6976560323241008,0.2358999541029334
wine-quality-red,regression,tabm_d,2,BlockAdam+DataInit,orthogonal_all__m1,1,False,2.0,0.004,0.700513095003197,0.69777876786158,0.24103309609927237
wine-quality-red,regression,tabm_d,2,BlockAdam+DataInit,orthogonal_all__m2,2,False,2.0,0.004,0.7005726055600957,0.6977456715680803,0.19502689107321203
wine-quality-red,regression,tabm_d,2,BlockAdam+DataInit,orthogonal_all__m3,3,False,2.0,0.004,0.7004732370341936,0.6976521855936775,0.2758065420202911
wine-quality-red,regression,tabm_d,2,BlockAdam+DataInit,orthogonal_all__m4,4,False,2.0,0.004,0.700733673707499,0.6977820560260823,0.19924967200495303
wine-quality-red,regression,tabm_d,2,BlockAdam+DataInit,orthogonal_all__m5,5,False,2.0,0.004,0.7009543760005416,0.6972670629096199,0.2245021068956703
wine-quality-red,regression,tabm_d,2,BlockAdam+DataInit,orthogonal_all__m6,6,False,2.0,0.004,0.7017973152153816,0.6979083768294875,0.21008173702284694
wine-quality-red,regression,tabm_d,2,BlockAdam+DataInit,orthogonal_all__m7,7,False,2.0,0.004,0.7010687739768549,0.6968573215319214,0.21144384797662497
wine-quality-red,regression,tabm_d,2,MatrixAdam+DataInit,rbf_reference,-1,True,0.5,0.001,0.6811336675112349,0.7001627899848524,1.010703990003094
wine-quality-red,regression,tabm_d,2,MatrixAdam+DataInit,orthogonal_all__m0,0,False,0.5,0.001,0.6813965411480905,0.6999614378170032,0.9785329839214683
wine-quality-red,regression,tabm_d,2,MatrixAdam+DataInit,orthogonal_all__m1,1,False,0.5,0.001,0.6814841702892286,0.6999836560159812,0.9253925930242985
wine-quality-red,regression,tabm_d,2,MatrixAdam+DataInit,orthogonal_all__m2,2,False,0.5,0.001,0.6814358569608855,0.6997275270330852,1.004388335859403
wine-quality-red,regression,tabm_d,2,MatrixAdam+DataInit,orthogonal_all__m3,3,False,0.5,0.001,0.6813395372110624,0.7000388045484104,1.0144367418251932
wine-quality-red,regression,tabm_d,2,MatrixAdam+DataInit,orthogonal_all__m4,4,False,0.5,0.001,0.6815105021731873,0.7001911419269592,0.9129581728484482
wine-quality-red,regression,tabm_d,2,MatrixAdam+DataInit,orthogonal_all__m5,5,False,0.5,0.001,0.6815215344154401,0.7096241618379738,0.8577529729809612
wine-quality-red,regression,tabm_d,2,MatrixAdam+DataInit,orthogonal_all__m6,6,False,0.5,0.001,0.6812555841274637,0.7000079040453387,0.7952199950814247
wine-quality-red,regression,tabm_d,2,MatrixAdam+DataInit,orthogonal_all__m7,7,False,0.5,0.001,0.6812350584538176,0.7000077708850717,0.9149061469361186
wine-quality-red,regression,tabm_d,2,MatrixAdam+DataInit,rbf_reference,-1,True,1.0,0.002,0.6854190341609226,0.6990642451353657,0.47118698386475444
wine-quality-red,regression,tabm_d,2,MatrixAdam+DataInit,orthogonal_all__m0,0,False,1.0,0.002,0.6853772350272951,0.698999697118924,0.5565997429657727
wine-quality-red,regression,tabm_d,2,MatrixAdam+DataInit,orthogonal_all__m1,1,False,1.0,0.002,0.6854412572074046,0.6987582228935661,0.5319044769275934
wine-quality-red,regression,tabm_d,2,MatrixAdam+DataInit,orthogonal_all__m2,2,False,1.0,0.002,0.6853631740048222,0.6988920653878233,0.5199844730086625
wine-quality-red,regression,tabm_d,2,MatrixAdam+DataInit,orthogonal_all__m3,3,False,1.0,0.002,0.6853868356428633,0.6990075720938808,0.44217044906690717
wine-quality-red,regression,tabm_d,2,MatrixAdam+DataInit,orthogonal_all__m4,4,False,1.0,0.002,0.6857816626001564,0.6989174728298693,0.4706555041484535
wine-quality-red,regression,tabm_d,2,MatrixAdam+DataInit,orthogonal_all__m5,5,False,1.0,0.002,0.6858721158589139,0.6990644736804582,0.4622604390606284
wine-quality-red,regression,tabm_d,2,MatrixAdam+DataInit,orthogonal_all__m6,6,False,1.0,0.002,0.685425285690246,0.6990239414522403,0.6216204578522593
wine-quality-red,regression,tabm_d,2,MatrixAdam+DataInit,orthogonal_all__m7,7,False,1.0,0.002,0.6854347581612078,0.6989201889561271,0.5801328290253878
wine-quality-red,regression,tabm_d,2,MatrixAdam+DataInit,rbf_reference,-1,True,2.0,0.004,0.6902047703611386,0.7077396739481595,0.5128758358769119
wine-quality-red,regression,tabm_d,2,MatrixAdam+DataInit,orthogonal_all__m0,0,False,2.0,0.004,0.6898480725540137,0.707644549440744,0.4474404559005052
wine-quality-red,regression,tabm_d,2,MatrixAdam+DataInit,orthogonal_all__m1,1,False,2.0,0.004,0.6902443761633636,0.7079106012766687,0.3255642668809742
wine-quality-red,regression,tabm_d,2,MatrixAdam+DataInit,orthogonal_all__m2,2,False,2.0,0.004,0.689619305591172,0.7077382254405833,0.2971595430281013
wine-quality-red,regression,tabm_d,2,MatrixAdam+DataInit,orthogonal_all__m3,3,False,2.0,0.004,0.6898995046338082,0.7077240291919349,0.3391851019114256
wine-quality-red,regression,tabm_d,2,MatrixAdam+DataInit,orthogonal_all__m4,4,False,2.0,0.004,0.6894613061654261,0.7083104595364911,0.3539951001293957
wine-quality-red,regression,tabm_d,2,MatrixAdam+DataInit,orthogonal_all__m5,5,False,2.0,0.004,0.6897337389832076,0.7082741168018183,0.333159517031163
wine-quality-red,regression,tabm_d,2,MatrixAdam+DataInit,orthogonal_all__m6,6,False,2.0,0.004,0.689853326568517,0.7075814371940848,0.32089768699370325
wine-quality-red,regression,tabm_d,2,MatrixAdam+DataInit,orthogonal_all__m7,7,False,2.0,0.004,0.6900454320427075,0.7076930047581645,0.31610797299072146
