dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,selected_lr_multiplier,task_error,disagreement,fit_seconds
bike-sharing,regression,controlled_mlp,0,AdamW[equal-HPO],optimizer_equal_hpo,rbf_reference,-1,True,validation,2.0,64.54627062603592,0.0,0.40938850492239
bike-sharing,regression,controlled_mlp,0,AdamW[equal-HPO],optimizer_equal_hpo,rbf_reference,-1,True,test,2.0,71.78705728383056,0.0,0.40938850492239
bike-sharing,regression,controlled_mlp,0,AdamW[equal-HPO],optimizer_equal_hpo,orthogonal_all__m0,0,False,validation,2.0,62.45813313313495,0.16249504465633696,0.4957438199780881
bike-sharing,regression,controlled_mlp,0,AdamW[equal-HPO],optimizer_equal_hpo,orthogonal_all__m0,0,False,test,2.0,64.62371330292943,0.17132257090354824,0.4957438199780881
bike-sharing,regression,controlled_mlp,0,AdamW[equal-HPO],optimizer_equal_hpo,orthogonal_all__m1,1,False,validation,2.0,63.996773703377016,0.1076024266259484,0.410083191934973
bike-sharing,regression,controlled_mlp,0,AdamW[equal-HPO],optimizer_equal_hpo,orthogonal_all__m1,1,False,test,2.0,69.30672861246138,0.12442765905047065,0.410083191934973
bike-sharing,regression,controlled_mlp,0,AdamW[equal-HPO],optimizer_equal_hpo,orthogonal_all__m2,2,False,validation,2.0,65.27938023223113,0.11340218285059214,0.4336448318790644
bike-sharing,regression,controlled_mlp,0,AdamW[equal-HPO],optimizer_equal_hpo,orthogonal_all__m2,2,False,test,2.0,70.0541559576681,0.12543466444001442,0.4336448318790644
bike-sharing,regression,controlled_mlp,0,AdamW[equal-HPO],optimizer_equal_hpo,orthogonal_all__m3,3,False,validation,2.0,66.09368419080927,0.11979702356017997,0.4879145170561969
bike-sharing,regression,controlled_mlp,0,AdamW[equal-HPO],optimizer_equal_hpo,orthogonal_all__m3,3,False,test,2.0,73.01094071557024,0.14348030046067495,0.4879145170561969
bike-sharing,regression,controlled_mlp,0,AdamW[equal-HPO],optimizer_equal_hpo,orthogonal_all__m4,4,False,validation,2.0,65.78878690585748,0.1363779797180664,0.4126405830029398
