method,epoch,median_disagreement,max_disagreement,median_max_prediction_difference,units
AdamW,0,9.895126435562173e-09,2.1072582585138617e-08,0.007812529802322388,6
AdamW,1,0.0017978143845633,0.0028572203382369,389.3687191903591,6
AdamW,2,0.00722183094605635,0.0133813822582942,1952.4635384380817,6
AdamW,5,0.02556891123329505,0.0462188511276302,8934.578774154186,6
AdamW,10,0.03600136034931725,0.0683778571250326,28617.91457915306,6
AdamW,20,0.038278867490916954,0.0824883253148543,14641.179216235876,6
AdamW,30,0.04789513562424225,0.0815827342576007,10172.795035213232,6
BlockAdam,0,9.895126435562173e-09,2.1072582585138617e-08,0.007812529802322388,6
BlockAdam,1,2.3863132726307842e-08,3.9423192144043925e-08,0.007812559604644775,6
BlockAdam,2,3.647757876877237e-08,6.38004121256436e-08,0.007812559604644775,6
BlockAdam,5,7.091725329760368e-08,1.550005076933248e-07,0.03125008940696716,6
BlockAdam,10,9.482992035091002e-08,1.873959703031493e-07,0.03125008940696716,6
BlockAdam,20,1.5081039886789635e-07,2.416465733052811e-07,0.035156458616256714,6
BlockAdam,30,2.586368193306665e-07,5.232376429318227e-07,0.06250035762786865,6
BlockScalarAdam,0,9.895126435562173e-09,2.1072582585138617e-08,0.007812529802322388,6
BlockScalarAdam,1,2.262756437919711e-08,3.9423192144043925e-08,0.007812559604644775,6
BlockScalarAdam,2,3.7233224537410845e-08,6.083130614025203e-08,0.007812559604644775,6
BlockScalarAdam,5,7.119540737930742e-08,1.402092328388118e-07,0.031250059604644775,6
BlockScalarAdam,10,1.0151252522772429e-07,1.9940238635308203e-07,0.03125007450580597,6
BlockScalarAdam,20,1.389340021887075e-07,2.781827003216079e-07,0.06250020861625671,6
BlockScalarAdam,30,2.095438584337558e-07,5.450685308131075e-07,0.04687526822090149,6
MatrixAdam,0,9.895126435562173e-09,2.1072582585138617e-08,0.007812529802322388,6
MatrixAdam,1,2.2422499044055366e-08,3.275866089985102e-08,0.007812559604644775,6
MatrixAdam,2,3.696539300912462e-08,6.173703297803463e-08,0.007812559604644775,6
MatrixAdam,5,7.505796064030868e-08,1.4744534873821298e-07,0.03125008940696716,6
MatrixAdam,10,9.724439415362359e-08,1.986354065599802e-07,0.03125011920928955,6
MatrixAdam,20,1.47442745864059e-07,3.21356884423364e-07,0.04687514901161194,6
MatrixAdam,30,2.3958210388126365e-07,5.097775969450455e-07,0.07812541723251343,6
SGD,0,9.895126435562173e-09,2.1072582585138617e-08,0.007812529802322388,6
SGD,1,1.143018529548323e-08,2.017546179744585e-08,0.007812529802322388,6
SGD,2,1.2817484866211203e-08,2.1933039344212605e-08,0.007812529802322388,6
SGD,5,1.4687826796104654e-08,2.7876406501073684e-08,0.007812529802322388,6
SGD,10,1.5491261395858055e-08,3.0415653070126014e-08,0.007812529802322388,6
SGD,20,2.382622497035726e-08,4.428585934094995e-08,0.007812559604644775,6
SGD,30,5.1355676725275914e-08,1.2436989922054086e-07,0.015625059604644775,6
