dataset,problem_type,model,seed,pair,method,split,reconstruction_error,coordinate_error,disagreement,disagreement_reduction,task_error,relative_task_change
bike-sharing,regression,catboost,0,local_vs_spectral_hat,Raw,validation,2.1424358174305508e-16,0.0,0.0629629382900092,0.0,56.33836046357368,0.0
bike-sharing,regression,catboost,0,local_vs_spectral_hat,GramAnchor,validation,2.1424358174305508e-16,1.9777041243197727e-16,0.0,1.0,56.07293954084895,-0.0047111935906679
bike-sharing,regression,catboost,0,local_vs_spectral_hat,Raw,test,2.1424358174305508e-16,0.0,0.058300052392107,0.0,59.73538029882946,0.0
bike-sharing,regression,catboost,0,local_vs_spectral_hat,GramAnchor,test,2.1424358174305508e-16,1.9777041243197727e-16,0.0,1.0,57.7685953036724,-0.0329249598030198
bike-sharing,regression,catboost,0,onehot_vs_helmert,Raw,validation,1.7916185122862606e-16,0.0,0.0662464518407954,0.0,58.2026050403966,0.0
bike-sharing,regression,catboost,0,onehot_vs_helmert,GramAnchor,validation,1.7916185122862606e-16,7.579601521546418e-17,0.0,1.0,55.86459622111644,-0.0401701748170449
bike-sharing,regression,catboost,0,onehot_vs_helmert,Raw,test,1.7916185122862606e-16,0.0,0.0591736922473394,0.0,59.054785423077206,0.0
bike-sharing,regression,catboost,0,onehot_vs_helmert,GramAnchor,test,1.7916185122862606e-16,7.579601521546418e-17,0.0,1.0,58.63956206164893,-0.0070311551968829
bike-sharing,regression,catboost,1,local_vs_spectral_hat,Raw,validation,2.1424358174305508e-16,0.0,0.0706828131263648,0.0,57.55367924390807,0.0
bike-sharing,regression,catboost,1,local_vs_spectral_hat,GramAnchor,validation,2.1424358174305508e-16,1.9777041243197727e-16,0.0,1.0,55.8035116162448,-0.0304093091989166
bike-sharing,regression,catboost,1,local_vs_spectral_hat,Raw,test,2.1424358174305508e-16,0.0,0.0600985445953342,0.0,59.50995338817798,0.0
bike-sharing,regression,catboost,1,local_vs_spectral_hat,GramAnchor,test,2.1424358174305508e-16,1.9777041243197727e-16,0.0,1.0,58.26429266426218,-0.0209319727708484
bike-sharing,regression,catboost,1,onehot_vs_helmert,Raw,validation,1.7916185122862606e-16,0.0,0.0653575274602591,0.0,58.34912706600021,0.0
bike-sharing,regression,catboost,1,onehot_vs_helmert,GramAnchor,validation,1.7916185122862606e-16,7.579601521546418e-17,0.0,1.0,55.805172673950665,-0.0435988423472387
bike-sharing,regression,catboost,1,onehot_vs_helmert,Raw,test,1.7916185122862606e-16,0.0,0.0593431495709364,0.0,59.04610073940021,0.0
bike-sharing,regression,catboost,1,onehot_vs_helmert,GramAnchor,test,1.7916185122862606e-16,7.579601521546418e-17,0.0,1.0,58.34173406254034,-0.0119290972314766
bike-sharing,regression,catboost,2,local_vs_spectral_hat,Raw,validation,2.1424358174305508e-16,0.0,0.0596863463747076,0.0,55.9343531637544,0.0
bike-sharing,regression,catboost,2,local_vs_spectral_hat,GramAnchor,validation,2.1424358174305508e-16,1.9777041243197727e-16,0.0,1.0,54.86320265452766,-0.019150136698476
bike-sharing,regression,catboost,2,local_vs_spectral_hat,Raw,test,2.1424358174305508e-16,0.0,0.0618765749034337,0.0,59.81031204944936,0.0
bike-sharing,regression,catboost,2,local_vs_spectral_hat,GramAnchor,test,2.1424358174305508e-16,1.9777041243197727e-16,0.0,1.0,58.24798293202016,-0.0261214005393838
bike-sharing,regression,catboost,2,onehot_vs_helmert,Raw,validation,1.7916185122862606e-16,0.0,0.0638148114166256,0.0,58.00124860136777,0.0
bike-sharing,regression,catboost,2,onehot_vs_helmert,GramAnchor,validation,1.7916185122862606e-16,7.579601521546418e-17,0.0,1.0,56.37496823605772,-0.0280387130368035
bike-sharing,regression,catboost,2,onehot_vs_helmert,Raw,test,1.7916185122862606e-16,0.0,0.0551535970109958,0.0,59.5739209962333,0.0
bike-sharing,regression,catboost,2,onehot_vs_helmert,GramAnchor,test,1.7916185122862606e-16,7.579601521546418e-17,0.0,1.0,58.16621317103092,-0.0236295983487705
california_housing,regression,catboost,0,local_vs_spectral_hat,Raw,validation,2.0851388871316656e-16,0.0,0.0827563922413222,0.0,55541.668596678544,0.0
california_housing,regression,catboost,0,local_vs_spectral_hat,GramAnchor,validation,2.0851388871316656e-16,1.206163813876603e-16,0.0,1.0,55456.511312525705,-0.0015332143650781
california_housing,regression,catboost,0,local_vs_spectral_hat,Raw,test,2.0851388871316656e-16,0.0,0.0834341953701239,0.0,62317.24329496509,0.0
california_housing,regression,catboost,0,local_vs_spectral_hat,GramAnchor,test,2.0851388871316656e-16,1.206163813876603e-16,0.0,1.0,61683.21215506455,-0.0101742488334969
california_housing,regression,catboost,0,onehot_vs_helmert,Raw,validation,1.6019295092324714e-16,0.0,0.0882474604601675,0.0,56035.27528994351,0.0
california_housing,regression,catboost,0,onehot_vs_helmert,GramAnchor,validation,1.6019295092324714e-16,9.378063810316416e-17,0.0,1.0,56430.96761192544,0.0070614861787419
california_housing,regression,catboost,0,onehot_vs_helmert,Raw,test,1.6019295092324714e-16,0.0,0.0856902869346893,0.0,61413.13394131962,0.0
california_housing,regression,catboost,0,onehot_vs_helmert,GramAnchor,test,1.6019295092324714e-16,9.378063810316416e-17,0.0,1.0,61829.80327400173,0.0067846941841502
