method,model,median_disagreement_reduction,median_relative_task_change,model_families,category
BlockAdam+DataInit[equal-HPO],controlled_mlp,0.999996714203486,-0.021592925993128138,1,KEEP
BlockAdam+DataInit[equal-HPO],tabm_d,0.8158385745378562,0.08374871651641279,1,NICHE
GramAnchor,catboost,1.0,0.02075776489363982,1,PROMISING
GramAnchor,controlled_mlp,1.0,-0.02213346932305067,1,KEEP
GramAnchor,tabicl_v2,1.0,0.004352017358835021,1,KEEP
GramAnchor,tabm_d,1.0,0.011809901760881661,1,PROMISING
GramAnchor,tabpfn_2_6,1.0,0.00017798880197440547,1,KEEP
Raw,catboost,0.0,0.0,1,FAIL
Raw,controlled_mlp,0.0,0.0,1,FAIL
Raw,tabicl_v2,0.0,0.0,1,FAIL
Raw,tabm_d,0.0,0.0,1,FAIL
Raw,tabpfn_2_6,0.0,0.0,1,FAIL
Raw+GramAnchor@0.75,catboost,0.7500000000000007,0.011753794703482862,1,PROMISING
Raw+GramAnchor@0.75,controlled_mlp,0.7499999996975858,-0.07359633128674369,1,KEEP
Raw+GramAnchor@0.75,tabicl_v2,0.7500000000000001,-0.004065160209291858,1,KEEP
Raw+GramAnchor@0.75,tabm_d,0.7499999999350105,-0.0017403112666116367,1,KEEP
Raw+GramAnchor@0.75,tabpfn_2_6,0.7500000000000002,-0.0036711536111390533,1,KEEP
