dataset,problem_type,model,seed,method,track,split,disagreement,max_disagreement,task_error,orbit_mean_task_error,worst_orbit_task_error,runtime_seconds,raw_disagreement,raw_task_error,raw_worst_orbit_task_error,disagreement_reduction,relative_task_change,worst_orbit_gain,failure,predictive_rank
eeg-eye-state,classification,catboost,0,GramAnchor,interface,test,0.0,0.0,0.4199091758524798,0.4199091758524798,0.4199091758524798,3.1327649261802435,0.10344831568373077,0.4120944507093108,0.4389025988941188,1.0,0.01896343212027736,0.04327480194807646,False,3.0
eeg-eye-state,classification,catboost,0,GramAnchor,interface,validation,0.0,0.0,0.4204540892834172,0.4204540892834172,0.4204540892834172,3.1327649261802435,0.10540257761451764,0.4138827141086386,0.4534098033626625,1.0,0.015877384946919357,0.0726841674680013,False,3.0
eeg-eye-state,classification,catboost,0,Raw,baseline,test,0.10344831568373077,0.1077031470576827,0.4120944507093108,0.4307509551281804,0.4389025988941188,17.931720265187323,0.10344831568373077,0.4120944507093108,0.4389025988941188,0.0,0.0,0.0,False,1.0
eeg-eye-state,classification,catboost,0,Raw,baseline,validation,0.10540257761451764,0.113764031883408,0.4138827141086386,0.43964347994357567,0.4534098033626625,17.931720265187323,0.10540257761451764,0.4138827141086386,0.4534098033626625,0.0,0.0,0.0,False,1.0
eeg-eye-state,classification,catboost,0,Raw+GramAnchor@0.75,hybrid_prediction_mixture,test,0.025862078920932636,0.0269257867644206,0.4145423661434787,0.4183748261421186,0.4204105591832243,3.3221658628899604,0.10344831568373077,0.4120944507093108,0.4389025988941188,0.7500000000000006,0.005940180533745389,0.04213244523383549,False,2.0
eeg-eye-state,classification,catboost,0,Raw+GramAnchor@0.75,hybrid_prediction_mixture,validation,0.026350644403629376,0.028441007970852,0.415099380301748,0.4204646453936277,0.4240941135383296,3.3221658628899604,0.10540257761451764,0.4138827141086386,0.4534098033626625,0.7500000000000003,0.0029396400275611325,0.06465605641280012,False,2.0
eeg-eye-state,classification,catboost,1,GramAnchor,interface,test,0.0,0.0,0.4144295920555063,0.4144295920555063,0.4144295920555063,3.3499441579915583,0.10644983632717862,0.4102375348764056,0.4549620021896002,1.0,0.010218609519393853,0.08908966010133414,False,3.0
eeg-eye-state,classification,catboost,1,GramAnchor,interface,validation,0.0,0.0,0.4294860736757233,0.4294860736757233,0.4294860736757233,3.3499441579915583,0.10578639728475546,0.405716141796788,0.4515754743933318,1.0,0.05858759223546245,0.048916298537436016,False,3.0
eeg-eye-state,classification,catboost,1,Raw,baseline,test,0.10644983632717862,0.1186723668341045,0.4102375348764056,0.43785153447339864,0.4549620021896002,18.864499344024807,0.10644983632717862,0.4102375348764056,0.4549620021896002,0.0,0.0,0.0,False,2.0
eeg-eye-state,classification,catboost,1,Raw,baseline,validation,0.10578639728475546,0.1226009729884958,0.405716141796788,0.44071439561122616,0.4515754743933318,18.864499344024807,0.10578639728475546,0.405716141796788,0.4515754743933318,0.0,0.0,0.0,False,1.0
eeg-eye-state,classification,catboost,1,Raw+GramAnchor@0.75,hybrid_prediction_mixture,test,0.02661245908179461,0.0296680917085261,0.4100310383000566,0.41580810599230333,0.4196389808337274,3.8179656700231135,0.10644983632717862,0.4102375348764056,0.4549620021896002,0.7500000000000004,-0.0005033585637432746,0.077639497773162,False,1.0
eeg-eye-state,classification,catboost,1,Raw+GramAnchor@0.75,hybrid_prediction_mixture,validation,0.026446599321188813,0.0306502432471239,0.4192097456035631,0.4272361543268179,0.4312596591583016,3.8179656700231135,0.10578639728475546,0.405716141796788,0.4515754743933318,0.7500000000000004,0.033258730468588765,0.044988748032260654,False,2.0
eeg-eye-state,classification,catboost,2,GramAnchor,interface,test,0.0,0.0,0.4143658372490159,0.4143658372490159,0.4143658372490159,3.3850196730345488,0.10984479296473178,0.4023777767697611,0.4506681404343745,1.0,0.029793048153636696,0.08055218447518563,False,3.0
eeg-eye-state,classification,catboost,2,GramAnchor,interface,validation,0.0,0.0,0.4210911277770333,0.4210911277770333,0.4210911277770333,3.3850196730345488,0.11029006340676399,0.4103171586536964,0.4585276946897925,1.0,0.02625766165540743,0.08164515981545269,False,3.0
