dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,gpu_peak_memory_mb,max_input_reconstruction_error
california_housing,regression,controlled_mlp,0,AdamW,optimizer,rbf_reference,-1,True,validation,61317.246253487836,0.0,0.47728362306952477,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,AdamW,optimizer,rbf_reference,-1,True,test,65288.85728446,0.0,0.47728362306952477,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,AdamW,optimizer,orthogonal_all__m0,0,False,validation,60860.97067094142,0.10993788221715815,0.472155436873436,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,AdamW,optimizer,orthogonal_all__m0,0,False,test,66366.41693521007,0.11835182076533625,0.472155436873436,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,AdamW,optimizer,orthogonal_all__m1,1,False,validation,61248.80732156839,0.10752460510995207,0.4221704441588372,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,AdamW,optimizer,orthogonal_all__m1,1,False,test,66242.66729214204,0.11472308889052515,0.4221704441588372,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,AdamW,optimizer,orthogonal_all__m2,2,False,validation,61702.7609224815,0.11267854645748815,0.4339918098412454,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,AdamW,optimizer,orthogonal_all__m2,2,False,test,65447.44934044867,0.12743152126486854,0.4339918098412454,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,AdamW,optimizer,orthogonal_all__m3,3,False,validation,61678.05799889873,0.13858001624621544,0.5152551478240639,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,AdamW,optimizer,orthogonal_all__m3,3,False,test,66312.46112705108,0.1456611827795804,0.5152551478240639,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,AdamW,optimizer,orthogonal_all__m4,4,False,validation,62103.670508435505,0.10171090388121846,0.4401870409492403,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,AdamW,optimizer,orthogonal_all__m4,4,False,test,65419.75830236131,0.10707479944887635,0.4401870409492403,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,AdamW,optimizer,orthogonal_all__m5,5,False,validation,61909.483561766,0.11467983852199257,0.36268629296682775,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,AdamW,optimizer,orthogonal_all__m5,5,False,test,65909.76899529068,0.1328859610649892,0.36268629296682775,68.7666015625,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,AdamW,optimizer,orthogonal_all__m6,6,False,validation,62509.52459102577,0.1807416967373255,0.20609858399257064,68.7666015625,4.067255454572778e-16
