dataset,problem_type,model,seed,method,optimizer,initialization,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,gpu_peak_memory_mb
bike-sharing,regression,controlled_mlp,1,AdamW,adamw,default,rbf_reference,-1,True,validation,73.34231252782743,0.0,0.520729336887598,68.798828125
bike-sharing,regression,controlled_mlp,1,AdamW,adamw,default,rbf_reference,-1,True,test,78.00769345797514,0.0,0.520729336887598,68.798828125
bike-sharing,regression,controlled_mlp,1,AdamW,adamw,default,orthogonal_all__m0,0,False,validation,71.46294231328841,0.11251488488220121,0.5132963280193508,68.798828125
bike-sharing,regression,controlled_mlp,1,AdamW,adamw,default,orthogonal_all__m0,0,False,test,73.49007755076059,0.1246227595416151,0.5132963280193508,68.798828125
bike-sharing,regression,controlled_mlp,1,AdamW,adamw,default,orthogonal_all__m1,1,False,validation,76.40138994440308,0.12368719738899345,0.5388639459852129,68.798828125
bike-sharing,regression,controlled_mlp,1,AdamW,adamw,default,orthogonal_all__m1,1,False,test,77.4412299421629,0.10987719782184313,0.5388639459852129,68.798828125
bike-sharing,regression,controlled_mlp,1,AdamW,adamw,default,orthogonal_all__m2,2,False,validation,69.71507781964095,0.11545774162865136,0.5214977238792926,68.798828125
bike-sharing,regression,controlled_mlp,1,AdamW,adamw,default,orthogonal_all__m2,2,False,test,73.81898345082615,0.1332236481967775,0.5214977238792926,68.798828125
bike-sharing,regression,controlled_mlp,1,AdamW,adamw,default,orthogonal_all__m3,3,False,validation,69.05558027019583,0.11739562302433801,0.475687641184777,68.798828125
bike-sharing,regression,controlled_mlp,1,AdamW,adamw,default,orthogonal_all__m3,3,False,test,78.14872608972817,0.11949999752288633,0.475687641184777,68.798828125
bike-sharing,regression,controlled_mlp,1,AdamW,adamw,default,orthogonal_all__m4,4,False,validation,69.16178755872093,0.13055575954788914,0.5148727020714432,68.798828125
bike-sharing,regression,controlled_mlp,1,AdamW,adamw,default,orthogonal_all__m4,4,False,test,71.67805903590128,0.14268553407598028,0.5148727020714432,68.798828125
bike-sharing,regression,controlled_mlp,1,AdamW,adamw,default,orthogonal_all__m5,5,False,validation,75.49999020408768,0.1822186831622259,0.3421176380943507,68.798828125
bike-sharing,regression,controlled_mlp,1,AdamW,adamw,default,orthogonal_all__m5,5,False,test,77.36599985865124,0.1999958672325489,0.3421176380943507,68.798828125
bike-sharing,regression,controlled_mlp,1,AdamW,adamw,default,orthogonal_all__m6,6,False,validation,72.00186663212074,0.11834687575652156,0.4965953871142119,68.798828125
bike-sharing,regression,controlled_mlp,1,AdamW,adamw,default,orthogonal_all__m6,6,False,test,73.31326439133882,0.14658398286807411,0.4965953871142119,68.798828125
bike-sharing,regression,controlled_mlp,1,AdamW,adamw,default,orthogonal_all__m7,7,False,validation,74.40755531969857,0.1355853152493081,0.5059575410559773,68.798828125
bike-sharing,regression,controlled_mlp,1,AdamW,adamw,default,orthogonal_all__m7,7,False,test,78.63266746492822,0.15317323620836545,0.5059575410559773,68.798828125
bike-sharing,regression,controlled_mlp,1,BlockAdam,block_adam,default,rbf_reference,-1,True,validation,72.79825541979876,0.0,0.6602167610544711,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam,block_adam,default,rbf_reference,-1,True,test,78.02681491391725,0.0,0.6602167610544711,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam,block_adam,default,orthogonal_all__m0,0,False,validation,73.36485218111628,0.1464249303414194,0.6540678879246116,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam,block_adam,default,orthogonal_all__m0,0,False,test,79.89636810830699,0.17532894121069356,0.6540678879246116,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam,block_adam,default,orthogonal_all__m1,1,False,validation,75.76018964069009,0.11918260218346127,0.7530291008297354,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam,block_adam,default,orthogonal_all__m1,1,False,test,78.23108364377697,0.11572464633844996,0.7530291008297354,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam,block_adam,default,orthogonal_all__m2,2,False,validation,69.30841653129391,0.12366128286170187,0.7908773880917579,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam,block_adam,default,orthogonal_all__m2,2,False,test,74.65080306526973,0.13036958979164878,0.7908773880917579,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam,block_adam,default,orthogonal_all__m3,3,False,validation,69.48417805935148,0.14206652237217776,0.7749238940887153,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam,block_adam,default,orthogonal_all__m3,3,False,test,75.91094521207049,0.12632604967374936,0.7749238940887153,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam,block_adam,default,orthogonal_all__m4,4,False,validation,69.1366797895582,0.11904625835933466,0.6514840321615338,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam,block_adam,default,orthogonal_all__m4,4,False,test,74.17310633320375,0.1384819867631831,0.6514840321615338,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam,block_adam,default,orthogonal_all__m5,5,False,validation,73.5365011973164,0.13506177202816197,0.6371932129841298,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam,block_adam,default,orthogonal_all__m5,5,False,test,77.33911043560471,0.15096679752115072,0.6371932129841298,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam,block_adam,default,orthogonal_all__m6,6,False,validation,74.42575142975086,0.11398155757204274,0.7470772408414632,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam,block_adam,default,orthogonal_all__m6,6,False,test,75.16061666943159,0.12802744824749793,0.7470772408414632,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam,block_adam,default,orthogonal_all__m7,7,False,validation,75.49555259456424,0.1290603921350386,0.7113715300802141,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam,block_adam,default,orthogonal_all__m7,7,False,test,79.79688966069541,0.1499088753887089,0.7113715300802141,68.806640625
bike-sharing,regression,controlled_mlp,1,MatrixAdam,matrix_adam,default,rbf_reference,-1,True,validation,72.61357108172501,0.0,1.1320510669611394,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam,matrix_adam,default,rbf_reference,-1,True,test,74.02082295726497,0.0,1.1320510669611394,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam,matrix_adam,default,orthogonal_all__m0,0,False,validation,70.55510768239036,0.13282934643018698,1.326772830914706,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam,matrix_adam,default,orthogonal_all__m0,0,False,test,69.52852476333116,0.1488854586006476,1.326772830914706,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam,matrix_adam,default,orthogonal_all__m1,1,False,validation,73.61386276804565,0.12907770238524455,1.2845191850792617,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam,matrix_adam,default,orthogonal_all__m1,1,False,test,73.08270030134172,0.12871197047220104,1.2845191850792617,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam,matrix_adam,default,orthogonal_all__m2,2,False,validation,71.05618336231494,0.1167870142423998,1.001254270086065,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam,matrix_adam,default,orthogonal_all__m2,2,False,test,73.27209702886893,0.12790513209296975,1.001254270086065,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam,matrix_adam,default,orthogonal_all__m3,3,False,validation,67.12324570899158,0.13716943654575578,1.3060904778540134,68.80419921875
