dataset,problem_type,model,seed,method,optimizer,initialization,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,gpu_peak_memory_mb
credit-g,classification,controlled_mlp,2,AdamW,adamw,default,rbf_reference,-1,True,validation,0.473389936465799,0.0,0.08650663192383945,68.7373046875
credit-g,classification,controlled_mlp,2,AdamW,adamw,default,rbf_reference,-1,True,test,0.4906803187663125,0.0,0.08650663192383945,68.7373046875
credit-g,classification,controlled_mlp,2,AdamW,adamw,default,orthogonal_all__m0,0,False,validation,0.4786648421611786,0.08048922651320602,0.16761378105729818,68.7373046875
credit-g,classification,controlled_mlp,2,AdamW,adamw,default,orthogonal_all__m0,0,False,test,0.5073909125362667,0.07933763945110694,0.16761378105729818,68.7373046875
credit-g,classification,controlled_mlp,2,AdamW,adamw,default,orthogonal_all__m1,1,False,validation,0.47473810154185186,0.0695524811765387,0.09424071200191975,68.7373046875
credit-g,classification,controlled_mlp,2,AdamW,adamw,default,orthogonal_all__m1,1,False,test,0.5091746666549899,0.07433694965302676,0.09424071200191975,68.7373046875
credit-g,classification,controlled_mlp,2,AdamW,adamw,default,orthogonal_all__m2,2,False,validation,0.47650635792261886,0.08513106599124963,0.1067485420498997,68.7373046875
credit-g,classification,controlled_mlp,2,AdamW,adamw,default,orthogonal_all__m2,2,False,test,0.511560033449606,0.08590950552642157,0.1067485420498997,68.7373046875
credit-g,classification,controlled_mlp,2,AdamW,adamw,default,orthogonal_all__m3,3,False,validation,0.47191269938955804,0.07421365004011665,0.1264200818259269,68.7373046875
credit-g,classification,controlled_mlp,2,AdamW,adamw,default,orthogonal_all__m3,3,False,test,0.504133100785674,0.0765332289807884,0.1264200818259269,68.7373046875
credit-g,classification,controlled_mlp,2,AdamW,adamw,default,orthogonal_all__m4,4,False,validation,0.47235987480292396,0.08102525771784758,0.10556869488209486,68.7373046875
credit-g,classification,controlled_mlp,2,AdamW,adamw,default,orthogonal_all__m4,4,False,test,0.5065999398331418,0.07856984362750954,0.10556869488209486,68.7373046875
credit-g,classification,controlled_mlp,2,AdamW,adamw,default,orthogonal_all__m5,5,False,validation,0.47103386321237195,0.07984081502202038,0.11607399792410433,68.7373046875
credit-g,classification,controlled_mlp,2,AdamW,adamw,default,orthogonal_all__m5,5,False,test,0.5035180673613159,0.07918135069443623,0.11607399792410433,68.7373046875
credit-g,classification,controlled_mlp,2,AdamW,adamw,default,orthogonal_all__m6,6,False,validation,0.4772800493636485,0.07627647827273921,0.1065850651357323,68.7373046875
credit-g,classification,controlled_mlp,2,AdamW,adamw,default,orthogonal_all__m6,6,False,test,0.5106277543916478,0.07608445500753225,0.1065850651357323,68.7373046875
credit-g,classification,controlled_mlp,2,AdamW,adamw,default,orthogonal_all__m7,7,False,validation,0.4724702751321656,0.07600351835636517,0.12217343598604202,68.7373046875
credit-g,classification,controlled_mlp,2,AdamW,adamw,default,orthogonal_all__m7,7,False,test,0.505774076697003,0.07538824353723098,0.12217343598604202,68.7373046875
credit-g,classification,controlled_mlp,2,BlockAdam,block_adam,default,rbf_reference,-1,True,validation,0.47326321194006465,0.0,0.11915577086620033,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam,block_adam,default,rbf_reference,-1,True,test,0.5152820969514371,0.0,0.11915577086620033,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam,block_adam,default,orthogonal_all__m0,0,False,validation,0.4764404020316523,0.030985670430412227,0.14002194092608988,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam,block_adam,default,orthogonal_all__m0,0,False,test,0.5050808039868177,0.030721495643669522,0.14002194092608988,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam,block_adam,default,orthogonal_all__m1,1,False,validation,0.47485655376291624,0.028465450346277676,0.15807135705836117,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam,block_adam,default,orthogonal_all__m1,1,False,test,0.5106905396161134,0.025069281460438648,0.15807135705836117,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam,block_adam,default,orthogonal_all__m2,2,False,validation,0.4776392581322025,0.02876244932512061,0.12368622398935258,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam,block_adam,default,orthogonal_all__m2,2,False,test,0.5094653512525985,0.031595035193192324,0.12368622398935258,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam,block_adam,default,orthogonal_all__m3,3,False,validation,0.4717150642520912,0.02550899033621247,0.22411457588896155,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam,block_adam,default,orthogonal_all__m3,3,False,test,0.5051307216099472,0.023581181552628477,0.22411457588896155,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam,block_adam,default,orthogonal_all__m4,4,False,validation,0.4726821773157631,0.02637199910705345,0.14055902906693518,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam,block_adam,default,orthogonal_all__m4,4,False,test,0.507783121176067,0.029578847566164513,0.14055902906693518,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam,block_adam,default,orthogonal_all__m5,5,False,validation,0.4715381354585764,0.028195590436762872,0.19510842487215996,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam,block_adam,default,orthogonal_all__m5,5,False,test,0.5036283858984443,0.024592961905016406,0.19510842487215996,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam,block_adam,default,orthogonal_all__m6,6,False,validation,0.4742845031451253,0.025390153982559276,0.1399213580880314,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam,block_adam,default,orthogonal_all__m6,6,False,test,0.5124270770293257,0.028115338641120927,0.1399213580880314,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam,block_adam,default,orthogonal_all__m7,7,False,validation,0.47338954584827125,0.029446004356785106,0.15633401996456087,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam,block_adam,default,orthogonal_all__m7,7,False,test,0.5038697314407566,0.028123189778470222,0.15633401996456087,68.74267578125
credit-g,classification,controlled_mlp,2,MatrixAdam,matrix_adam,default,rbf_reference,-1,True,validation,0.47358819486648845,0.0,0.2042642559390515,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam,matrix_adam,default,rbf_reference,-1,True,test,0.48984528166297236,0.0,0.2042642559390515,68.7412109375
