dataset,problem_type,model,seed,method,optimizer,initialization,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,gpu_peak_memory_mb
california_housing,regression,tabm_d,2,AdamW,adamw,default,rbf_reference,-1,True,validation,61321.945855459264,0.0,0.37098694290034473,118.810546875
california_housing,regression,tabm_d,2,AdamW,adamw,default,rbf_reference,-1,True,test,65203.48052693544,0.0,0.37098694290034473,118.810546875
california_housing,regression,tabm_d,2,AdamW,adamw,default,orthogonal_all__m0,0,False,validation,61979.441174662956,0.07371453034699058,0.333726349985227,118.810546875
california_housing,regression,tabm_d,2,AdamW,adamw,default,orthogonal_all__m0,0,False,test,65712.55264941984,0.07221020418363767,0.333726349985227,118.810546875
california_housing,regression,tabm_d,2,AdamW,adamw,default,orthogonal_all__m1,1,False,validation,60586.244219801236,0.07326615733045419,0.4384325169958174,118.810546875
california_housing,regression,tabm_d,2,AdamW,adamw,default,orthogonal_all__m1,1,False,test,64731.36090014487,0.0641106650094961,0.4384325169958174,118.810546875
california_housing,regression,tabm_d,2,AdamW,adamw,default,orthogonal_all__m2,2,False,validation,61465.98497849946,0.07249439949044363,0.31331542902626097,118.810546875
california_housing,regression,tabm_d,2,AdamW,adamw,default,orthogonal_all__m2,2,False,test,65846.65081392051,0.07411389417152348,0.31331542902626097,118.810546875
california_housing,regression,tabm_d,2,AdamW,adamw,default,orthogonal_all__m3,3,False,validation,61742.913654548094,0.08611128404321154,0.3489986648783088,118.810546875
california_housing,regression,tabm_d,2,AdamW,adamw,default,orthogonal_all__m3,3,False,test,66190.8719353294,0.08797748886858701,0.3489986648783088,118.810546875
california_housing,regression,tabm_d,2,AdamW,adamw,default,orthogonal_all__m4,4,False,validation,62204.414921403964,0.05791557706205139,0.3284763169940561,118.810546875
california_housing,regression,tabm_d,2,AdamW,adamw,default,orthogonal_all__m4,4,False,test,65921.80212659026,0.0608793041988544,0.3284763169940561,118.810546875
california_housing,regression,tabm_d,2,AdamW,adamw,default,orthogonal_all__m5,5,False,validation,61957.16549029514,0.07731647387116046,0.3399832679424435,118.810546875
california_housing,regression,tabm_d,2,AdamW,adamw,default,orthogonal_all__m5,5,False,test,64486.75457200355,0.06969113700694715,0.3399832679424435,118.810546875
california_housing,regression,tabm_d,2,AdamW,adamw,default,orthogonal_all__m6,6,False,validation,61541.27038119284,0.07036348798195573,0.4022129101213068,118.810546875
california_housing,regression,tabm_d,2,AdamW,adamw,default,orthogonal_all__m6,6,False,test,65706.79170879192,0.07375962580313786,0.4022129101213068,118.810546875
california_housing,regression,tabm_d,2,AdamW,adamw,default,orthogonal_all__m7,7,False,validation,61123.80432560827,0.06603747090515515,0.2970586179289967,118.810546875
california_housing,regression,tabm_d,2,AdamW,adamw,default,orthogonal_all__m7,7,False,test,65658.41313022665,0.06816887011380614,0.2970586179289967,118.810546875
california_housing,regression,tabm_d,2,BlockAdam,block_adam,default,rbf_reference,-1,True,validation,61820.08595040512,0.0,0.5494301598519087,118.82275390625
california_housing,regression,tabm_d,2,BlockAdam,block_adam,default,rbf_reference,-1,True,test,65961.59102271283,0.0,0.5494301598519087,118.82275390625
california_housing,regression,tabm_d,2,BlockAdam,block_adam,default,orthogonal_all__m0,0,False,validation,62100.71347784891,0.05838365545112959,0.3943438290152699,118.82275390625
california_housing,regression,tabm_d,2,BlockAdam,block_adam,default,orthogonal_all__m0,0,False,test,65805.80917326016,0.060458151479844686,0.3943438290152699,118.82275390625
california_housing,regression,tabm_d,2,BlockAdam,block_adam,default,orthogonal_all__m1,1,False,validation,60976.37567676507,0.05825633891602135,0.5365986709948629,118.82275390625
california_housing,regression,tabm_d,2,BlockAdam,block_adam,default,orthogonal_all__m1,1,False,test,65205.26436450068,0.05551123352977361,0.5365986709948629,118.82275390625
california_housing,regression,tabm_d,2,BlockAdam,block_adam,default,orthogonal_all__m2,2,False,validation,61667.96022792776,0.05772951308958837,0.4729749078396708,118.82275390625
california_housing,regression,tabm_d,2,BlockAdam,block_adam,default,orthogonal_all__m2,2,False,test,65899.80702562613,0.06295517203060663,0.4729749078396708,118.82275390625
california_housing,regression,tabm_d,2,BlockAdam,block_adam,default,orthogonal_all__m3,3,False,validation,62264.85608600225,0.0943387672593955,0.542903111083433,118.82275390625
california_housing,regression,tabm_d,2,BlockAdam,block_adam,default,orthogonal_all__m3,3,False,test,66866.3371195256,0.10222719824859985,0.542903111083433,118.82275390625
california_housing,regression,tabm_d,2,BlockAdam,block_adam,default,orthogonal_all__m4,4,False,validation,62548.79080483712,0.05544698233265628,0.47622169996611774,118.82275390625
california_housing,regression,tabm_d,2,BlockAdam,block_adam,default,orthogonal_all__m4,4,False,test,66143.65646680645,0.05886896400032679,0.47622169996611774,118.82275390625
california_housing,regression,tabm_d,2,BlockAdam,block_adam,default,orthogonal_all__m5,5,False,validation,62339.77059296436,0.07584810210374182,0.41738136508502066,118.82275390625
california_housing,regression,tabm_d,2,BlockAdam,block_adam,default,orthogonal_all__m5,5,False,test,64651.95262030635,0.06959511919876896,0.41738136508502066,118.82275390625
california_housing,regression,tabm_d,2,BlockAdam,block_adam,default,orthogonal_all__m6,6,False,validation,62151.60650501632,0.07495241170349473,0.5128381499089301,118.82275390625
california_housing,regression,tabm_d,2,BlockAdam,block_adam,default,orthogonal_all__m6,6,False,test,66374.55056301726,0.0831403975746649,0.5128381499089301,118.82275390625
california_housing,regression,tabm_d,2,BlockAdam,block_adam,default,orthogonal_all__m7,7,False,validation,61464.407712060034,0.061344351035636874,0.4766646458301693,118.82275390625
california_housing,regression,tabm_d,2,BlockAdam,block_adam,default,orthogonal_all__m7,7,False,test,65999.19374361522,0.063650858180309,0.4766646458301693,118.82275390625
california_housing,regression,tabm_d,2,MatrixAdam,matrix_adam,default,rbf_reference,-1,True,validation,61360.43387241842,0.0,0.7344883710611612,118.81884765625
california_housing,regression,tabm_d,2,MatrixAdam,matrix_adam,default,rbf_reference,-1,True,test,65231.50495930152,0.0,0.7344883710611612,118.81884765625
