dataset,problem_type,model,seed,method,optimizer,initialization,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,gpu_peak_memory_mb
credit-g,classification,tabm_d,0,AdamW,adamw,default,rbf_reference,-1,True,validation,0.46067330830573694,0.0,0.12696740101091564,119.2080078125
credit-g,classification,tabm_d,0,AdamW,adamw,default,rbf_reference,-1,True,test,0.4714124250885067,0.0,0.12696740101091564,119.2080078125
credit-g,classification,tabm_d,0,AdamW,adamw,default,orthogonal_all__m0,0,False,validation,0.46368824906958184,0.027865564718634793,0.16328023397363722,119.2080078125
credit-g,classification,tabm_d,0,AdamW,adamw,default,orthogonal_all__m0,0,False,test,0.47226699498415087,0.02559553215975615,0.16328023397363722,119.2080078125
credit-g,classification,tabm_d,0,AdamW,adamw,default,orthogonal_all__m1,1,False,validation,0.46387078271515847,0.020011439738039705,0.12458408996462822,119.2080078125
credit-g,classification,tabm_d,0,AdamW,adamw,default,orthogonal_all__m1,1,False,test,0.47320537436098215,0.019752524552626397,0.12458408996462822,119.2080078125
credit-g,classification,tabm_d,0,AdamW,adamw,default,orthogonal_all__m2,2,False,validation,0.4626178149227019,0.014579633098555419,0.1798081628512591,119.2080078125
credit-g,classification,tabm_d,0,AdamW,adamw,default,orthogonal_all__m2,2,False,test,0.4723772495223262,0.017324144666259714,0.1798081628512591,119.2080078125
credit-g,classification,tabm_d,0,AdamW,adamw,default,orthogonal_all__m3,3,False,validation,0.4698014090262236,0.06547925619688187,0.17850545095279813,119.2080078125
credit-g,classification,tabm_d,0,AdamW,adamw,default,orthogonal_all__m3,3,False,test,0.48220653278435804,0.05792575024884458,0.17850545095279813,119.2080078125
credit-g,classification,tabm_d,0,AdamW,adamw,default,orthogonal_all__m4,4,False,validation,0.46632622593607165,0.01779767490532732,0.18937168992124498,119.2080078125
credit-g,classification,tabm_d,0,AdamW,adamw,default,orthogonal_all__m4,4,False,test,0.47451952593841185,0.017894420442421965,0.18937168992124498,119.2080078125
credit-g,classification,tabm_d,0,AdamW,adamw,default,orthogonal_all__m5,5,False,validation,0.468734981728954,0.06608625502433305,0.1555202140007168,119.2080078125
credit-g,classification,tabm_d,0,AdamW,adamw,default,orthogonal_all__m5,5,False,test,0.48511410632271124,0.05968797372613302,0.1555202140007168,119.2080078125
credit-g,classification,tabm_d,0,AdamW,adamw,default,orthogonal_all__m6,6,False,validation,0.4592612342900383,0.018682900374310002,0.17453438695520163,119.2080078125
credit-g,classification,tabm_d,0,AdamW,adamw,default,orthogonal_all__m6,6,False,test,0.47029292541640133,0.018295493071769253,0.17453438695520163,119.2080078125
