dataset,problem_type,model,seed,method,optimizer,initialization,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,gpu_peak_memory_mb
wine-quality-red,regression,tabm_d,1,AdamW,adamw,default,rbf_reference,-1,True,validation,0.653530820327884,0.0,0.36274905409663916,119.25
wine-quality-red,regression,tabm_d,1,AdamW,adamw,default,rbf_reference,-1,True,test,0.6907300527654353,0.0,0.36274905409663916,119.25
wine-quality-red,regression,tabm_d,1,AdamW,adamw,default,orthogonal_all__m0,0,False,validation,0.6633909044960417,0.0813747437745316,0.32995792804285884,119.25
wine-quality-red,regression,tabm_d,1,AdamW,adamw,default,orthogonal_all__m0,0,False,test,0.6906275150969137,0.09139970504638172,0.32995792804285884,119.25
wine-quality-red,regression,tabm_d,1,AdamW,adamw,default,orthogonal_all__m1,1,False,validation,0.6599777022867559,0.0825405181163318,0.38551391614601016,119.25
wine-quality-red,regression,tabm_d,1,AdamW,adamw,default,orthogonal_all__m1,1,False,test,0.6884693303265021,0.09379722258808389,0.38551391614601016,119.25
wine-quality-red,regression,tabm_d,1,AdamW,adamw,default,orthogonal_all__m2,2,False,validation,0.6614716157329831,0.09338315827749542,0.3830217521172017,119.25
wine-quality-red,regression,tabm_d,1,AdamW,adamw,default,orthogonal_all__m2,2,False,test,0.6839733746640734,0.10238237271266228,0.3830217521172017,119.25
wine-quality-red,regression,tabm_d,1,AdamW,adamw,default,orthogonal_all__m3,3,False,validation,0.6609483171115258,0.06641875075387782,0.3732515638694167,119.25
wine-quality-red,regression,tabm_d,1,AdamW,adamw,default,orthogonal_all__m3,3,False,test,0.6865605621216498,0.08415534473032264,0.3732515638694167,119.25
wine-quality-red,regression,tabm_d,1,AdamW,adamw,default,orthogonal_all__m4,4,False,validation,0.6622371870057281,0.07499657729644724,0.35553736914880574,119.25
wine-quality-red,regression,tabm_d,1,AdamW,adamw,default,orthogonal_all__m4,4,False,test,0.6934907871229881,0.08801130137335948,0.35553736914880574,119.25
wine-quality-red,regression,tabm_d,1,AdamW,adamw,default,orthogonal_all__m5,5,False,validation,0.6613927813960438,0.09354708298951248,0.33996525197289884,119.25
wine-quality-red,regression,tabm_d,1,AdamW,adamw,default,orthogonal_all__m5,5,False,test,0.688219190735276,0.0969977251568432,0.33996525197289884,119.25
wine-quality-red,regression,tabm_d,1,AdamW,adamw,default,orthogonal_all__m6,6,False,validation,0.658203663545841,0.08029071832455513,0.48321088310331106,119.25
wine-quality-red,regression,tabm_d,1,AdamW,adamw,default,orthogonal_all__m6,6,False,test,0.6858308612252769,0.08931085240132272,0.48321088310331106,119.25
wine-quality-red,regression,tabm_d,1,AdamW,adamw,default,orthogonal_all__m7,7,False,validation,0.6580323273124984,0.07713703934216172,0.34564413712359965,119.25
wine-quality-red,regression,tabm_d,1,AdamW,adamw,default,orthogonal_all__m7,7,False,test,0.6860122598449937,0.08837695766571495,0.34564413712359965,119.25
wine-quality-red,regression,tabm_d,1,BlockAdam,block_adam,default,rbf_reference,-1,True,validation,0.6638456209809948,0.0,0.5119588079396635,119.26611328125
wine-quality-red,regression,tabm_d,1,BlockAdam,block_adam,default,rbf_reference,-1,True,test,0.6922480405836472,0.0,0.5119588079396635,119.26611328125
wine-quality-red,regression,tabm_d,1,BlockAdam,block_adam,default,orthogonal_all__m0,0,False,validation,0.6640862215374523,0.07847188926217759,0.5417268380988389,119.26611328125
wine-quality-red,regression,tabm_d,1,BlockAdam,block_adam,default,orthogonal_all__m0,0,False,test,0.691179261321252,0.0821628185573482,0.5417268380988389,119.26611328125
wine-quality-red,regression,tabm_d,1,BlockAdam,block_adam,default,orthogonal_all__m1,1,False,validation,0.6593192676160029,0.08493266355774559,0.5635042530484498,119.26611328125
wine-quality-red,regression,tabm_d,1,BlockAdam,block_adam,default,orthogonal_all__m1,1,False,test,0.6899603348950075,0.0919380747715742,0.5635042530484498,119.26611328125
wine-quality-red,regression,tabm_d,1,BlockAdam,block_adam,default,orthogonal_all__m2,2,False,validation,0.6625610170405318,0.08401343223175847,0.44662935589440167,119.26611328125
wine-quality-red,regression,tabm_d,1,BlockAdam,block_adam,default,orthogonal_all__m2,2,False,test,0.6869671685705,0.08685876131941123,0.44662935589440167,119.26611328125
wine-quality-red,regression,tabm_d,1,BlockAdam,block_adam,default,orthogonal_all__m3,3,False,validation,0.6646641146626506,0.07165946213523242,0.4915039639454335,119.26611328125
wine-quality-red,regression,tabm_d,1,BlockAdam,block_adam,default,orthogonal_all__m3,3,False,test,0.6900982293653611,0.07842214440581446,0.4915039639454335,119.26611328125
wine-quality-red,regression,tabm_d,1,BlockAdam,block_adam,default,orthogonal_all__m4,4,False,validation,0.664835956272524,0.0795918553106143,0.38539068796671927,119.26611328125
wine-quality-red,regression,tabm_d,1,BlockAdam,block_adam,default,orthogonal_all__m4,4,False,test,0.6925545059648192,0.08391383573359469,0.38539068796671927,119.26611328125
wine-quality-red,regression,tabm_d,1,BlockAdam,block_adam,default,orthogonal_all__m5,5,False,validation,0.6650540500697227,0.06497109782886046,0.46168896090239286,119.26611328125
wine-quality-red,regression,tabm_d,1,BlockAdam,block_adam,default,orthogonal_all__m5,5,False,test,0.6883783473934544,0.06533870567145472,0.46168896090239286,119.26611328125
wine-quality-red,regression,tabm_d,1,BlockAdam,block_adam,default,orthogonal_all__m6,6,False,validation,0.662407207333778,0.078248072177968,0.4626860530115664,119.26611328125
wine-quality-red,regression,tabm_d,1,BlockAdam,block_adam,default,orthogonal_all__m6,6,False,test,0.6846072617762415,0.08318269728332141,0.4626860530115664,119.26611328125
wine-quality-red,regression,tabm_d,1,BlockAdam,block_adam,default,orthogonal_all__m7,7,False,validation,0.6625354910434331,0.06541569090002126,0.45710418396629393,119.26611328125
wine-quality-red,regression,tabm_d,1,BlockAdam,block_adam,default,orthogonal_all__m7,7,False,test,0.6820043867556189,0.06560694704306057,0.45710418396629393,119.26611328125
wine-quality-red,regression,tabm_d,1,MatrixAdam,matrix_adam,default,rbf_reference,-1,True,validation,0.6569865275127892,0.0,0.8250407588202506,119.2607421875
wine-quality-red,regression,tabm_d,1,MatrixAdam,matrix_adam,default,rbf_reference,-1,True,test,0.6913451080349076,0.0,0.8250407588202506,119.2607421875
wine-quality-red,regression,tabm_d,1,MatrixAdam,matrix_adam,default,orthogonal_all__m0,0,False,validation,0.663980756521566,0.08126638074724073,0.7817994609940797,119.2607421875
wine-quality-red,regression,tabm_d,1,MatrixAdam,matrix_adam,default,orthogonal_all__m0,0,False,test,0.6891147787517125,0.09126486402102023,0.7817994609940797,119.2607421875
wine-quality-red,regression,tabm_d,1,MatrixAdam,matrix_adam,default,orthogonal_all__m1,1,False,validation,0.6573783376842562,0.0752923282362813,0.7816486041992903,119.2607421875
wine-quality-red,regression,tabm_d,1,MatrixAdam,matrix_adam,default,orthogonal_all__m1,1,False,test,0.6856436786065184,0.08820394509864603,0.7816486041992903,119.2607421875
wine-quality-red,regression,tabm_d,1,MatrixAdam,matrix_adam,default,orthogonal_all__m2,2,False,validation,0.65871796891707,0.07157229370802,0.8298562320414931,119.2607421875
wine-quality-red,regression,tabm_d,1,MatrixAdam,matrix_adam,default,orthogonal_all__m2,2,False,test,0.6837724365222175,0.08032197251353976,0.8298562320414931,119.2607421875
wine-quality-red,regression,tabm_d,1,MatrixAdam,matrix_adam,default,orthogonal_all__m3,3,False,validation,0.6635902369836166,0.07458445709821669,0.7996002950239927,119.2607421875
wine-quality-red,regression,tabm_d,1,MatrixAdam,matrix_adam,default,orthogonal_all__m3,3,False,test,0.683060105536729,0.08882390717421317,0.7996002950239927,119.2607421875
wine-quality-red,regression,tabm_d,1,MatrixAdam,matrix_adam,default,orthogonal_all__m4,4,False,validation,0.6626238047226469,0.07315698572812375,0.8466847399249673,119.2607421875
wine-quality-red,regression,tabm_d,1,MatrixAdam,matrix_adam,default,orthogonal_all__m4,4,False,test,0.6924663836327246,0.08330377847786326,0.8466847399249673,119.2607421875
wine-quality-red,regression,tabm_d,1,MatrixAdam,matrix_adam,default,orthogonal_all__m5,5,False,validation,0.6597332061942748,0.08719409618313348,0.8196962750516832,119.2607421875
wine-quality-red,regression,tabm_d,1,MatrixAdam,matrix_adam,default,orthogonal_all__m5,5,False,test,0.6890789298476382,0.08746856317063469,0.8196962750516832,119.2607421875
wine-quality-red,regression,tabm_d,1,MatrixAdam,matrix_adam,default,orthogonal_all__m6,6,False,validation,0.6579601461696183,0.08302038113412709,0.8132738289423287,119.2607421875
