dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,prediction_reused_due_to_coordinate_identity
house_16H,regression,catboost,1,Raw,representation,rbf_reference,-1,True,validation,47360.107839073455,0.0,2.4050741081591696,False
house_16H,regression,catboost,1,Raw,representation,rbf_reference,-1,True,test,35128.93209784728,0.0,2.4050741081591696,False
house_16H,regression,catboost,1,Raw,representation,orthogonal_all__m0,0,False,validation,49896.39583740495,0.14534892564963342,2.588900025933981,False
house_16H,regression,catboost,1,Raw,representation,orthogonal_all__m0,0,False,test,35550.531297883026,0.1727592483954475,2.588900025933981,False
house_16H,regression,catboost,1,Raw,representation,orthogonal_all__m1,1,False,validation,49038.45432749321,0.13213848156976993,2.403014342999086,False
house_16H,regression,catboost,1,Raw,representation,orthogonal_all__m1,1,False,test,34907.076776023176,0.13780590905913193,2.403014342999086,False
house_16H,regression,catboost,1,Raw,representation,orthogonal_all__m2,2,False,validation,50304.79777914117,0.12158120664385962,2.37098580901511,False
house_16H,regression,catboost,1,Raw,representation,orthogonal_all__m2,2,False,test,35583.43278717436,0.15150152207591053,2.37098580901511,False
house_16H,regression,catboost,1,Raw,representation,orthogonal_all__m3,3,False,validation,49772.00489943565,0.13609678354557816,2.3716796541120857,False
house_16H,regression,catboost,1,Raw,representation,orthogonal_all__m3,3,False,test,34313.173701976644,0.1429354746313551,2.3716796541120857,False
house_16H,regression,catboost,1,Raw,representation,orthogonal_all__m4,4,False,validation,50173.449992016125,0.13250331401395615,2.346461322158575,False
house_16H,regression,catboost,1,Raw,representation,orthogonal_all__m4,4,False,test,35387.043739880486,0.1623539117883001,2.346461322158575,False
house_16H,regression,catboost,1,Raw,representation,orthogonal_all__m5,5,False,validation,49039.6400213056,0.14815884882858424,2.3314509179908782,False
house_16H,regression,catboost,1,Raw,representation,orthogonal_all__m5,5,False,test,35312.46796607773,0.1545101875060876,2.3314509179908782,False
house_16H,regression,catboost,1,Raw,representation,orthogonal_all__m6,6,False,validation,49017.09929858375,0.1239188744568351,2.3494695329573005,False
house_16H,regression,catboost,1,Raw,representation,orthogonal_all__m6,6,False,test,34967.80685535118,0.15030466199566223,2.3494695329573005,False
house_16H,regression,catboost,1,Raw,representation,orthogonal_all__m7,7,False,validation,49633.22676533592,0.12858422040576117,2.2725147982127964,False
house_16H,regression,catboost,1,Raw,representation,orthogonal_all__m7,7,False,test,35153.78421979013,0.15882242496331397,2.2725147982127964,False
