dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,prediction_reused_due_to_coordinate_identity
wine-quality-red,regression,catboost,0,Raw,representation,rbf_reference,-1,True,validation,0.6402364094801748,0.0,0.5651342479977757,False
wine-quality-red,regression,catboost,0,Raw,representation,rbf_reference,-1,True,test,0.6547961723811623,0.0,0.5651342479977757,False
wine-quality-red,regression,catboost,0,Raw,representation,orthogonal_all__m0,0,False,validation,0.6539385828131807,0.15494177323405864,0.6466754148714244,False
wine-quality-red,regression,catboost,0,Raw,representation,orthogonal_all__m0,0,False,test,0.6411329258839091,0.14930612784960973,0.6466754148714244,False
wine-quality-red,regression,catboost,0,Raw,representation,orthogonal_all__m1,1,False,validation,0.6524075380499542,0.14502281335245645,0.6593240487854928,False
wine-quality-red,regression,catboost,0,Raw,representation,orthogonal_all__m1,1,False,test,0.6515196771437394,0.14145069767932544,0.6593240487854928,False
wine-quality-red,regression,catboost,0,Raw,representation,orthogonal_all__m2,2,False,validation,0.6497108434191765,0.1381686294084571,0.864056995138526,False
wine-quality-red,regression,catboost,0,Raw,representation,orthogonal_all__m2,2,False,test,0.6491785791361291,0.13419683356875292,0.864056995138526,False
wine-quality-red,regression,catboost,0,Raw,representation,orthogonal_all__m3,3,False,validation,0.6480252667083909,0.14076367127774875,0.7654152021277696,False
wine-quality-red,regression,catboost,0,Raw,representation,orthogonal_all__m3,3,False,test,0.6528634440241636,0.1335042351388568,0.7654152021277696,False
wine-quality-red,regression,catboost,0,Raw,representation,orthogonal_all__m4,4,False,validation,0.6542543132949602,0.14274267130965798,0.7967426651157439,False
wine-quality-red,regression,catboost,0,Raw,representation,orthogonal_all__m4,4,False,test,0.6487491518503757,0.1414078160637246,0.7967426651157439,False
wine-quality-red,regression,catboost,0,Raw,representation,orthogonal_all__m5,5,False,validation,0.6541627921349759,0.14285443826985555,0.6971013399306685,False
wine-quality-red,regression,catboost,0,Raw,representation,orthogonal_all__m5,5,False,test,0.6603249975046798,0.14023188534520706,0.6971013399306685,False
wine-quality-red,regression,catboost,0,Raw,representation,orthogonal_all__m6,6,False,validation,0.654463051290475,0.13580939728195285,0.9695932290051132,False
wine-quality-red,regression,catboost,0,Raw,representation,orthogonal_all__m6,6,False,test,0.6410114841838814,0.12641179750599646,0.9695932290051132,False
wine-quality-red,regression,catboost,0,Raw,representation,orthogonal_all__m7,7,False,validation,0.6542691375517012,0.13205700278591012,0.6735456460155547,False
wine-quality-red,regression,catboost,0,Raw,representation,orthogonal_all__m7,7,False,test,0.6440402495063369,0.13383965620790567,0.6735456460155547,False
wine-quality-red,regression,catboost,0,PCA,representation,pca__v1__rbf_reference,-1,True,validation,0.6491589699156227,0.0,1.0707668920513242,False
wine-quality-red,regression,catboost,0,PCA,representation,pca__v1__rbf_reference,-1,True,test,0.6475517889395563,0.0,1.0707668920513242,False
wine-quality-red,regression,catboost,0,PCA,representation,pca__v1__orthogonal_all__m0,0,False,validation,0.6491589699156227,0.0,0.0,True
wine-quality-red,regression,catboost,0,PCA,representation,pca__v1__orthogonal_all__m0,0,False,test,0.6475517889395563,0.0,0.0,True
wine-quality-red,regression,catboost,0,PCA,representation,pca__v1__orthogonal_all__m1,1,False,validation,0.6491589699156227,0.0,0.0,True
wine-quality-red,regression,catboost,0,PCA,representation,pca__v1__orthogonal_all__m1,1,False,test,0.6475517889395563,0.0,0.0,True
wine-quality-red,regression,catboost,0,PCA,representation,pca__v1__orthogonal_all__m2,2,False,validation,0.6491589699156227,0.0,0.0,True
wine-quality-red,regression,catboost,0,PCA,representation,pca__v1__orthogonal_all__m2,2,False,test,0.6475517889395563,0.0,0.0,True
wine-quality-red,regression,catboost,0,PCA,representation,pca__v1__orthogonal_all__m3,3,False,validation,0.6491589699156227,0.0,0.0,True
wine-quality-red,regression,catboost,0,PCA,representation,pca__v1__orthogonal_all__m3,3,False,test,0.6475517889395563,0.0,0.0,True
wine-quality-red,regression,catboost,0,PCA,representation,pca__v1__orthogonal_all__m4,4,False,validation,0.6491589699156227,0.0,0.0,True
wine-quality-red,regression,catboost,0,PCA,representation,pca__v1__orthogonal_all__m4,4,False,test,0.6475517889395563,0.0,0.0,True
