dataset,model,seed,method,representation_id,shape_match,train_relative_error,validation_relative_error,test_relative_error
wine-quality-red,catboost,0,PCA,pca__v1__orthogonal_all__m0,True,6.293595238675758e-15,6.3099915776675074e-15,6.3977959970041625e-15
wine-quality-red,catboost,0,PCA,pca__v1__orthogonal_all__m1,True,8.035426417207839e-15,8.275835706419912e-15,8.175837883412718e-15
wine-quality-red,catboost,0,PCA,pca__v1__orthogonal_all__m2,True,5.4243130726304135e-15,5.4354814081873186e-15,5.495607734991486e-15
wine-quality-red,catboost,0,PCA,pca__v1__orthogonal_all__m3,True,5.094980158063509e-15,5.126075851822848e-15,5.137180821784271e-15
wine-quality-red,catboost,0,PCA,pca__v1__orthogonal_all__m4,True,5.875372852277473e-15,5.871942427609188e-15,5.945469856543015e-15
wine-quality-red,catboost,0,PCA,pca__v1__orthogonal_all__m5,True,6.0062471878488905e-15,6.006199576166912e-15,6.083917600525344e-15
wine-quality-red,catboost,0,PCA,pca__v1__orthogonal_all__m6,True,3.8402577074054935e-15,3.86529335164737e-15,3.851438362826174e-15
wine-quality-red,catboost,0,PCA,pca__v1__orthogonal_all__m7,True,1.003693662168239e-14,1.0094678756606595e-14,1.0263967311608445e-14
wine-quality-red,catboost,0,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m0,True,1.1155294133736235e-15,1.1320041632133122e-15,1.1316834484378352e-15
wine-quality-red,catboost,0,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m1,True,1.1439555145355487e-15,1.1381257233236962e-15,1.1477877779479681e-15
wine-quality-red,catboost,0,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m2,True,1.1299949893194145e-15,1.1247190680365649e-15,1.144323975062639e-15
wine-quality-red,catboost,0,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m3,True,1.141603179501189e-15,1.1448862078053795e-15,1.1422471392382971e-15
wine-quality-red,catboost,0,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m4,True,1.0755115764818653e-15,1.0699838922440947e-15,1.0906423803708803e-15
wine-quality-red,catboost,0,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m5,True,1.189548612990581e-15,1.1879655641192203e-15,1.214375584754649e-15
wine-quality-red,catboost,0,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m6,True,1.1171339864829719e-15,1.1120087042013126e-15,1.1339619292781473e-15
wine-quality-red,catboost,0,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m7,True,1.0738515663432919e-15,1.0727528541527857e-15,1.0675019544750663e-15
wine-quality-red,catboost,0,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m0,True,1.3198707656573232e-15,1.3507969325046067e-15,1.3425018785210843e-15
wine-quality-red,catboost,0,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m1,True,1.4432917939042007e-15,1.432461126468193e-15,1.4573179230285064e-15
wine-quality-red,catboost,0,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m2,True,1.3745259565653393e-15,1.376430257240408e-15,1.4002558207293912e-15
