dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,prediction_reused_due_to_coordinate_identity
bike-sharing,regression,controlled_mlp,0,Raw,representation,rbf_reference,-1,True,validation,70.5029563057822,0.0,1.4226578979287297,False
bike-sharing,regression,controlled_mlp,0,Raw,representation,rbf_reference,-1,True,test,76.40112529010118,0.0,1.4226578979287297,False
bike-sharing,regression,controlled_mlp,0,Raw,representation,orthogonal_all__m0,0,False,validation,69.53442933708024,0.12291306596232948,1.430618318030611,False
bike-sharing,regression,controlled_mlp,0,Raw,representation,orthogonal_all__m0,0,False,test,76.38404265100571,0.13437583193730168,1.430618318030611,False
bike-sharing,regression,controlled_mlp,0,Raw,representation,orthogonal_all__m1,1,False,validation,69.88214212697606,0.13075965480859664,1.5444857799448073,False
bike-sharing,regression,controlled_mlp,0,Raw,representation,orthogonal_all__m1,1,False,test,72.17985079820723,0.13172383768433413,1.5444857799448073,False
bike-sharing,regression,controlled_mlp,0,Raw,representation,orthogonal_all__m2,2,False,validation,69.7956029554111,0.12701178695197454,1.2762387390248475,False
bike-sharing,regression,controlled_mlp,0,Raw,representation,orthogonal_all__m2,2,False,test,71.0584161609975,0.13545367601110614,1.2762387390248475,False
bike-sharing,regression,controlled_mlp,0,Raw,representation,orthogonal_all__m3,3,False,validation,71.81685937141607,0.14186795249123793,1.2007117699831724,False
bike-sharing,regression,controlled_mlp,0,Raw,representation,orthogonal_all__m3,3,False,test,76.77716096267656,0.1517684058086292,1.2007117699831724,False
bike-sharing,regression,controlled_mlp,0,Raw,representation,orthogonal_all__m4,4,False,validation,72.74657242109483,0.19815737702177647,1.0875566799659282,False
bike-sharing,regression,controlled_mlp,0,Raw,representation,orthogonal_all__m4,4,False,test,80.96999380999816,0.19380888973264424,1.0875566799659282,False
bike-sharing,regression,controlled_mlp,0,Raw,representation,orthogonal_all__m5,5,False,validation,70.79236315673455,0.1953552976640193,1.044809186831117,False
bike-sharing,regression,controlled_mlp,0,Raw,representation,orthogonal_all__m5,5,False,test,79.4327304470541,0.1882300326170756,1.044809186831117,False
bike-sharing,regression,controlled_mlp,0,Raw,representation,orthogonal_all__m6,6,False,validation,68.09339879030499,0.1361877902081083,1.1954679691698402,False
bike-sharing,regression,controlled_mlp,0,Raw,representation,orthogonal_all__m6,6,False,test,75.70774736381912,0.15040734925546043,1.1954679691698402,False
bike-sharing,regression,controlled_mlp,0,Raw,representation,orthogonal_all__m7,7,False,validation,71.36402297276322,0.18566481006032112,0.9080481629353016,False
bike-sharing,regression,controlled_mlp,0,Raw,representation,orthogonal_all__m7,7,False,test,79.91255304076698,0.18650967212000907,0.9080481629353016,False
bike-sharing,regression,controlled_mlp,0,PCA,representation,pca__v1__rbf_reference,-1,True,validation,74.72347983247734,0.0,0.43337793089449406,False
bike-sharing,regression,controlled_mlp,0,PCA,representation,pca__v1__rbf_reference,-1,True,test,78.45582934516733,0.0,0.43337793089449406,False
bike-sharing,regression,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m0,0,False,validation,74.72347983247734,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m0,0,False,test,78.45582934516733,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m1,1,False,validation,74.72347983247734,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m1,1,False,test,78.45582934516733,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m2,2,False,validation,74.72347983247734,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m2,2,False,test,78.45582934516733,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m3,3,False,validation,74.72347983247734,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m3,3,False,test,78.45582934516733,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m4,4,False,validation,74.72347983247734,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m4,4,False,test,78.45582934516733,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m5,5,False,validation,74.72347983247734,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m5,5,False,test,78.45582934516733,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m6,6,False,validation,74.72347983247734,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m6,6,False,test,78.45582934516733,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m7,7,False,validation,74.72347983247734,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m7,7,False,test,78.45582934516733,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__rbf_reference,-1,True,validation,69.04963572426955,0.0,0.39052339689806104,False
bike-sharing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__rbf_reference,-1,True,test,74.175401629243,0.0,0.39052339689806104,False
bike-sharing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m0,0,False,validation,69.04963572426955,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m0,0,False,test,74.175401629243,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m1,1,False,validation,69.04963572426955,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m1,1,False,test,74.175401629243,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m2,2,False,validation,69.04963572426955,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m2,2,False,test,74.175401629243,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m3,3,False,validation,69.04963572426955,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m3,3,False,test,74.175401629243,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m4,4,False,validation,69.04963572426955,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m4,4,False,test,74.175401629243,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m5,5,False,validation,69.04963572426955,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m5,5,False,test,74.175401629243,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m6,6,False,validation,69.04963572426955,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m6,6,False,test,74.175401629243,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m7,7,False,validation,69.04963572426955,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m7,7,False,test,74.175401629243,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,GramAnchor-m8,representation,gram_anchor__pivot_tie_v2__rbf_reference,-1,True,validation,71.62886309915261,0.0,1.4546716432087123,False
bike-sharing,regression,controlled_mlp,0,GramAnchor-m8,representation,gram_anchor__pivot_tie_v2__rbf_reference,-1,True,test,76.27538530117926,0.0,1.4546716432087123,False
bike-sharing,regression,controlled_mlp,0,GramAnchor-m8,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m0,0,False,validation,71.62886309915261,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,GramAnchor-m8,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m0,0,False,test,76.27538530117926,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,GramAnchor-m8,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m1,1,False,validation,71.62886309915261,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,GramAnchor-m8,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m1,1,False,test,76.27538530117926,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,GramAnchor-m8,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m2,2,False,validation,71.62886309915261,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,GramAnchor-m8,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m2,2,False,test,76.27538530117926,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,GramAnchor-m8,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m3,3,False,validation,71.62886309915261,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,GramAnchor-m8,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m3,3,False,test,76.27538530117926,0.0,0.0,True
bike-sharing,regression,controlled_mlp,0,GramAnchor-m8,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m4,4,False,validation,71.62886309915261,0.0,0.0,True
