dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,prediction_reused_due_to_coordinate_identity
wine-quality-red,regression,controlled_mlp,2,Raw,representation,rbf_reference,-1,True,validation,0.6493292457107712,0.0,0.1502126809209585,False
wine-quality-red,regression,controlled_mlp,2,Raw,representation,rbf_reference,-1,True,test,0.6962309332751172,0.0,0.1502126809209585,False
wine-quality-red,regression,controlled_mlp,2,Raw,representation,orthogonal_all__m0,0,False,validation,0.6555488890956331,0.12628729189110321,0.2007106789387762,False
wine-quality-red,regression,controlled_mlp,2,Raw,representation,orthogonal_all__m0,0,False,test,0.7097655461741373,0.13755064269700867,0.2007106789387762,False
wine-quality-red,regression,controlled_mlp,2,Raw,representation,orthogonal_all__m1,1,False,validation,0.6642966116338026,0.12702191370399862,0.1506294279824942,False
wine-quality-red,regression,controlled_mlp,2,Raw,representation,orthogonal_all__m1,1,False,test,0.6898549392708028,0.11915197655105755,0.1506294279824942,False
wine-quality-red,regression,controlled_mlp,2,Raw,representation,orthogonal_all__m2,2,False,validation,0.6537751713647063,0.09804011700146055,0.1608450079802423,False
wine-quality-red,regression,controlled_mlp,2,Raw,representation,orthogonal_all__m2,2,False,test,0.7001837389651709,0.11359218706991314,0.1608450079802423,False
wine-quality-red,regression,controlled_mlp,2,Raw,representation,orthogonal_all__m3,3,False,validation,0.6583894433390632,0.12047821121954698,0.1640163760166615,False
wine-quality-red,regression,controlled_mlp,2,Raw,representation,orthogonal_all__m3,3,False,test,0.7111521663460065,0.13738828109834525,0.1640163760166615,False
wine-quality-red,regression,controlled_mlp,2,Raw,representation,orthogonal_all__m4,4,False,validation,0.6598311749582397,0.12800119426717374,0.1860617490019649,False
wine-quality-red,regression,controlled_mlp,2,Raw,representation,orthogonal_all__m4,4,False,test,0.7046855963070366,0.15011177077172266,0.1860617490019649,False
wine-quality-red,regression,controlled_mlp,2,Raw,representation,orthogonal_all__m5,5,False,validation,0.6582303895920377,0.12417268023550175,0.1861650040373206,False
wine-quality-red,regression,controlled_mlp,2,Raw,representation,orthogonal_all__m5,5,False,test,0.7080274015412028,0.13689562209345202,0.1861650040373206,False
wine-quality-red,regression,controlled_mlp,2,Raw,representation,orthogonal_all__m6,6,False,validation,0.6607556159903526,0.10654413590806061,0.1559594289865344,False
wine-quality-red,regression,controlled_mlp,2,Raw,representation,orthogonal_all__m6,6,False,test,0.7020019116109106,0.1189582401465798,0.1559594289865344,False
wine-quality-red,regression,controlled_mlp,2,Raw,representation,orthogonal_all__m7,7,False,validation,0.6676943587549257,0.14490789802785295,0.1930967969819903,False
wine-quality-red,regression,controlled_mlp,2,Raw,representation,orthogonal_all__m7,7,False,test,0.7040434410435247,0.14803197762691583,0.1930967969819903,False
wine-quality-red,regression,controlled_mlp,2,PCA,representation,pca__v1__rbf_reference,-1,True,validation,0.6455157275646227,0.0,0.24850157392211258,False
wine-quality-red,regression,controlled_mlp,2,PCA,representation,pca__v1__rbf_reference,-1,True,test,0.7140570336361587,0.0,0.24850157392211258,False
wine-quality-red,regression,controlled_mlp,2,PCA,representation,pca__v1__orthogonal_all__m0,0,False,validation,0.6455157275646227,0.0,0.0,True
wine-quality-red,regression,controlled_mlp,2,PCA,representation,pca__v1__orthogonal_all__m0,0,False,test,0.7140570336361587,0.0,0.0,True
wine-quality-red,regression,controlled_mlp,2,PCA,representation,pca__v1__orthogonal_all__m1,1,False,validation,0.6455157275646227,0.0,0.0,True
wine-quality-red,regression,controlled_mlp,2,PCA,representation,pca__v1__orthogonal_all__m1,1,False,test,0.7140570336361587,0.0,0.0,True
wine-quality-red,regression,controlled_mlp,2,PCA,representation,pca__v1__orthogonal_all__m2,2,False,validation,0.6455157275646227,0.0,0.0,True
wine-quality-red,regression,controlled_mlp,2,PCA,representation,pca__v1__orthogonal_all__m2,2,False,test,0.7140570336361587,0.0,0.0,True
wine-quality-red,regression,controlled_mlp,2,PCA,representation,pca__v1__orthogonal_all__m3,3,False,validation,0.6455157275646227,0.0,0.0,True
wine-quality-red,regression,controlled_mlp,2,PCA,representation,pca__v1__orthogonal_all__m3,3,False,test,0.7140570336361587,0.0,0.0,True
wine-quality-red,regression,controlled_mlp,2,PCA,representation,pca__v1__orthogonal_all__m4,4,False,validation,0.6455157275646227,0.0,0.0,True
wine-quality-red,regression,controlled_mlp,2,PCA,representation,pca__v1__orthogonal_all__m4,4,False,test,0.7140570336361587,0.0,0.0,True
wine-quality-red,regression,controlled_mlp,2,PCA,representation,pca__v1__orthogonal_all__m5,5,False,validation,0.6455157275646227,0.0,0.0,True
wine-quality-red,regression,controlled_mlp,2,PCA,representation,pca__v1__orthogonal_all__m5,5,False,test,0.7140570336361587,0.0,0.0,True
wine-quality-red,regression,controlled_mlp,2,PCA,representation,pca__v1__orthogonal_all__m6,6,False,validation,0.6455157275646227,0.0,0.0,True
wine-quality-red,regression,controlled_mlp,2,PCA,representation,pca__v1__orthogonal_all__m6,6,False,test,0.7140570336361587,0.0,0.0,True
wine-quality-red,regression,controlled_mlp,2,PCA,representation,pca__v1__orthogonal_all__m7,7,False,validation,0.6455157275646227,0.0,0.0,True
wine-quality-red,regression,controlled_mlp,2,PCA,representation,pca__v1__orthogonal_all__m7,7,False,test,0.7140570336361587,0.0,0.0,True
wine-quality-red,regression,controlled_mlp,2,GramAnchor,representation,gram_anchor__pivot_tie_v2__rbf_reference,-1,True,validation,0.6738833070052096,0.0,0.3645350111182779,False
wine-quality-red,regression,controlled_mlp,2,GramAnchor,representation,gram_anchor__pivot_tie_v2__rbf_reference,-1,True,test,0.726756747850511,0.0,0.3645350111182779,False
wine-quality-red,regression,controlled_mlp,2,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m0,0,False,validation,0.6738833070052096,0.0,0.0,True
wine-quality-red,regression,controlled_mlp,2,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m0,0,False,test,0.726756747850511,0.0,0.0,True
wine-quality-red,regression,controlled_mlp,2,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m1,1,False,validation,0.6738833070052096,0.0,0.0,True
