dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,prediction_reused_due_to_coordinate_identity
california_housing,regression,tabpfn_2_6,1,Raw,representation,rbf_reference,-1,True,validation,49063.24078032915,0.0,0.1673634189646691,False
california_housing,regression,tabpfn_2_6,1,Raw,representation,rbf_reference,-1,True,test,54313.17628513846,0.0,0.1673634189646691,False
california_housing,regression,tabpfn_2_6,1,Raw,representation,orthogonal_all__m0,0,False,validation,50508.447681346435,0.15325123905716395,0.1561223161406815,False
california_housing,regression,tabpfn_2_6,1,Raw,representation,orthogonal_all__m0,0,False,test,53714.56762031058,0.16034873607277864,0.1561223161406815,False
california_housing,regression,tabpfn_2_6,1,Raw,representation,orthogonal_all__m1,1,False,validation,50891.08157305018,0.17167896427432408,0.1606530149001628,False
california_housing,regression,tabpfn_2_6,1,Raw,representation,orthogonal_all__m1,1,False,test,55680.81160717028,0.20753994441087883,0.1606530149001628,False
california_housing,regression,tabpfn_2_6,1,Raw,representation,orthogonal_all__m2,2,False,validation,49631.33592950437,0.17309010027987032,0.1551045619416982,False
california_housing,regression,tabpfn_2_6,1,Raw,representation,orthogonal_all__m2,2,False,test,56797.67969347475,0.19644137799014913,0.1551045619416982,False
california_housing,regression,tabpfn_2_6,1,Raw,representation,orthogonal_all__m3,3,False,validation,50316.93172568032,0.1851218379390097,0.155292895855382,False
california_housing,regression,tabpfn_2_6,1,Raw,representation,orthogonal_all__m3,3,False,test,55730.890271490985,0.19115271243428567,0.155292895855382,False
california_housing,regression,tabpfn_2_6,1,Raw,representation,orthogonal_all__m4,4,False,validation,48783.08639381696,0.1715925997744759,0.1550335248466581,False
california_housing,regression,tabpfn_2_6,1,Raw,representation,orthogonal_all__m4,4,False,test,55253.25328961567,0.17640154654384083,0.1550335248466581,False
california_housing,regression,tabpfn_2_6,1,Raw,representation,orthogonal_all__m5,5,False,validation,48665.81625648381,0.15591677884010985,0.1585350618697703,False
california_housing,regression,tabpfn_2_6,1,Raw,representation,orthogonal_all__m5,5,False,test,56038.76518171081,0.18185232448781322,0.1585350618697703,False
california_housing,regression,tabpfn_2_6,1,Raw,representation,orthogonal_all__m6,6,False,validation,48736.635004734664,0.16703299127932217,0.1550360878463834,False
california_housing,regression,tabpfn_2_6,1,Raw,representation,orthogonal_all__m6,6,False,test,55689.03326320707,0.17679835526894436,0.1550360878463834,False
california_housing,regression,tabpfn_2_6,1,Raw,representation,orthogonal_all__m7,7,False,validation,48430.40763941687,0.13126901942550304,0.1548009649850428,False
california_housing,regression,tabpfn_2_6,1,Raw,representation,orthogonal_all__m7,7,False,test,54689.28739374164,0.14658861427091846,0.1548009649850428,False
california_housing,regression,tabpfn_2_6,1,PCA,representation,pca__v1__rbf_reference,-1,True,validation,50699.19172777581,0.0,0.2478697970509529,False
california_housing,regression,tabpfn_2_6,1,PCA,representation,pca__v1__rbf_reference,-1,True,test,57201.825247645866,0.0,0.2478697970509529,False
california_housing,regression,tabpfn_2_6,1,PCA,representation,pca__v1__orthogonal_all__m0,0,False,validation,50699.19172777581,0.0,0.0,True
california_housing,regression,tabpfn_2_6,1,PCA,representation,pca__v1__orthogonal_all__m0,0,False,test,57201.825247645866,0.0,0.0,True
california_housing,regression,tabpfn_2_6,1,PCA,representation,pca__v1__orthogonal_all__m1,1,False,validation,50699.19172777581,0.0,0.0,True
california_housing,regression,tabpfn_2_6,1,PCA,representation,pca__v1__orthogonal_all__m1,1,False,test,57201.825247645866,0.0,0.0,True
california_housing,regression,tabpfn_2_6,1,PCA,representation,pca__v1__orthogonal_all__m2,2,False,validation,50699.19172777581,0.0,0.0,True
