dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,prediction_reused_due_to_coordinate_identity
house_16H,regression,tabpfn_2_6,1,Raw,representation,rbf_reference,-1,True,validation,43660.62767107314,0.0,0.8627093629911542,False
house_16H,regression,tabpfn_2_6,1,Raw,representation,rbf_reference,-1,True,test,31882.828313849026,0.0,0.8627093629911542,False
house_16H,regression,tabpfn_2_6,1,Raw,representation,orthogonal_all__m0,0,False,validation,46175.64657964178,0.19332497159145176,1.062421603128314,False
house_16H,regression,tabpfn_2_6,1,Raw,representation,orthogonal_all__m0,0,False,test,33606.62927211685,0.2094129268774933,1.062421603128314,False
house_16H,regression,tabpfn_2_6,1,Raw,representation,orthogonal_all__m1,1,False,validation,45810.497679863634,0.1414804434830213,1.2119629031512886,False
house_16H,regression,tabpfn_2_6,1,Raw,representation,orthogonal_all__m1,1,False,test,32538.153944720187,0.1938099004633638,1.2119629031512886,False
house_16H,regression,tabpfn_2_6,1,Raw,representation,orthogonal_all__m2,2,False,validation,44957.964358751844,0.16389841087753673,1.5643285179976374,False
house_16H,regression,tabpfn_2_6,1,Raw,representation,orthogonal_all__m2,2,False,test,32122.30934243741,0.21474927222968157,1.5643285179976374,False
house_16H,regression,tabpfn_2_6,1,Raw,representation,orthogonal_all__m3,3,False,validation,45245.80998367305,0.13398652264437047,1.322290943004191,False
house_16H,regression,tabpfn_2_6,1,Raw,representation,orthogonal_all__m3,3,False,test,32892.80723485467,0.1819858293705426,1.322290943004191,False
house_16H,regression,tabpfn_2_6,1,Raw,representation,orthogonal_all__m4,4,False,validation,46909.07478039825,0.16678763788182321,1.3159079048782587,False
house_16H,regression,tabpfn_2_6,1,Raw,representation,orthogonal_all__m4,4,False,test,32258.34496915951,0.209991296276055,1.3159079048782587,False
house_16H,regression,tabpfn_2_6,1,Raw,representation,orthogonal_all__m5,5,False,validation,44046.15016366145,0.15250891460701557,3.635081036016345,False
house_16H,regression,tabpfn_2_6,1,Raw,representation,orthogonal_all__m5,5,False,test,34372.5881556999,0.18245703145959297,3.635081036016345,False
house_16H,regression,tabpfn_2_6,1,Raw,representation,orthogonal_all__m6,6,False,validation,45630.97453360405,0.15770037355287517,1.7991120119113475,False
house_16H,regression,tabpfn_2_6,1,Raw,representation,orthogonal_all__m6,6,False,test,31904.051534145867,0.20452248413951707,1.7991120119113475,False
house_16H,regression,tabpfn_2_6,1,Raw,representation,orthogonal_all__m7,7,False,validation,44097.60953071595,0.13757374482501739,1.1015288620255888,False
house_16H,regression,tabpfn_2_6,1,Raw,representation,orthogonal_all__m7,7,False,test,32778.43346211086,0.17945299502866716,1.1015288620255888,False
house_16H,regression,tabpfn_2_6,1,PCA,representation,pca__v1__rbf_reference,-1,True,validation,44503.89337800318,0.0,0.2657762498129159,False
house_16H,regression,tabpfn_2_6,1,PCA,representation,pca__v1__rbf_reference,-1,True,test,32682.43697671447,0.0,0.2657762498129159,False
house_16H,regression,tabpfn_2_6,1,PCA,representation,pca__v1__orthogonal_all__m0,0,False,validation,44503.89337800318,0.0,0.0,True
house_16H,regression,tabpfn_2_6,1,PCA,representation,pca__v1__orthogonal_all__m0,0,False,test,32682.43697671447,0.0,0.0,True
house_16H,regression,tabpfn_2_6,1,PCA,representation,pca__v1__orthogonal_all__m1,1,False,validation,44503.89337800318,0.0,0.0,True
house_16H,regression,tabpfn_2_6,1,PCA,representation,pca__v1__orthogonal_all__m1,1,False,test,32682.43697671447,0.0,0.0,True
house_16H,regression,tabpfn_2_6,1,PCA,representation,pca__v1__orthogonal_all__m2,2,False,validation,44503.89337800318,0.0,0.0,True
house_16H,regression,tabpfn_2_6,1,PCA,representation,pca__v1__orthogonal_all__m2,2,False,test,32682.43697671447,0.0,0.0,True
house_16H,regression,tabpfn_2_6,1,PCA,representation,pca__v1__orthogonal_all__m3,3,False,validation,44503.89337800318,0.0,0.0,True
house_16H,regression,tabpfn_2_6,1,PCA,representation,pca__v1__orthogonal_all__m3,3,False,test,32682.43697671447,0.0,0.0,True
house_16H,regression,tabpfn_2_6,1,PCA,representation,pca__v1__orthogonal_all__m4,4,False,validation,44503.89337800318,0.0,0.0,True
house_16H,regression,tabpfn_2_6,1,PCA,representation,pca__v1__orthogonal_all__m4,4,False,test,32682.43697671447,0.0,0.0,True
house_16H,regression,tabpfn_2_6,1,PCA,representation,pca__v1__orthogonal_all__m5,5,False,validation,44503.89337800318,0.0,0.0,True
