dataset,model,seed,method,representation_id,shape_match,train_relative_error,validation_relative_error,test_relative_error
house_16H,tabpfn_2_6,1,PCA,pca__v1__orthogonal_all__m0,True,6.6314817013053454e-15,6.614569776947434e-15,6.611936965199813e-15
house_16H,tabpfn_2_6,1,PCA,pca__v1__orthogonal_all__m1,True,8.676533912814812e-15,8.646627758511119e-15,8.638283355556293e-15
house_16H,tabpfn_2_6,1,PCA,pca__v1__orthogonal_all__m2,True,6.6911649910547894e-15,6.66692904379852e-15,6.6775626939304205e-15
house_16H,tabpfn_2_6,1,PCA,pca__v1__orthogonal_all__m3,True,7.354711221259919e-15,7.381190613992417e-15,7.327528882029107e-15
house_16H,tabpfn_2_6,1,PCA,pca__v1__orthogonal_all__m4,True,6.260309357331542e-15,6.273897924382329e-15,6.261365522894654e-15
house_16H,tabpfn_2_6,1,PCA,pca__v1__orthogonal_all__m5,True,6.2640880771047865e-15,6.239972164998232e-15,6.216426928873648e-15
house_16H,tabpfn_2_6,1,PCA,pca__v1__orthogonal_all__m6,True,5.451999640633417e-15,5.473461618926388e-15,5.437550499170816e-15
house_16H,tabpfn_2_6,1,PCA,pca__v1__orthogonal_all__m7,True,6.977834032361785e-15,6.971394540783868e-15,6.94834052787478e-15
house_16H,tabpfn_2_6,1,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m0,True,1.0671326826333346e-15,1.0784451691845433e-15,1.07809955822409e-15
house_16H,tabpfn_2_6,1,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m1,True,1.1150249631295842e-15,1.1373008101553877e-15,1.1417711694102498e-15
house_16H,tabpfn_2_6,1,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m2,True,9.527720775186478e-16,9.475054380425854e-16,9.70360420598008e-16
house_16H,tabpfn_2_6,1,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m3,True,1.1560380676553682e-15,1.161534304326367e-15,1.1680337352134365e-15
house_16H,tabpfn_2_6,1,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m4,True,8.760052696213386e-16,8.874431301112667e-16,8.943147263785061e-16
house_16H,tabpfn_2_6,1,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m5,True,1.2012931814486317e-15,1.2046643752034168e-15,1.2237854983123594e-15
house_16H,tabpfn_2_6,1,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m6,True,1.2215415606341397e-15,1.2172373283357176e-15,1.2594086674573606e-15
house_16H,tabpfn_2_6,1,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m7,True,1.4912716237931925e-15,1.5280979450600289e-15,1.5296717789644912e-15
house_16H,tabpfn_2_6,1,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m0,True,1.250555856314801e-15,1.2623876864070833e-15,1.2882732019470475e-15
house_16H,tabpfn_2_6,1,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m1,True,1.3974168420008251e-15,1.4386842198041305e-15,1.4551198772910496e-15
house_16H,tabpfn_2_6,1,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m2,True,1.1712071772801603e-15,1.1752288309993166e-15,1.2144266374076559e-15
house_16H,tabpfn_2_6,1,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m3,True,1.3919628865571084e-15,1.4124396718675852e-15,1.4387957182805424e-15
house_16H,tabpfn_2_6,1,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m4,True,1.0783032600925413e-15,1.1049316430694476e-15,1.1233563460911874e-15
house_16H,tabpfn_2_6,1,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m5,True,1.5401009568036105e-15,1.5579419715374616e-15,1.6019612796835016e-15
house_16H,tabpfn_2_6,1,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m6,True,1.5195769968449047e-15,1.5258479993289686e-15,1.5999884602314976e-15
house_16H,tabpfn_2_6,1,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m7,True,1.9080970188105904e-15,1.970457607528621e-15,2.0014348499903082e-15
house_16H,tabpfn_2_6,1,GramDistance,gram_distance__pivot_tie_v2__orthogonal_all__m0,True,9.31972302144724e-16,9.244485105345027e-16,9.26830444272192e-16
house_16H,tabpfn_2_6,1,GramDistance,gram_distance__pivot_tie_v2__orthogonal_all__m1,True,9.306169906674186e-16,9.233593942676588e-16,9.266496963856484e-16
house_16H,tabpfn_2_6,1,GramDistance,gram_distance__pivot_tie_v2__orthogonal_all__m2,True,8.703266326636915e-16,8.626870758232049e-16,8.665966172459235e-16
house_16H,tabpfn_2_6,1,GramDistance,gram_distance__pivot_tie_v2__orthogonal_all__m3,True,9.100656213056147e-16,9.152226513654678e-16,9.083177543419373e-16
house_16H,tabpfn_2_6,1,GramDistance,gram_distance__pivot_tie_v2__orthogonal_all__m4,True,9.823847595643722e-16,9.830878968100182e-16,9.801365786567955e-16
house_16H,tabpfn_2_6,1,GramDistance,gram_distance__pivot_tie_v2__orthogonal_all__m5,True,8.98172756534393e-16,8.964623151949405e-16,8.92726814314747e-16
house_16H,tabpfn_2_6,1,GramDistance,gram_distance__pivot_tie_v2__orthogonal_all__m6,True,9.888755784143306e-16,9.836545388507522e-16,9.829248307283903e-16
house_16H,tabpfn_2_6,1,GramDistance,gram_distance__pivot_tie_v2__orthogonal_all__m7,True,1.0641278444665456e-15,1.0569750292240306e-15,1.0651371911210127e-15
house_16H,tabpfn_2_6,1,NystromGram,nystrom_gram__nystrom_degeneracy_v3__orthogonal_all__m0,True,1.7292334533936877e-11,2.1103709435661943e-11,2.0911910994380465e-11
house_16H,tabpfn_2_6,1,NystromGram,nystrom_gram__nystrom_degeneracy_v3__orthogonal_all__m1,True,1.7292156251157347e-11,2.1103483652812588e-11,2.0911697033986637e-11
house_16H,tabpfn_2_6,1,NystromGram,nystrom_gram__nystrom_degeneracy_v3__orthogonal_all__m2,True,1.7292374026208652e-11,2.110376197745199e-11,2.091198429385302e-11
house_16H,tabpfn_2_6,1,NystromGram,nystrom_gram__nystrom_degeneracy_v3__orthogonal_all__m3,True,6.103649228921536e-14,6.3225023498403e-14,6.494482981042222e-14
house_16H,tabpfn_2_6,1,NystromGram,nystrom_gram__nystrom_degeneracy_v3__orthogonal_all__m4,True,1.7292377474542837e-11,2.1103748197039332e-11,2.0911946410577428e-11
house_16H,tabpfn_2_6,1,NystromGram,nystrom_gram__nystrom_degeneracy_v3__orthogonal_all__m5,True,1.7693706274934382e-11,2.1398915521703354e-11,2.1153677933144064e-11
house_16H,tabpfn_2_6,1,NystromGram,nystrom_gram__nystrom_degeneracy_v3__orthogonal_all__m6,True,6.10193799297541e-14,6.321465123603725e-14,6.491785111213122e-14
house_16H,tabpfn_2_6,1,NystromGram,nystrom_gram__nystrom_degeneracy_v3__orthogonal_all__m7,True,1.729239172492928e-11,2.1103750963759014e-11,2.0911983987761802e-11
