dataset,problem_type,model,model_seed,orbit_member,condition,function_matched,optimizer,momentum,weight_decay,epoch,split,initial_max_logit_difference,reference_rmse,reference_mae,transformed_rmse,transformed_mae,prediction_rmse_normalized,prediction_pearson,prediction_spearman,reference_log_loss,reference_accuracy,reference_roc_auc,transformed_log_loss,transformed_accuracy,transformed_roc_auc,probability_rmse,probability_mad,js_divergence,label_flip_rate
bike-sharing,regression,controlled_mlp,0,0,matched_adamw,True,adamw,0.0,0.0001,0,validation,1.4901161193847656e-08,174.0432615476274,131.12420678138733,174.04326171765277,131.12420690059662,1.3437078566819417e-08,0.9999999999965428,0.9999999999999998,,,,,,,,,,
bike-sharing,regression,controlled_mlp,0,0,matched_adamw,True,adamw,0.0,0.0001,0,test,1.4901161193847656e-08,183.90228924238383,143.5736511349678,183.9022893136832,143.57365116477013,1.4212762209093656e-08,0.9999999999959576,0.9999999999999998,,,,,,,,,,
bike-sharing,regression,controlled_mlp,0,0,matched_adamw,True,adamw,0.0,0.0001,1,validation,1.4901161193847656e-08,166.6845749933987,126.02820885181428,166.71548605681204,126.07000970840454,0.0013395433347359,0.9998976797127028,0.9998483634699014,,,,,,,,,,
bike-sharing,regression,controlled_mlp,0,0,matched_adamw,True,adamw,0.0,0.0001,1,test,1.4901161193847656e-08,174.46742724628103,136.01865446567535,174.49650775363705,136.0762963593006,0.001308917642984,0.9999047199452308,0.9998845751650816,,,,,,,,,,
bike-sharing,regression,controlled_mlp,0,0,matched_adamw,True,adamw,0.0,0.0001,2,validation,1.4901161193847656e-08,151.0977504384547,115.24829435348512,151.17974192660571,115.22678557038309,0.0092546084682795,0.9996099045127972,0.9994642652780956,,,,,,,,,,
bike-sharing,regression,controlled_mlp,0,0,matched_adamw,True,adamw,0.0,0.0001,2,test,1.4901161193847656e-08,151.78662302254952,116.43727776408195,151.87090770110152,116.53884415328504,0.0090513933923995,0.9996250182021972,0.9995733483251508,,,,,,,,,,
bike-sharing,regression,controlled_mlp,0,0,matched_adamw,True,adamw,0.0,0.0001,5,validation,1.4901161193847656e-08,130.76223994389176,96.85588297247888,130.8018019426012,96.96917018294334,0.0238993173638164,0.999503463621788,0.9993047608148315,,,,,,,,,,
bike-sharing,regression,controlled_mlp,0,0,matched_adamw,True,adamw,0.0,0.0001,5,test,1.4901161193847656e-08,129.72710752807714,97.0282570719719,129.40829036480963,97.0478141605854,0.0222385264061191,0.9995839796653936,0.9995720072155274,,,,,,,,,,
bike-sharing,regression,controlled_mlp,0,0,matched_adamw,True,adamw,0.0,0.0001,10,validation,1.4901161193847656e-08,114.0238774985362,78.18304452300072,113.83501214245815,77.9136338531971,0.0222788185626837,0.9995380856337698,0.9993412394140536,,,,,,,,,,
bike-sharing,regression,controlled_mlp,0,0,matched_adamw,True,adamw,0.0,0.0001,10,test,1.4901161193847656e-08,115.54003913238353,81.99787655472755,115.53881367189577,81.81164389848709,0.0206364480769603,0.9996442242954496,0.9995637817431706,,,,,,,,,,
bike-sharing,regression,controlled_mlp,0,0,matched_adamw,True,adamw,0.0,0.0001,20,validation,1.4901161193847656e-08,98.33927750357344,65.75920033454895,97.67424600125534,65.18793219327927,0.0298568163263248,0.9993852849277268,0.998980745021744,,,,,,,,,,
bike-sharing,regression,controlled_mlp,0,0,matched_adamw,True,adamw,0.0,0.0001,20,test,1.4901161193847656e-08,100.48706421981365,69.98755802214146,99.54232685201788,69.16119566559792,0.035630709533404,0.9991786326061166,0.9990311824080752,,,,,,,,,,
bike-sharing,regression,controlled_mlp,0,0,matched_adamw,True,adamw,0.0,0.0001,final,validation,1.4901161193847656e-08,71.69253285446618,45.525127321481705,70.62911223886327,45.1471383869648,0.063226007552043,0.9983928755157474,0.9984764820325016,,,,,,,,,,
bike-sharing,regression,controlled_mlp,0,0,matched_adamw,True,adamw,0.0,0.0001,final,test,1.4901161193847656e-08,73.53486860531869,45.64609509706497,73.00325939856336,45.74974226951599,0.0620720119385498,0.9987221700929718,0.9988269761160892,,,,,,,,,,
