dataset,problem_type,condition,function_matched,optimizer,momentum,weight_decay,epoch,epoch_order,disagreement,disagreement_seed_sd,initial_max_logit_difference,reference_task,seeds,members
bike-sharing,regression,matched_adamw,True,adamw,0.0,0.0001,0,0,1.4108014126422466e-08,1.4184410011136693e-09,1.4901161193847656e-08,183.73772923069077,3,4
bike-sharing,regression,matched_adamw,True,adamw,0.0,0.0001,1,1,0.0026923673760864838,0.0009494478995705134,1.4901161193847656e-08,173.57528481272269,3,4
bike-sharing,regression,matched_adamw,True,adamw,0.0,0.0001,10,10,0.032790115102618415,0.007323990472904414,1.4901161193847656e-08,115.27077073737318,3,4
bike-sharing,regression,matched_adamw,True,adamw,0.0,0.0001,2,2,0.015892752569245414,0.003780521355587467,1.4901161193847656e-08,150.53027556539462,3,4
bike-sharing,regression,matched_adamw,True,adamw,0.0,0.0001,20,20,0.04153453209978254,0.007750641796447798,1.4901161193847656e-08,101.98882583828119,3,4
bike-sharing,regression,matched_adamw,True,adamw,0.0,0.0001,5,5,0.03273166970027447,0.0076720163073988245,1.4901161193847656e-08,130.56783637581805,3,4
bike-sharing,regression,matched_adamw,True,adamw,0.0,0.0001,final,100,0.06169557795153128,0.007004568940350992,1.4901161193847656e-08,75.8949625317461,3,4
bike-sharing,regression,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,0,0,1.4108014126422466e-08,1.4184410011136693e-09,1.4901161193847656e-08,183.73772923069077,3,4
bike-sharing,regression,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,1,1,0.0026923693638594916,0.0009494500302336148,1.4901161193847656e-08,173.57527036563366,3,4
bike-sharing,regression,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,10,10,0.03279006842449692,0.00732397582150408,1.4901161193847656e-08,115.27074292904685,3,4
bike-sharing,regression,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,2,2,0.015892785815157916,0.003780527456049915,1.4901161193847656e-08,150.53021500622057,3,4
bike-sharing,regression,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,20,20,0.041534515560897496,0.00775059433969314,1.4901161193847656e-08,101.98876941677788,3,4
bike-sharing,regression,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,5,5,0.03273162371860463,0.007671999736105663,1.4901161193847656e-08,130.56784568381593,3,4
bike-sharing,regression,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,final,100,0.06169832316086391,0.007003013408082438,1.4901161193847656e-08,75.89518103909569,3,4
bike-sharing,regression,matched_sgd_momentum,True,sgd,0.9,0.0001,0,0,1.4108014126422466e-08,1.4184410011136693e-09,1.4901161193847656e-08,183.73772923069077,3,4
bike-sharing,regression,matched_sgd_momentum,True,sgd,0.9,0.0001,1,1,1.5652341280592177e-08,2.125369946227636e-09,1.4901161193847656e-08,183.72111927376935,3,4
bike-sharing,regression,matched_sgd_momentum,True,sgd,0.9,0.0001,10,10,1.6708655524369348e-08,1.2269743651302026e-09,1.4901161193847656e-08,183.31359308174603,3,4
bike-sharing,regression,matched_sgd_momentum,True,sgd,0.9,0.0001,2,2,1.5288235435488814e-08,1.4546109070545016e-09,1.4901161193847656e-08,183.68764895903345,3,4
bike-sharing,regression,matched_sgd_momentum,True,sgd,0.9,0.0001,20,20,1.7912072048239994e-08,1.9495697534620286e-09,1.4901161193847656e-08,182.9142883717284,3,4
bike-sharing,regression,matched_sgd_momentum,True,sgd,0.9,0.0001,5,5,1.6093774556971487e-08,2.7555939466330966e-09,1.4901161193847656e-08,183.5470902026669,3,4
