dataset,problem_type,model,variant,scope,selected_feature,mean_disagreement,mean_disagreement_seed_sd,max_disagreement,label_flip_rate,task_original,orbit_mean,orbit_worst,orbit_best,orbit_span,seeds,meaningful
adult,classification,catboost,condition_le_3_all,all,fnlwgt,0.06117205855953217,0.0016945586920213257,0.06576778422595257,0.033935546875,0.34395411569684464,0.3424125309448777,0.35092081650319695,0.33367431628972,0.017246500213476956,3,True
adult,classification,catboost,orthogonal_all,all,fnlwgt,0.05811320188362686,0.002036435902681076,0.06177080568721984,0.0341796875,0.34395411569684464,0.3462816436610307,0.3505367616969084,0.34019927520688314,0.010337486490025269,3,True
adult,classification,catboost,orthogonal_one,one,fnlwgt,0.050148077821391024,0.0022071438885872246,0.05345446556500283,0.029622395833333332,0.34395411569684464,0.340554696101759,0.34572667861032796,0.3345906144064428,0.011136064203885207,3,False
adult,classification,controlled_mlp,condition_le_3_all,all,fnlwgt,0.034717874454043444,0.006955924456042368,0.04813915216740553,0.022867838541666668,0.3884450499223182,0.3828744744254739,0.4146542468945114,0.3721949477436001,0.04245929915091127,3,False
adult,classification,controlled_mlp,orthogonal_all,all,fnlwgt,0.03013779405201297,0.003289132394203912,0.03520890102293913,0.018391927083333332,0.3884450499223182,0.3826519654257236,0.3922728763264634,0.376801438518509,0.015471437807954494,3,False
adult,classification,controlled_mlp,orthogonal_one,one,fnlwgt,0.0112416725759854,0.004670491713473858,0.0212705103118541,0.007486979166666667,0.3884450499223182,0.39058480845068294,0.3975061490091827,0.38601481638054763,0.011491332628635017,3,False
adult,classification,tabicl_v2,condition_le_3_all,all,fnlwgt,0.04241831405433735,0.0,0.048297220582245,0.024169921875,0.3379666001365864,0.3364375375563288,0.3469259675743131,0.329568326203886,0.017357641370427113,3,False
adult,classification,tabicl_v2,orthogonal_all,all,fnlwgt,0.04250240828807523,0.0,0.0522249274260937,0.0263671875,0.3379666001365864,0.33668684810124416,0.3394427484655658,0.33356520395570294,0.0058775445098628865,3,False
adult,classification,tabicl_v2,orthogonal_one,one,fnlwgt,0.026330774871407014,0.0,0.0294316971989273,0.02099609375,0.3379666001365864,0.344121173652542,0.3470472679866056,0.34190233982813395,0.005144928158471729,3,False
adult,classification,tabm_d,condition_le_3_all,all,fnlwgt,0.049292210011221395,0.0007185276750393138,0.07799320418367246,0.028564453125,0.3551256996215048,0.3559951226408247,0.3809250553907091,0.3409275004177969,0.039997554972912165,3,False
adult,classification,tabm_d,orthogonal_all,all,fnlwgt,0.0524542323995576,0.010072525616646453,0.0743849580616013,0.026529947916666668,0.3551256996215048,0.3623822222234419,0.38730765145791785,0.3481345849506221,0.039173066507295795,3,False
