candidate,dataset,family,features,fit_seconds,input_dimension,invariant_dimension_fraction,invariant_feature_fraction,model,predict_seconds,problem_type,raw_input_dimension,seed,selected_blocks,selected_dimensions,selection_key,validation_C,validation_method_loss,validation_raw_loss,stage
raw_only,steel-plates-fault,BlockGuard-Grouped,[],0.0,211,0.0,0.0,controlled_mlp,0.0,classification,211,0,0,0,n0__4f53cda18c2baa0c,0.0,2.678164835674249e-05,2.678164835674249e-05,
very_safe_gram,steel-plates-fault,BlockGuard-Grouped,"[""V25"",""V15"",""V10"",""V1"",""V27"",""V26""]",0.2631846619769931,259,0.25,0.25,controlled_mlp,0.0012607891112565994,classification,211,0,6,48,n6__97c3f3a163fe6834,0.011526129024283484,0.007472188463977623,2.678164835674249e-05,
very_safe_plus_safe_gram,steel-plates-fault,BlockGuard-Grouped,"[""V25"",""V15"",""V10"",""V1"",""V27"",""V26"",""V24"",""V23"",""V18"",""V19"",""V20"",""V2""]",0.16419769707135856,307,0.5,0.5,controlled_mlp,0.000461020041257143,classification,211,0,12,96,n12__f70022b722501a0f,0.08831952722972349,0.05707757542337046,2.678164835674249e-05,
all_except_dangerous_gram,steel-plates-fault,BlockGuard-Grouped,"[""V25"",""V15"",""V10"",""V1"",""V27"",""V26"",""V24"",""V23"",""V18"",""V19"",""V20"",""V2"",""V6"",""V17"",""V5"",""V4"",""V9"",""V16""]",0.17638256889767945,355,0.75,0.75,controlled_mlp,0.0006697832141071558,classification,211,0,18,144,n18__fc4ca81aeb27f3e8,0.4097522654916482,0.26470994663637526,2.678164835674249e-05,
all_gram,steel-plates-fault,BlockGuard-Grouped,"[""V25"",""V15"",""V10"",""V1"",""V27"",""V26"",""V24"",""V23"",""V18"",""V19"",""V20"",""V2"",""V6"",""V17"",""V5"",""V4"",""V9"",""V16"",""V11"",""V7"",""V3"",""V8"",""V22"",""V14""]",0.0,403,1.0,1.0,controlled_mlp,0.0,classification,211,0,24,192,n24__13a3e3b0860a6402,0.5887700445413818,0.3803480927517018,2.678164835674249e-05,
stage_0_raw,steel-plates-fault,BlockGuard-Greedy,[],0.0,211,0.0,0.0,controlled_mlp,0.0,classification,211,0,0,0,n0__4f53cda18c2baa0c,0.0,2.678164835674249e-05,2.678164835674249e-05,0.0
stage_1,steel-plates-fault,BlockGuard-Greedy,"[""V23"",""V25"",""V15""]",0.18564356304705143,235,0.125,0.125,controlled_mlp,0.0007072489243000746,classification,211,0,3,24,n3__1dd20d671a38a22f,0.0004897287921325638,0.00034312637077548515,2.678164835674249e-05,1.0
stage_2,steel-plates-fault,BlockGuard-Greedy,"[""V23"",""V25"",""V15"",""V1"",""V10"",""V27""]",0.23644686513580382,259,0.25,0.25,controlled_mlp,0.0007185558788478374,classification,211,0,6,48,n6__9f7ac2663f909795,0.032725748748463374,0.02116627368985352,2.678164835674249e-05,2.0
stage_3,steel-plates-fault,BlockGuard-Greedy,"[""V23"",""V25"",""V15"",""V1"",""V10"",""V27"",""V26"",""V24"",""V18""]",0.22736996808089316,283,0.375,0.375,controlled_mlp,0.0008690108079463243,classification,211,0,9,72,n9__147ae6124c223d9e,0.04542726660224296,0.0293709335021828,2.678164835674249e-05,3.0
stage_4,steel-plates-fault,BlockGuard-Greedy,"[""V23"",""V25"",""V15"",""V1"",""V10"",""V27"",""V26"",""V24"",""V18"",""V19"",""V20"",""V2""]",0.16419769707135856,307,0.5,0.5,controlled_mlp,0.000461020041257143,classification,211,0,12,96,n12__f70022b722501a0f,0.08831952722972349,0.05707757542337046,2.678164835674249e-05,4.0
stage_5,steel-plates-fault,BlockGuard-Greedy,"[""V23"",""V25"",""V15"",""V1"",""V10"",""V27"",""V26"",""V24"",""V18"",""V19"",""V20"",""V2"",""V17"",""V5"",""V9""]",0.1581321449484676,331,0.625,0.625,controlled_mlp,0.0004491731524467468,classification,211,0,15,120,n15__8fb1571f6ec8fd79,0.27443000855727157,0.1772973164322777,2.678164835674249e-05,5.0
stage_6,steel-plates-fault,BlockGuard-Greedy,"[""V23"",""V25"",""V15"",""V1"",""V10"",""V27"",""V26"",""V24"",""V18"",""V19"",""V20"",""V2"",""V17"",""V5"",""V9"",""V16"",""V11"",""V6""]",0.136909956112504,355,0.75,0.75,controlled_mlp,0.0006910748779773712,classification,211,0,18,144,n18__245a8f32b52e09bb,0.4785018180479217,0.30911933907810046,2.678164835674249e-05,6.0
stage_7,steel-plates-fault,BlockGuard-Greedy,"[""V23"",""V25"",""V15"",""V1"",""V10"",""V27"",""V26"",""V24"",""V18"",""V19"",""V20"",""V2"",""V17"",""V5"",""V9"",""V16"",""V11"",""V6"",""V4"",""V3"",""V8""]",0.25277612917125225,379,0.875,0.875,controlled_mlp,0.0007475090678781271,classification,211,0,21,168,n21__ff0a29fa2ce6af79,0.36110338843805223,0.23328476650659943,2.678164835674249e-05,7.0
