dataset,problem_type,model,seed,candidate,features,family,selection_key,selected_blocks,selected_dimensions,invariant_feature_fraction,invariant_dimension_fraction,validation_C,validation_raw_loss,validation_method_loss,input_dimension,raw_input_dimension,fit_seconds,predict_seconds,stage
california_housing,regression,catboost,0,raw_only,[],BlockGuard-Grouped,n0__4f53cda18c2baa0c,0,0,0.0,0.0,0.0,56035.27528994351,56035.27528994351,69,69,0.0,0.0,
california_housing,regression,catboost,0,very_safe_gram,"[""longitude"",""population""]",BlockGuard-Grouped,n2__c1fba8ff47634982,2,16,0.25,0.25,0.012230019344612294,56035.27528994351,56691.22926355441,85,69,1.4010367491282523,0.006032461998984218,
california_housing,regression,catboost,0,very_safe_plus_safe_gram,"[""longitude"",""population"",""housing_median_age"",""latitude""]",BlockGuard-Grouped,n4__c9f49ee94b3bca4c,4,32,0.5,0.5,0.01149317898925699,56035.27528994351,56651.70901870499,101,69,1.3650195139925927,0.004458484938368201,
california_housing,regression,catboost,0,all_except_dangerous_gram,"[""longitude"",""population"",""housing_median_age"",""latitude"",""total_bedrooms"",""total_rooms""]",BlockGuard-Grouped,n6__0806f74a1bbce2ff,6,48,0.75,0.75,-0.004952114315528963,56035.27528994351,55769.669899509056,117,69,1.7937520670238882,0.004277695203199983,
california_housing,regression,catboost,0,all_gram,"[""longitude"",""population"",""housing_median_age"",""latitude"",""total_bedrooms"",""total_rooms"",""households"",""median_income""]",BlockGuard-Grouped,n8__1cdc2d23dd8a3d3a,8,64,1.0,1.0,0.007377537063635867,56035.27528994351,56430.96761192544,144,69,0.0,0.0,
california_housing,regression,catboost,0,stage_0_raw,[],BlockGuard-Greedy,n0__4f53cda18c2baa0c,0,0,0.0,0.0,0.0,56035.27528994351,56035.27528994351,69,69,0.0,0.0,0.0
california_housing,regression,catboost,0,stage_1,"[""population""]",BlockGuard-Greedy,n1__02f10fc948f88460,1,8,0.125,0.125,-0.008721723139723192,56035.27528994351,55567.487890019576,77,69,1.1280890749767423,0.0017836499027907848,1.0
california_housing,regression,catboost,0,stage_2,"[""population"",""total_bedrooms""]",BlockGuard-Greedy,n2__bfefe58e47900a3b,2,16,0.25,0.25,0.010753876128961047,56035.27528994351,56612.05669803007,85,69,1.113737635081634,0.003828441957011819,2.0
california_housing,regression,catboost,0,stage_3,"[""population"",""total_bedrooms"",""longitude""]",BlockGuard-Greedy,n3__9b67bfc72b75897e,3,24,0.375,0.375,-0.009240587630614196,56035.27528994351,55539.65872516094,93,69,1.5129347529727966,0.001552195055410266,3.0
california_housing,regression,catboost,0,stage_4,"[""population"",""total_bedrooms"",""longitude"",""latitude""]",BlockGuard-Greedy,n4__0d546de543137543,4,32,0.5,0.5,-0.026092702203832557,56035.27528994351,54635.79985081513,101,69,1.5132804149761796,0.003554282011464238,4.0
california_housing,regression,catboost,0,stage_5,"[""population"",""total_bedrooms"",""longitude"",""latitude"",""housing_median_age""]",BlockGuard-Greedy,n5__9fc5d1e729c7bfce,5,40,0.625,0.625,-0.010375625441608277,56035.27528994351,55478.78126116509,109,69,1.7900477761868387,0.0018270460423082113,5.0
california_housing,regression,catboost,0,stage_6,"[""population"",""total_bedrooms"",""longitude"",""latitude"",""housing_median_age"",""total_rooms""]",BlockGuard-Greedy,n6__0806f74a1bbce2ff,6,48,0.75,0.75,-0.004952114315528963,56035.27528994351,55769.669899509056,117,69,1.7937520670238882,0.004277695203199983,6.0
california_housing,regression,catboost,0,stage_7,"[""population"",""total_bedrooms"",""longitude"",""latitude"",""housing_median_age"",""total_rooms"",""median_income""]",BlockGuard-Greedy,n7__fbf2362d23950b15,7,56,0.875,0.875,0.01106706767065875,56035.27528994351,56628.854646625994,125,69,1.9984607330989093,0.0020712909754365683,7.0
california_housing,regression,catboost,0,stage_8,"[""population"",""total_bedrooms"",""longitude"",""latitude"",""housing_median_age"",""total_rooms"",""median_income"",""households""]",BlockGuard-Greedy,n8__1cdc2d23dd8a3d3a,8,64,1.0,1.0,0.007377537063635867,56035.27528994351,56430.96761192544,144,69,0.0,0.0,8.0
california_housing,regression,catboost,1,raw_only,[],BlockGuard-Grouped,n0__4f53cda18c2baa0c,0,0,0.0,0.0,0.0,55658.16169624401,55658.16169624401,69,69,0.0,0.0,
california_housing,regression,catboost,1,very_safe_gram,"[""longitude"",""total_bedrooms""]",BlockGuard-Grouped,n2__20b229cff32e5c24,2,16,0.25,0.25,0.013610150556430507,55658.16169624401,56393.27122878681,85,69,1.328825892880559,0.006333082914352417,
california_housing,regression,catboost,1,very_safe_plus_safe_gram,"[""longitude"",""total_bedrooms"",""latitude"",""households""]",BlockGuard-Grouped,n4__dab334c46d83262a,4,32,0.5,0.5,0.010301258655900538,55658.16169624401,56214.55182607719,101,69,1.5762964838650078,0.003236331045627594,
