dataset,problem_type,model,seed,candidate,features,family,selection_key,selected_blocks,selected_dimensions,invariant_feature_fraction,invariant_dimension_fraction,validation_C,validation_raw_loss,validation_method_loss,input_dimension,raw_input_dimension,fit_seconds,predict_seconds,stage
space-ga,regression,catboost,0,raw_only,[],BlockGuard-Grouped,n0__4f53cda18c2baa0c,0,0,0.0,0.0,0.0,0.1264966253169752,0.1264966253169752,48,48,0.0,0.0,
space-ga,regression,catboost,0,very_safe_gram,"[""HOUSES"",""POP""]",BlockGuard-Grouped,n2__747e9cf946929440,2,16,0.3333333333333333,0.3333333333333333,-0.027939368836195293,0.1264966253169752,0.12446356019274118,64,48,1.258155679795891,0.0018923489842563868,
space-ga,regression,catboost,0,very_safe_plus_safe_gram,"[""HOUSES"",""POP"",""EDUCATION"",""YCOORD""]",BlockGuard-Grouped,n4__2922127eac61fc93,4,32,0.6666666666666666,0.6666666666666666,-0.01108730337661279,0.1264966253169752,0.1256898350867109,80,48,2.238350362982601,0.0038033369928598404,
space-ga,regression,catboost,0,all_except_dangerous_gram,"[""HOUSES"",""POP"",""EDUCATION"",""YCOORD"",""INCOME""]",BlockGuard-Grouped,n5__796799db3b1993c0,5,40,0.8333333333333334,0.8333333333333334,-0.007425755923505319,0.1264966253169752,0.12595627505073745,88,48,2.8657458988018334,0.004457759903743863,
space-ga,regression,catboost,0,all_gram,"[""HOUSES"",""POP"",""EDUCATION"",""YCOORD"",""INCOME"",""XCOORD""]",BlockGuard-Grouped,n6__fb054e42c8af4715,6,48,1.0,1.0,-0.03362459798501707,0.1264966253169752,0.12404986290510689,96,48,0.0,0.0,
space-ga,regression,catboost,0,stage_0_raw,[],BlockGuard-Greedy,n0__4f53cda18c2baa0c,0,0,0.0,0.0,0.0,0.1264966253169752,0.1264966253169752,48,48,0.0,0.0,0.0
space-ga,regression,catboost,0,stage_1,"[""YCOORD""]",BlockGuard-Greedy,n1__415c9d2e2ca099a5,1,8,0.16666666666666666,0.16666666666666666,-0.003648953078008899,0.1264966253169752,0.12623110180832472,56,48,1.133412767900154,0.002906331093981862,1.0
space-ga,regression,catboost,0,stage_2,"[""YCOORD"",""EDUCATION""]",BlockGuard-Greedy,n2__ae9568adf7fcf447,2,16,0.3333333333333333,0.3333333333333333,0.018139947181939158,0.1264966253169752,0.12781661554965612,64,48,2.1727051010821015,0.004739182069897652,2.0
space-ga,regression,catboost,0,stage_3,"[""YCOORD"",""EDUCATION"",""POP""]",BlockGuard-Greedy,n3__9e322929f24c8cae,3,24,0.5,0.5,-0.014494205468517218,0.1264966253169752,0.12544192491145462,72,48,3.6371321878395975,0.007923271041363478,3.0
space-ga,regression,catboost,0,stage_4,"[""YCOORD"",""EDUCATION"",""POP"",""HOUSES""]",BlockGuard-Greedy,n4__2922127eac61fc93,4,32,0.6666666666666666,0.6666666666666666,-0.01108730337661279,0.1264966253169752,0.1256898350867109,80,48,2.238350362982601,0.0038033369928598404,4.0
space-ga,regression,catboost,0,stage_5,"[""YCOORD"",""EDUCATION"",""POP"",""HOUSES"",""INCOME""]",BlockGuard-Greedy,n5__796799db3b1993c0,5,40,0.8333333333333334,0.8333333333333334,-0.007425755923505319,0.1264966253169752,0.12595627505073745,88,48,2.8657458988018334,0.004457759903743863,5.0
