stage,dataset,problem_type,model,seed,embedding,k,split,method,alpha,raw_disagreement,method_disagreement,disagreement_reduction,coordinate_error,fit_seconds,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,4,validation,Raw embedding,0.0,0.0069977526789125,0.0069977526789125,0.0,2.601085671887508e-15,0.0,0.0011524178067749804,0.0011524178067749804,0.6459857848778665,0.0,0.0,0.6448333670710915,0.0,False
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,4,validation,Gram-after-embedding,1.0,0.0069977526789125,0.0,1.0,2.601085671887508e-15,0.4100867318920791,0.0011524178067749804,0.00031435707897980845,0.6459857848778665,-0.0008380607277951718,-0.7272195230482156,0.6448333670710915,-0.0012996547179339394,False
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,4,validation,GuardedGram-G2-after-embedding,0.75,0.0069977526789125,0.0017494381913629225,0.7499999969083221,2.601085671887508e-15,0.4100867318920791,0.0011524178067749804,0.0005156867195323166,0.6459857848778665,-0.0006367310872426638,-0.5525175708839,0.6448333670710915,-0.0009874350797552099,False
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,4,test,Raw embedding,0.0,0.012489085212020625,0.012489085212020625,0.0,2.601085671887508e-15,0.0,0.0012835989837981544,0.0012835989837981544,0.6455976337440515,0.0,0.0,0.6443140347602534,0.0,False
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,4,test,Gram-after-embedding,1.0,0.012489085212020625,0.0,1.0,2.601085671887508e-15,0.4100867318920791,0.0012835989837981544,0.011327160407428455,0.6455976337440515,0.0100435614236303,7.824532077698846,0.6443140347602534,0.015587991075450449,False
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,4,test,GuardedGram-G2-after-embedding,0.75,0.012489085212020625,0.0031222713461086507,0.7499999965487069,2.601085671887508e-15,0.4100867318920791,0.0012835989837981544,0.0039036451115409135,0.6455976337440515,0.002620046127742759,2.0411718619393677,0.6443140347602534,0.0040664116973917344,False
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,8,validation,Raw embedding,0.0,0.02957577085532742,0.02957577085532742,0.0,2.1564628234719632e-15,0.0,0.004558137890676894,0.004558137890676894,0.6459857848778665,0.0,0.0,0.6414276469871896,0.0,False
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,8,validation,Gram-after-embedding,1.0,0.02957577085532742,0.0,1.0,2.1564628234719632e-15,0.23803546209819615,0.004558137890676894,0.0014554836216669627,0.6459857848778665,-0.003102654269009931,-0.6806846004716149,0.6414276469871896,-0.004837107168023109,False
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,8,validation,GuardedGram-G2-after-embedding,0.75,0.02957577085532742,0.007393942752237322,0.7499999987014552,2.1564628234719632e-15,0.23803546209819615,0.004558137890676894,0.00208100833006515,0.6459857848778665,-0.0024771295606117434,-0.543452089432925,0.6414276469871896,-0.0038619002037827907,False
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,8,test,Raw embedding,0.0,0.03934244198531908,0.03934244198531908,0.0,2.1564628234719632e-15,0.0,0.005849078136784801,0.005849078136784801,0.6455976337440515,0.0,0.0,0.6397485556072667,0.0,False
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,8,test,Gram-after-embedding,1.0,0.03934244198531908,0.0,1.0,2.1564628234719632e-15,0.23803546209819615,0.005849078136784801,0.0004714425601345538,0.6455976337440515,-0.005377635576650247,-0.9193988267707255,0.6397485556072667,-0.008405858097710982,False
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,8,test,GuardedGram-G2-after-embedding,0.75,0.03934244198531908,0.009835610437980612,0.7500000014831097,2.1564628234719632e-15,0.23803546209819615,0.005849078136784801,0.001696353683515974,0.6455976337440515,-0.004152724453268827,-0.709979308902095,0.6397485556072667,-0.006491182226002758,False
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,16,validation,Raw embedding,0.0,0.05854382928359765,0.05854382928359765,0.0,3.723022678026724e-15,0.0,0.0708222088916694,0.0708222088916694,0.6459857848778665,0.0,0.0,0.575163575986197,0.0,False
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,16,validation,Gram-after-embedding,1.0,0.05854382928359765,0.0,1.0,3.723022678026724e-15,0.1665039611980319,0.0708222088916694,0.0037509078207847517,0.6459857848778665,-0.06707130107088465,-0.947037689455264,0.575163575986197,-0.11661256705256705,False
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,16,validation,GuardedGram-G2-after-embedding,0.75,0.05854382928359765,0.01463595741465307,0.7499999983985732,3.723022678026724e-15,0.1665039611980319,0.0708222088916694,0.01069461683117289,0.6459857848778665,-0.06012759206049651,-0.8489934584286757,0.575163575986197,-0.1045399857899546,False
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,16,test,Raw embedding,0.0,0.06107002729085466,0.06107002729085466,0.0,3.723022678026724e-15,0.0,0.03394742035718244,0.03394742035718244,0.6455976337440515,0.0,0.0,0.6116502133868691,0.0,False
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,16,test,Gram-after-embedding,1.0,0.06107002729085466,0.0,1.0,3.723022678026724e-15,0.1665039611980319,0.03394742035718244,0.006901589063027638,0.6455976337440515,-0.027045831294154804,-0.7966976874704581,0.6116502133868691,-0.04421780733860106,False
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,16,test,GuardedGram-G2-after-embedding,0.75,0.06107002729085466,0.015267506923657276,0.7499999983470842,3.723022678026724e-15,0.1665039611980319,0.03394742035718244,0.011197663762519672,0.6455976337440515,-0.02274975659466277,-0.6701468434213287,0.6116502133868691,-0.03719406303921868,False
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,32,validation,Raw embedding,0.0,0.13182778106738174,0.13182778106738174,0.0,7.569323390542564e-15,0.0,0.26395913951306876,0.26395913951306876,0.6459857848778665,0.0,0.0,0.38202664536479775,0.0,False
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,32,validation,Gram-after-embedding,1.0,0.13182778106738174,0.0,1.0,7.569323390542564e-15,0.1425238831434399,0.26395913951306876,0.0034859903376049262,0.6459857848778665,-0.2604731491754638,-0.986793447106868,0.38202664536479775,-0.6818193242168689,False
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,32,validation,GuardedGram-G2-after-embedding,0.75,0.13182778106738174,0.03295694532298844,0.7499999995741186,7.569323390542564e-15,0.1425238831434399,0.26395913951306876,0.020992383721857612,0.6459857848778665,-0.24296675579121116,-0.9204710859393513,0.38202664536479775,-0.6359942656858447,False
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,32,test,Raw embedding,0.0,0.12307469790217522,0.12307469790217522,0.0,7.569323390542564e-15,0.0,0.2480600572872164,0.2480600572872164,0.6455976337440515,0.0,0.0,0.3975375764568352,0.0,False
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,32,test,Gram-after-embedding,1.0,0.12307469790217522,0.0,1.0,7.569323390542564e-15,0.1425238831434399,0.2480600572872164,0.008220406845093972,0.6455976337440515,-0.2398396504421224,-0.9668612233061932,0.3975375764568352,-0.6033131574120876,False
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,32,test,GuardedGram-G2-after-embedding,0.75,0.12307469790217522,0.03076867479483788,0.7499999974056888,7.569323390542564e-15,0.1425238831434399,0.2480600572872164,0.02709697268467669,0.6455976337440515,-0.2209630846025397,-0.8907644665529426,0.3975375764568352,-0.5558294301935807,False
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,4,validation,Raw embedding,0.0,0.0002429080507884158,0.0002429080507884158,0.0,2.542389328820958e-15,0.0,1.73281867569632e-05,1.73281867569632e-05,0.6459857848778665,0.0,0.0,0.6459684566911096,0.0,False
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,4,validation,Gram-after-embedding,1.0,0.0002429080507884158,0.0,1.0,2.542389328820958e-15,0.511504827067256,1.73281867569632e-05,0.0062618519727518866,0.6459857848778665,0.006244523785994924,360.36798734787465,0.6459684566911096,0.009666917511702807,False
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,4,validation,GuardedGram-G2-after-embedding,0.75,0.0002429080507884158,6.072699505002997e-05,0.7500000726491935,2.542389328820958e-15,0.511504827067256,1.73281867569632e-05,0.00394737184521736,0.6459857848778665,0.003930043658460398,226.80062914725565,0.6459684566911096,0.006083955985392137,False
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,4,test,Raw embedding,0.0,0.0003002557231578337,0.0003002557231578337,0.0,2.542389328820958e-15,0.0,1.6149702914033488e-05,1.6149702914033488e-05,0.6455976337440515,0.0,0.0,0.6455814840411375,0.0,False
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,4,test,Gram-after-embedding,1.0,0.0003002557231578337,0.0,1.0,2.542389328820958e-15,0.511504827067256,1.6149702914033488e-05,0.00014960905956925652,0.6455976337440515,0.00013345935665522304,8.263889271873344,0.6455814840411375,0.0002067273612306991,False
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,4,test,GuardedGram-G2-after-embedding,0.75,0.0003002557231578337,7.506392862943601e-05,0.7500000071939426,2.542389328820958e-15,0.511504827067256,1.6149702914033488e-05,0.0001158263222195339,0.6455976337440515,9.967661930550042e-05,6.172040429231993,0.6455814840411375,0.00015439820033492298,False
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,8,validation,Raw embedding,0.0,0.013754002028745941,0.013754002028745941,0.0,9.3338706002943e-16,0.0,0.0009342786878791279,0.0009342786878791279,0.6459857848778665,0.0,0.0,0.6450515061899874,0.0,False
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,8,validation,Gram-after-embedding,1.0,0.013754002028745941,0.0,1.0,9.3338706002943e-16,0.4721417420078069,0.0009342786878791279,2.3692223349889306e-05,0.6459857848778665,-0.0009105864645292385,-0.9746411604403905,0.6450515061899874,-0.001411649233884655,False
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,8,validation,GuardedGram-G2-after-embedding,0.75,0.013754002028745941,0.003438500503650085,0.7500000002571179,9.3338706002943e-16,0.4721417420078069,0.0009342786878791279,0.0002441865694827221,0.6459857848778665,-0.0006900921183964057,-0.7386362627654055,0.6450515061899874,-0.0010698248306905782,False
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,8,test,Raw embedding,0.0,0.01312923658077259,0.01312923658077259,0.0,9.3338706002943e-16,0.0,0.0002623554773872489,0.0002623554773872489,0.6455976337440515,0.0,0.0,0.6453352782666643,0.0,False
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,8,test,Gram-after-embedding,1.0,0.01312923658077259,0.0,1.0,9.3338706002943e-16,0.4721417420078069,0.0002623554773872489,0.00015360811575387338,0.6455976337440515,-0.00010874736163337553,-0.41450387358545354,0.6453352782666643,-0.0001685129657338199,False
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,8,test,GuardedGram-G2-after-embedding,0.75,0.01312923658077259,0.0032823091194059406,0.7500000019641055,9.3338706002943e-16,0.4721417420078069,0.0002623554773872489,0.00018059239310207705,0.6455976337440515,-8.176308428517186e-05,-0.3116499990754366,0.6453352782666643,-0.00012669861239382896,False
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,16,validation,Raw embedding,0.0,0.0904443567901693,0.0904443567901693,0.0,1.5550870031189595e-15,0.0,0.14986593983548407,0.14986593983548407,0.6459857848778665,0.0,0.0,0.49611984504238243,0.0,False
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,16,validation,Gram-after-embedding,1.0,0.0904443567901693,0.0,1.0,1.5550870031189595e-15,0.5113879879936576,0.14986593983548407,0.05533678343497734,0.6459857848778665,-0.09452915640050674,-0.6307581062399935,0.49611984504238243,-0.19053693849402722,False
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,16,validation,GuardedGram-G2-after-embedding,0.75,0.0904443567901693,0.022611089119939583,0.7500000008580163,1.5550870031189595e-15,0.5113879879936576,0.14986593983548407,0.06326739885942274,0.6459857848778665,-0.08659854097606133,-0.5778400420477476,0.49611984504238243,-0.17455165690593047,False
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,16,test,Raw embedding,0.0,0.11088807474325144,0.11088807474325144,0.0,1.5550870031189595e-15,0.0,0.09380930501391026,0.09380930501391026,0.6455976337440515,0.0,0.0,0.5517883287301413,0.0,False
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,16,test,Gram-after-embedding,1.0,0.11088807474325144,0.0,1.0,1.5550870031189595e-15,0.5113879879936576,0.09380930501391026,0.04270793483134972,0.6455976337440515,-0.051101370182560536,-0.5447366887003705,0.5517883287301413,-0.09261045861582962,False
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,16,test,GuardedGram-G2-after-embedding,0.75,0.11088807474325144,0.0277220186508515,0.7500000003152851,1.5550870031189595e-15,0.5113879879936576,0.09380930501391026,0.037990534081907244,0.6455976337440515,-0.05581877093200301,-0.5950238190521301,0.5517883287301413,-0.10115975279952298,False
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,32,validation,Raw embedding,0.0,0.17523470021114967,0.17523470021114967,0.0,1.8048254832882856e-15,0.0,0.28152518415891836,0.28152518415891836,0.6459857848778665,0.0,0.0,0.36446060071894815,0.0,False
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,32,validation,Gram-after-embedding,1.0,0.17523470021114967,0.0,1.0,1.8048254832882856e-15,0.15515820891596377,0.28152518415891836,0.1432236476850921,0.6459857848778665,-0.13830153647382626,-0.4912581333958255,0.36446060071894815,-0.37946910091518166,False
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,32,validation,GuardedGram-G2-after-embedding,0.75,0.17523470021114967,0.043808675490988214,0.7499999974993492,1.8048254832882856e-15,0.15515820891596377,0.28152518415891836,0.14614755160202159,0.6459857848778665,-0.13537763255689678,-0.48087219252284497,0.36446060071894815,-0.3714465494757073,False
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,32,test,Raw embedding,0.0,0.1695979377212844,0.1695979377212844,0.0,1.8048254832882856e-15,0.0,0.38536587847170123,0.38536587847170123,0.6455976337440515,0.0,0.0,0.2602317552723503,0.0,False
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,32,test,Gram-after-embedding,1.0,0.1695979377212844,0.0,1.0,1.8048254832882856e-15,0.15515820891596377,0.38536587847170123,0.10729512024304333,0.6455976337440515,-0.2780707582286579,-0.7215759717270288,0.2602317552723503,-1.0685504462652449,False
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,32,test,GuardedGram-G2-after-embedding,0.75,0.1695979377212844,0.042399484248217774,0.7500000010737355,1.8048254832882856e-15,0.15515820891596377,0.38536587847170123,0.10968670572897526,0.6455976337440515,-0.27567917274272596,-0.7153699591568018,0.2602317552723503,-1.059360232398267,False
dimension,steel-plates-fault,classification,controlled_mlp,1,PLE,4,validation,Raw embedding,0.0,0.00036712145835114543,0.00036712145835114543,0.0,2.601085671887508e-15,0.0,7.1030132877958095e-06,7.1030132877958095e-06,0.6459857848778665,0.0,0.0,0.6459786818645787,0.0,False
dimension,steel-plates-fault,classification,controlled_mlp,1,PLE,4,validation,Gram-after-embedding,1.0,0.00036712145835114543,0.0,1.0,2.601085671887508e-15,0.23683512886054814,7.1030132877958095e-06,1.3691026211883655e-06,0.6459857848778665,-5.7339106666074435e-06,-0.807250449109997,0.6459786818645787,-8.87631562400303e-06,False
