dataset,problem_type,model,seed,embedding,k,default_task_error,mean_random_basis_error,best_random_basis_error,worst_random_basis_error,validation_selected_member,validation_selected_basis_error,oracle_best_test_member,oracle_best_test_error,default_is_best_test_basis,default_minus_best_random,validation_selected_minus_default,raw_disagreement
california_housing,regression,controlled_mlp,0,PLE,8,61054.230927608005,62335.401392502055,61743.1928208827,62921.4418630899,-1,61054.230927608005,-1,61054.230927608005,True,-688.9618932746962,0.0,0.11854954786854172
california_housing,regression,controlled_mlp,0,PLE,16,63037.35356002362,63372.73107771813,62037.22062637723,64548.830662626264,-1,63037.35356002362,5,62037.22062637723,False,1000.1329336463896,0.0,0.13257122011144348
california_housing,regression,controlled_mlp,0,RBF,8,65288.85728446,65514.651328643275,64213.07316655111,66475.90535040447,5,65661.75708675777,6,64213.07316655111,False,1075.7841179088864,372.89980229777575,0.1250258039185044
california_housing,regression,controlled_mlp,0,RBF,16,68804.52025444608,69361.52671370303,68667.05044459237,70288.27897656169,7,69072.36407077008,1,68667.05044459237,False,137.46980985370465,267.8438163240062,0.17318525793811312
california_housing,regression,controlled_mlp,1,PLE,8,61415.1312081387,62417.86606885953,61597.59045493313,63486.26428583199,4,62621.78539943598,-1,61415.1312081387,True,-182.45924679443124,1206.6541912972825,0.11991354802922148
california_housing,regression,controlled_mlp,1,PLE,16,62921.20836375538,63196.248189240636,62459.75465236404,64348.656352937396,5,62459.75465236404,5,62459.75465236404,False,461.4537113913393,-461.4537113913393,0.12188571268645916
california_housing,regression,controlled_mlp,1,RBF,8,64520.1255845563,65705.57878165446,65056.96465196841,66737.77121334265,5,65568.21060960594,-1,64520.1255845563,True,-536.839067412111,1048.0850250496442,0.10736325511911735
california_housing,regression,controlled_mlp,1,RBF,16,69076.222683538,69807.30560142329,68703.89815434696,71046.26156417884,-1,69076.222683538,6,68703.89815434696,False,372.32452919104253,0.0,0.13484992386038852
california_housing,regression,resnet_tabular,0,PLE,8,62932.27015741245,65613.30505511633,64352.47596090627,68508.80038080407,-1,62932.27015741245,-1,62932.27015741245,True,-1420.2058034938163,0.0,0.21167207602035992
california_housing,regression,resnet_tabular,0,PLE,16,62482.29867548172,62447.45482489874,61134.08270996959,63905.43075727684,2,61134.08270996959,2,61134.08270996959,False,1348.2159655121286,-1348.2159655121286,0.19818348580522596
california_housing,regression,resnet_tabular,0,RBF,8,65713.18727065451,66751.4480359483,64746.84097239711,68963.5917273461,4,66378.74210429695,2,64746.84097239711,False,966.3462982573983,665.5548336424399,0.2252717236654071
california_housing,regression,resnet_tabular,0,RBF,16,70651.4715701128,71496.43773007288,69783.34109586329,72958.3264234528,3,71067.19271160694,2,69783.34109586329,False,868.1304742495122,415.7211414941412,0.2719670373319468
california_housing,regression,resnet_tabular,1,PLE,8,64289.14605041493,64298.369734344364,62376.08831942339,66446.62028297895,5,62742.10057687217,1,62376.08831942339,False,1913.0577309915388,-1547.0454735427556,0.23648907794456242
california_housing,regression,resnet_tabular,1,PLE,16,59982.65121485027,62954.161923390195,60726.26012609086,64005.98302524104,5,60726.26012609086,-1,59982.65121485027,True,-743.6089112405898,743.6089112405898,0.21035799514367526
california_housing,regression,resnet_tabular,1,RBF,8,64043.52235558815,67433.65851369928,65168.1967762692,70120.42556534836,4,66762.77639161893,-1,64043.52235558815,True,-1124.6744206810472,2719.2540360307758,0.2248684882339322
california_housing,regression,resnet_tabular,1,RBF,16,72251.76043697499,72038.73181968235,67745.11761789177,74762.68468337941,6,74192.10758360912,4,67745.11761789177,False,4506.642819083223,1940.3471466341289,0.2808765415201454
california_housing,regression,tabm_d,0,PLE,8,62848.60895001085,59244.31561049519,58126.04186021431,60596.97195928884,7,59478.858116691816,3,58126.04186021431,False,4722.567089796539,-3369.7508333190344,0.21603472624442088
