stage,dataset,problem_type,model,seed,embedding,k,split,method,alpha,raw_disagreement,method_disagreement,disagreement_reduction,coordinate_error,fit_seconds,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive
full,steel-plates-fault,classification,resnet_tabular,0,PLE,8,validation,Raw embedding,0.0,0.06365492914259305,0.06365492914259305,0.0,2.1564628234719632e-15,0.0,0.04450032804022093,0.04450032804022093,0.6459857848778665,0.0,0.0,0.6014854568376455,0.0,False
full,steel-plates-fault,classification,resnet_tabular,0,PLE,8,validation,Gram-after-embedding,1.0,0.06365492914259305,0.0,1.0,2.1564628234719632e-15,0.23762005101889372,0.04450032804022093,0.014806491081735932,0.6459857848778665,-0.029693836958484997,-0.667272316097236,0.6014854568376455,-0.04936750609832289,False
full,steel-plates-fault,classification,resnet_tabular,0,PLE,8,test,Raw embedding,0.0,0.10381198764773787,0.10381198764773787,0.0,2.1564628234719632e-15,0.0,0.06003995206852454,0.06003995206852454,0.6455976337440515,0.0,0.0,0.585557681675527,0.0,False
full,steel-plates-fault,classification,resnet_tabular,0,PLE,8,test,Gram-after-embedding,1.0,0.10381198764773787,0.0,1.0,2.1564628234719632e-15,0.23762005101889372,0.06003995206852454,0.016847394828986534,0.6455976337440515,-0.04319255723953801,-0.719396930734416,0.585557681675527,-0.07376311265518014,False
full,steel-plates-fault,classification,resnet_tabular,0,PLE,16,validation,Raw embedding,0.0,0.058542507035990315,0.058542507035990315,0.0,3.723022678026724e-15,0.0,0.05890534031143415,0.05890534031143415,0.6459857848778665,0.0,0.0,0.5870804445664324,0.0,False
full,steel-plates-fault,classification,resnet_tabular,0,PLE,16,validation,Gram-after-embedding,1.0,0.058542507035990315,0.0,1.0,3.723022678026724e-15,0.32424699584953487,0.05890534031143415,0.016258543043348197,0.6459857848778665,-0.042646797268085956,-0.7239886408025346,0.5870804445664324,-0.07264216967673186,False
full,steel-plates-fault,classification,resnet_tabular,0,PLE,16,test,Raw embedding,0.0,0.12166984386373093,0.12166984386373093,0.0,3.723022678026724e-15,0.0,0.0937459765416719,0.0937459765416719,0.6455976337440515,0.0,0.0,0.5518516572023796,0.0,False
full,steel-plates-fault,classification,resnet_tabular,0,PLE,16,test,Gram-after-embedding,1.0,0.12166984386373093,0.0,1.0,3.723022678026724e-15,0.32424699584953487,0.0937459765416719,0.022664415769885555,0.6455976337440515,-0.07108156077178635,-0.7582358560229966,0.5518516572023796,-0.1288055582402985,False
full,steel-plates-fault,classification,resnet_tabular,0,RBF,8,validation,Raw embedding,0.0,0.0664660239136432,0.0664660239136432,0.0,9.3338706002943e-16,0.0,0.02343690286548087,0.02343690286548087,0.6459857848778665,0.0,0.0,0.6225488820123857,0.0,False
full,steel-plates-fault,classification,resnet_tabular,0,RBF,8,validation,Gram-after-embedding,1.0,0.0664660239136432,0.0,1.0,9.3338706002943e-16,0.6429670499637723,0.02343690286548087,0.016421273324210985,0.6459857848778665,-0.0070156295412698855,-0.2993411536301105,0.6225488820123857,-0.011269202698737333,False
full,steel-plates-fault,classification,resnet_tabular,0,RBF,8,test,Raw embedding,0.0,0.07586019214656109,0.07586019214656109,0.0,9.3338706002943e-16,0.0,0.03934774325625473,0.03934774325625473,0.6455976337440515,0.0,0.0,0.6062498904877969,0.0,False
