stage,dataset,problem_type,model,seed,embedding,k,split,condition,rotation_member,default_task_error,task_error,task_effect,disagreement,fit_seconds,source,interface_location
full,steel-plates-fault,classification,controlled_mlp,0,PLE,8,validation,default,-1,0.004558137890676894,0.004558137890676894,0.0,0.0,0.34966162615455687,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,PLE,8,validation,random_orthogonal,0,0.004558137890676894,0.02174096951024279,0.017182831619565898,0.04432234671251115,0.21541701396927238,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,PLE,8,validation,random_orthogonal,1,0.004558137890676894,0.012875662100240142,0.008317524209563248,0.04459549795165191,0.17885722196660936,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,PLE,8,validation,random_orthogonal,2,0.004558137890676894,0.0044713469386337655,-8.679095204312814e-05,0.00871049684968591,0.13718094886280596,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,PLE,8,validation,random_orthogonal,3,0.004558137890676894,0.0009950987650625721,-0.0035630391256143215,0.023255978246983264,0.1926461230032146,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,PLE,8,validation,random_orthogonal,4,0.004558137890676894,0.0016667931777293189,-0.002891344712947575,0.02281809119710632,0.2131013721227646,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,PLE,8,validation,random_orthogonal,5,0.004558137890676894,0.0060024432689138145,0.0014443053782369208,0.027725569929914356,0.2021251660771668,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,PLE,8,validation,random_orthogonal,6,0.004558137890676894,0.020148427346872486,0.015590289456195592,0.047996358182138085,0.14860437507741153,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,PLE,8,validation,random_orthogonal,7,0.004558137890676894,0.0018926125094997977,-0.002665525381177096,0.01718182777262837,0.23031350900419056,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,PLE,8,test,default,-1,0.005849078136784801,0.005849078136784801,0.0,0.0,0.34966162615455687,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,PLE,8,test,random_orthogonal,0,0.005849078136784801,0.026669423801174832,0.020820345664390033,0.06801288662956707,0.21541701396927238,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,PLE,8,test,random_orthogonal,1,0.005849078136784801,0.010098047720359226,0.004248969583574425,0.03201519940777656,0.17885722196660936,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,PLE,8,test,random_orthogonal,2,0.005849078136784801,0.01618769408125783,0.010338615944473028,0.05288132261255244,0.13718094886280596,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,PLE,8,test,random_orthogonal,3,0.005849078136784801,0.00505982646484081,-0.0007892516719439913,0.02650079721444633,0.1926461230032146,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,PLE,8,test,random_orthogonal,4,0.005849078136784801,0.004773795351189038,-0.0010752827855957632,0.032445744057985386,0.2131013721227646,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,0,PLE,8,test,random_orthogonal,5,0.005849078136784801,0.002151929126101546,-0.003697149010683255,0.024555646040256108,0.2021251660771668,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
