panel,dataset,problem_type,model,seed,method,family,split,alpha,raw_fallback,raw_disagreement,method_disagreement,maximum_method_disagreement,disagreement_reduction,fit_seconds,method_task_loss,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive
guarded_development,steel-plates-fault,classification,controlled_mlp,0,Raw,fixed,validation,0.0,True,0.010918418126008255,0.010918418126008255,0.03964252166224692,0.0,0.0,2.678164835674249e-05,2.678164835674249e-05,2.678164835674249e-05,0.6459857848778665,0.0,0.0,0.6459590032295097,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,Raw,fixed,test,0.0,True,0.014531851562611262,0.014531851562611262,0.041265503766362524,0.0,0.0,2.29065532434954e-05,2.29065532434954e-05,2.29065532434954e-05,0.6455976337440515,0.0,0.0,0.6455747271908081,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,Raw+Gram@0.5,fixed,validation,0.5,False,0.010918418126008255,0.005459209003985199,0.019821260383698462,0.5000000054054468,0.0,0.037381014331181225,2.678164835674249e-05,0.037381014331181225,0.6459857848778665,0.037354232682824486,1394.7697387872045,0.6459590032295097,0.057827559482985486,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,Raw+Gram@0.5,fixed,test,0.5,False,0.014531851562611262,0.0072659254163756955,0.020632751386243504,0.5000000251124184,0.0,0.053264342849472936,2.29065532434954e-05,0.053264342849472936,0.6455976337440515,0.05324143629622944,2324.2884134629903,0.6455747271908081,0.08247137636243501,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,Raw+Gram@0.75,fixed,validation,0.75,False,0.010918418126008255,0.002729604367647056,0.009910630285208926,0.7500000150072113,0.0,0.06924669181499164,2.678164835674249e-05,0.06924669181499164,0.6459857848778665,0.0692199101666349,2584.602308438877,0.6459590032295097,0.10715836426238494,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,Raw+Gram@0.75,fixed,test,0.75,False,0.014531851562611262,0.003632963144400196,0.010316376207783425,0.7499999825385375,0.0,0.09848702743146591,2.29065532434954e-05,0.09848702743146591,0.6455976337440515,0.09846412087822241,4298.513173568901,0.6455747271908081,0.1525216473493084,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,PureGram,fixed,validation,1.0,False,0.010918418126008255,0.0,0.0,1.0,0.0,0.3803480927517018,2.678164835674249e-05,0.3803480927517018,0.6459857848778665,0.38032131110334505,14200.817889821788,0.6459590032295097,0.5887700445413818,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,PureGram,fixed,test,1.0,False,0.014531851562611262,0.0,0.0,1.0,0.0,0.38078229181429485,2.29065532434954e-05,0.38078229181429485,0.6455976337440515,0.38075938526105135,16622.290626337366,0.6455747271908081,0.5897990878885705,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,GuardedGram-G1-t0,G1,validation,0.0,True,0.010918418126008255,0.010918418126008255,0.03964252166224692,0.0,0.0,2.678164835674249e-05,2.678164835674249e-05,2.678164835674249e-05,0.6459857848778665,0.0,0.0,0.6459590032295097,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,GuardedGram-G1-t0,G1,test,0.0,True,0.014531851562611262,0.014531851562611262,0.041265503766362524,0.0,0.0,2.29065532434954e-05,2.29065532434954e-05,2.29065532434954e-05,0.6455976337440515,0.0,0.0,0.6455747271908081,0.0,False
guarded_development,steel-plates-fault,classification,controlled_mlp,0,GuardedGram-G1-t005,G1,validation,0.0,True,0.010918418126008255,0.010918418126008255,0.03964252166224692,0.0,0.0,2.678164835674249e-05,2.678164835674249e-05,2.678164835674249e-05,0.6459857848778665,0.0,0.0,0.6459590032295097,0.0,False
