panel,dataset,problem_type,model,seed,method,family,split,alpha,selected_alpha,invariant_feature_fraction,raw_fallback,raw_disagreement,method_disagreement,maximum_method_disagreement,disagreement_reduction,inference_passes,inference_multiplier,raw_task_error,method_task_error,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive,tau,selected_candidate,selection_key,selected_features,selected_blocks,invariant_dimension_fraction,input_dimension,raw_input_dimension,input_dimension_ratio,fit_seconds,predict_seconds
guarded_new_untouched_prospective,Brazilian_houses,regression,tabm_d,0,Raw,fixed,validation,0.0,0.0,,True,0.38700981345171037,0.38700981345171037,0.45156915463142744,0.0,1,1.0,2268.9735978073795,2268.9735978073795,2268.9735978073795,2268.9735978073795,4530.593928105435,0.0,0.0,2261.6203302980557,0.0,False,,,,,,,,,,,
guarded_new_untouched_prospective,Brazilian_houses,regression,tabm_d,0,Raw,fixed,test,0.0,0.0,,True,0.3843990778410001,0.3843990778410001,0.45553309943008546,0.0,1,1.0,2475.5015976503278,2475.5015976503278,2475.5015976503278,2475.5015976503278,4729.547636266773,0.0,0.0,2254.0460386164455,0.0,False,,,,,,,,,,,
guarded_new_untouched_prospective,Brazilian_houses,regression,tabm_d,0,Raw+Gram@0.5,fixed,validation,0.5,0.5,,False,0.38700981345171037,0.19350490672585519,0.22578457731571372,0.5,2,2.0,2268.9735978073795,2154.323607311842,2268.9735978073795,2154.323607311842,4530.593928105435,-114.64999049553762,-0.05052945111672059,2261.6203302980557,-0.05069373889136735,False,,,,,,,,,,,
guarded_new_untouched_prospective,Brazilian_houses,regression,tabm_d,0,Raw+Gram@0.5,fixed,test,0.5,0.5,,False,0.3843990778410001,0.19219953892050004,0.22776654971504273,0.5,2,2.0,2475.5015976503278,2340.6927206119594,2475.5015976503278,2340.6927206119594,4729.547636266773,-134.80887703836834,-0.05445719654001634,2254.0460386164455,-0.0598075082446476,False,,,,,,,,,,,
guarded_new_untouched_prospective,Brazilian_houses,regression,tabm_d,0,Raw+Gram@0.75,fixed,validation,0.75,0.75,,False,0.38700981345171037,0.09675245336292759,0.11289228865785686,0.75,2,2.0,2268.9735978073795,2150.067819734036,2268.9735978073795,2150.067819734036,4530.593928105435,-118.9057780733433,-0.052405095497033455,2261.6203302980557,-0.052575481605116665,False,,,,,,,,,,,
guarded_new_untouched_prospective,Brazilian_houses,regression,tabm_d,0,Raw+Gram@0.75,fixed,test,0.75,0.75,,False,0.3843990778410001,0.09609976946025002,0.11388327485752137,0.75,2,2.0,2475.5015976503278,2317.0589131195866,2475.5015976503278,2317.0589131195866,4729.547636266773,-158.4426845307412,-0.0640042748027835,2254.0460386164455,-0.07029256803822641,False,,,,,,,,,,,
guarded_new_untouched_prospective,Brazilian_houses,regression,tabm_d,0,PureGram,fixed,validation,1.0,1.0,,False,0.38700981345171037,0.0,0.0,1.0,1,1.0,2268.9735978073795,2182.0413220245023,2268.9735978073795,2182.0413220245023,4530.593928105435,-86.93227578287724,-0.038313480538902774,2261.6203302980557,-0.038438050197143636,False,,,,,,,,,,,
guarded_new_untouched_prospective,Brazilian_houses,regression,tabm_d,0,PureGram,fixed,test,1.0,1.0,,False,0.3843990778410001,0.0,0.0,1.0,1,1.0,2475.5015976503278,2324.1593276530334,2475.5015976503278,2324.1593276530334,4729.547636266773,-151.34226999729435,-0.061136001746451674,2254.0460386164455,-0.06714249283488001,False,,,,,,,,,,,
guarded_new_untouched_prospective,Brazilian_houses,regression,tabm_d,0,GuardedGram-G2-g0p0-t01,G2,validation,0.75,0.75,,False,0.38700981345171037,0.09675245336292759,0.11289228865785686,0.75,2,2.0,2268.9735978073795,2150.067819734036,2268.9735978073795,2150.067819734036,4530.593928105435,-118.9057780733433,-0.052405095497033455,2261.6203302980557,-0.052575481605116665,False,,,,,,,,,,,
guarded_new_untouched_prospective,Brazilian_houses,regression,tabm_d,0,GuardedGram-G2-g0p0-t01,G2,test,0.75,0.75,,False,0.3843990778410001,0.09609976946025002,0.11388327485752137,0.75,2,2.0,2475.5015976503278,2317.0589131195866,2475.5015976503278,2317.0589131195866,4729.547636266773,-158.4426845307412,-0.0640042748027835,2254.0460386164455,-0.07029256803822641,False,,,,,,,,,,,
guarded_new_untouched_prospective,Brazilian_houses,regression,tabm_d,0,SafeGram-t01,safety_reference,validation,0.75,0.75,,False,0.38700981345171037,0.09675245336292759,0.11289228865785686,0.75,2,2.0,2268.9735978073795,2150.067819734036,2268.9735978073795,2150.067819734036,4530.593928105435,-118.9057780733433,-0.052405095497033455,2261.6203302980557,-0.052575481605116665,False,,,,,,,,,,,
