panel,dataset,problem_type,model,seed,method,family,split,alpha,selected_alpha,invariant_feature_fraction,raw_fallback,raw_disagreement,method_disagreement,maximum_method_disagreement,disagreement_reduction,inference_passes,inference_multiplier,raw_task_error,method_task_error,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive,tau,selected_candidate,selection_key,selected_features,selected_blocks,invariant_dimension_fraction,input_dimension,raw_input_dimension,input_dimension_ratio,fit_seconds,predict_seconds
guarded_new_untouched_prospective,SoilKsatDB,regression,catboost,1,Raw,fixed,validation,0.0,0.0,,True,0.08749065030657528,0.08749065030657528,0.09878635183591415,0.0,1,1.0,960.490392200257,960.490392200257,960.490392200257,960.490392200257,1105.5698899494796,0.0,0.0,145.07949774922258,0.0,False,,,,,,,,,,,
guarded_new_untouched_prospective,SoilKsatDB,regression,catboost,1,Raw,fixed,test,0.0,0.0,,True,0.10227320716957924,0.10227320716957924,0.13425831923675993,0.0,1,1.0,980.5221508789386,980.5221508789386,980.5221508789386,980.5221508789386,1148.7614652193272,0.0,0.0,168.23931434038855,0.0,False,,,,,,,,,,,
guarded_new_untouched_prospective,SoilKsatDB,regression,catboost,1,Raw+Gram@0.5,fixed,validation,0.5,0.5,,False,0.08749065030657528,0.043745325153287634,0.04939317591795707,0.5,2,2.0,960.490392200257,928.1108786763214,960.490392200257,928.1108786763214,1105.5698899494796,-32.37951352393566,-0.03371143926777011,145.07949774922258,-0.22318462654113486,False,,,,,,,,,,,
guarded_new_untouched_prospective,SoilKsatDB,regression,catboost,1,Raw+Gram@0.5,fixed,test,0.5,0.5,,False,0.10227320716957924,0.05113660358478962,0.06712915961837997,0.5,2,2.0,980.5221508789386,967.7381034906105,980.5221508789386,967.7381034906105,1148.7614652193272,-12.78404738832819,-0.013037999576928057,168.23931434038855,-0.07598727704312318,False,,,,,,,,,,,
guarded_new_untouched_prospective,SoilKsatDB,regression,catboost,1,Raw+Gram@0.75,fixed,validation,0.75,0.75,,False,0.08749065030657528,0.021872662576643817,0.02469658795897853,0.75,2,2.0,960.490392200257,914.2662794775373,960.490392200257,914.2662794775373,1105.5698899494796,-46.224112722719724,-0.04812553368371669,145.07949774922258,-0.31861230180587263,False,,,,,,,,,,,
guarded_new_untouched_prospective,SoilKsatDB,regression,catboost,1,Raw+Gram@0.75,fixed,test,0.75,0.75,,False,0.10227320716957924,0.025568301792394808,0.03356457980918998,0.75,2,2.0,980.5221508789386,963.1897885559545,980.5221508789386,963.1897885559545,1148.7614652193272,-17.33236232298418,-0.017676665751454445,168.23931434038855,-0.10302206943090989,False,,,,,,,,,,,
guarded_new_untouched_prospective,SoilKsatDB,regression,catboost,1,PureGram,fixed,validation,1.0,1.0,,False,0.08749065030657528,0.0,0.0,1.0,1,1.0,960.490392200257,902.0838122781039,960.490392200257,902.0838122781039,1105.5698899494796,-58.40657992215313,-0.06080912458515845,145.07949774922258,-0.4025832790179073,False,,,,,,,,,,,
guarded_new_untouched_prospective,SoilKsatDB,regression,catboost,1,PureGram,fixed,test,1.0,1.0,,False,0.10227320716957924,0.0,0.0,1.0,1,1.0,980.5221508789386,959.8954833567998,980.5221508789386,959.8954833567998,1148.7614652193272,-20.62666752213886,-0.021036411572802456,168.23931434038855,-0.12260313591391699,False,,,,,,,,,,,
guarded_new_untouched_prospective,SoilKsatDB,regression,catboost,1,GuardedGram-G2-g0p0-t01,G2,validation,0.75,0.75,,False,0.08749065030657528,0.021872662576643817,0.02469658795897853,0.75,2,2.0,960.490392200257,914.2662794775373,960.490392200257,914.2662794775373,1105.5698899494796,-46.224112722719724,-0.04812553368371669,145.07949774922258,-0.31861230180587263,False,,,,,,,,,,,
guarded_new_untouched_prospective,SoilKsatDB,regression,catboost,1,GuardedGram-G2-g0p0-t01,G2,test,0.75,0.75,,False,0.10227320716957924,0.025568301792394808,0.03356457980918998,0.75,2,2.0,980.5221508789386,963.1897885559545,980.5221508789386,963.1897885559545,1148.7614652193272,-17.33236232298418,-0.017676665751454445,168.23931434038855,-0.10302206943090989,False,,,,,,,,,,,
guarded_new_untouched_prospective,SoilKsatDB,regression,catboost,1,SafeGram-t01,safety_reference,validation,1.0,1.0,,False,0.08749065030657528,0.0,0.0,1.0,1,1.0,960.490392200257,902.0838122781039,960.490392200257,902.0838122781039,1105.5698899494796,-58.40657992215313,-0.06080912458515845,145.07949774922258,-0.4025832790179073,False,,,,,,,,,,,
