panel,dataset,problem_type,model,seed,method,family,split,alpha,selected_alpha,invariant_feature_fraction,raw_fallback,raw_disagreement,method_disagreement,maximum_method_disagreement,disagreement_reduction,inference_passes,inference_multiplier,raw_task_error,method_task_error,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive,tau,selected_candidate,selection_key,selected_features,selected_blocks,invariant_dimension_fraction,input_dimension,raw_input_dimension,input_dimension_ratio,fit_seconds,predict_seconds
guarded_new_untouched_prospective,bank32nh,regression,catboost,1,Raw,fixed,validation,0.0,0.0,,True,0.1628311619605378,0.1628311619605378,0.19873786922811615,0.0,1,1.0,0.0808787255500849,0.0808787255500849,0.0808787255500849,0.0808787255500849,0.11356964071464133,0.0,0.0,0.032690915164556425,0.0,False,,,,,,,,,,,
guarded_new_untouched_prospective,bank32nh,regression,catboost,1,Raw,fixed,test,0.0,0.0,,True,0.1722960636730887,0.1722960636730887,0.20369237549454314,0.0,1,1.0,0.08620900608671403,0.08620900608671403,0.08620900608671403,0.08620900608671403,0.12041162161748488,0.0,0.0,0.03420261553077085,0.0,False,,,,,,,,,,,
guarded_new_untouched_prospective,bank32nh,regression,catboost,1,Raw+Gram@0.5,fixed,validation,0.5,0.5,,False,0.1628311619605378,0.0814155809802689,0.09936893461405807,0.5,2,2.0,0.0808787255500849,0.08028995087552224,0.0808787255500849,0.08028995087552224,0.11356964071464133,-0.0005887746745626699,-0.007279722455543215,0.032690915164556425,-0.018010345430800937,False,,,,,,,,,,,
guarded_new_untouched_prospective,bank32nh,regression,catboost,1,Raw+Gram@0.5,fixed,test,0.5,0.5,,False,0.1722960636730887,0.08614803183654435,0.10184618774727157,0.5,2,2.0,0.08620900608671403,0.08674446588899315,0.08620900608671403,0.08674446588899315,0.12041162161748488,0.0005354598022791202,0.006211181715057979,0.03420261553077085,0.015655522069573494,False,,,,,,,,,,,
guarded_new_untouched_prospective,bank32nh,regression,catboost,1,Raw+Gram@0.75,fixed,validation,0.75,0.75,,False,0.1628311619605378,0.040707790490134454,0.04968446730702903,0.75,2,2.0,0.0808787255500849,0.080257929835395,0.0808787255500849,0.080257929835395,0.11356964071464133,-0.0006207957146899118,-0.0076756367075230215,0.032690915164556425,-0.018989854262721286,False,,,,,,,,,,,
guarded_new_untouched_prospective,bank32nh,regression,catboost,1,Raw+Gram@0.75,fixed,test,0.75,0.75,,False,0.1722960636730887,0.04307401591827218,0.05092309387363579,0.75,2,2.0,0.08620900608671403,0.08729899899868536,0.08620900608671403,0.08729899899868536,0.12041162161748488,0.0010899929119713297,0.012643608382109772,0.03420261553077085,0.03186870053814168,False,,,,,,,,,,,
guarded_new_untouched_prospective,bank32nh,regression,catboost,1,PureGram,fixed,validation,1.0,1.0,,False,0.1628311619605378,0.0,0.0,1.0,1,1.0,0.0808787255500849,0.08040147881879788,0.0808787255500849,0.08040147881879788,0.11356964071464133,-0.00047724673128703154,-0.005900769677577227,0.032690915164556425,-0.014598757143527865,False,,,,,,,,,,,
guarded_new_untouched_prospective,bank32nh,regression,catboost,1,PureGram,fixed,test,1.0,1.0,,False,0.1722960636730887,0.0,0.0,1.0,1,1.0,0.08620900608671403,0.08804033235897937,0.08620900608671403,0.08804033235897937,0.12041162161748488,0.0018313262722653434,0.0212428649325024,0.03420261553077085,0.05354345695047111,False,,,,,,,,,,,
guarded_new_untouched_prospective,bank32nh,regression,catboost,1,GuardedGram-G2-g0p0-t01,G2,validation,0.75,0.75,,False,0.1628311619605378,0.040707790490134454,0.04968446730702903,0.75,2,2.0,0.0808787255500849,0.080257929835395,0.0808787255500849,0.080257929835395,0.11356964071464133,-0.0006207957146899118,-0.0076756367075230215,0.032690915164556425,-0.018989854262721286,False,,,,,,,,,,,
guarded_new_untouched_prospective,bank32nh,regression,catboost,1,GuardedGram-G2-g0p0-t01,G2,test,0.75,0.75,,False,0.1722960636730887,0.04307401591827218,0.05092309387363579,0.75,2,2.0,0.08620900608671403,0.08729899899868536,0.08620900608671403,0.08729899899868536,0.12041162161748488,0.0010899929119713297,0.012643608382109772,0.03420261553077085,0.03186870053814168,False,,,,,,,,,,,
guarded_new_untouched_prospective,bank32nh,regression,catboost,1,SafeGram-t01,safety_reference,validation,0.5,0.5,,False,0.1628311619605378,0.0814155809802689,0.09936893461405807,0.5,2,2.0,0.0808787255500849,0.08028995087552224,0.0808787255500849,0.08028995087552224,0.11356964071464133,-0.0005887746745626699,-0.007279722455543215,0.032690915164556425,-0.018010345430800937,False,,,,,,,,,,,
guarded_new_untouched_prospective,bank32nh,regression,catboost,1,SafeGram-t01,safety_reference,test,0.5,0.5,,False,0.1722960636730887,0.08614803183654435,0.10184618774727157,0.5,2,2.0,0.08620900608671403,0.08674446588899315,0.08620900608671403,0.08674446588899315,0.12041162161748488,0.0005354598022791202,0.006211181715057979,0.03420261553077085,0.015655522069573494,False,,,,,,,,,,,
guarded_new_untouched_prospective,bank32nh,regression,catboost,1,SafeRankGram-t01,safety_reference,validation,0.25,0.25,,False,0.1628311619605378,0.12212337147040334,0.14905340192108707,0.25,2,2.0,0.0808787255500849,0.08069052642101476,0.0808787255500849,0.08069052642101476,0.11356964071464133,-0.00018819912907014347,-0.002326929953336114,0.032690915164556425,-0.005756924458150057,False,,,,,,,,,,,
guarded_new_untouched_prospective,bank32nh,regression,catboost,1,SafeRankGram-t01,safety_reference,test,0.25,0.25,,False,0.1722960636730887,0.1292220477548165,0.15276928162090736,0.2500000000000001,2,2.0,0.08620900608671403,0.0861850125124324,0.08620900608671403,0.0861850125124324,0.12041162161748488,-2.3993574281636065e-05,-0.00027831865104095894,0.03420261553077085,-0.0007015128495085389,False,,,,,,,,,,,
guarded_new_untouched_prospective,bank32nh,regression,catboost,1,BlockGuard-Greedy-t01,BlockGuard-Greedy,validation,,,0.0,True,0.1628311619605378,0.1628311619605378,0.19873786922811615,0.0,1,1.0,0.0808787255500849,0.0808787255500849,0.0808787255500849,0.0808787255500849,0.11356964071464133,0.0,0.0,0.032690915164556425,0.0,False,0.01,stage_0_raw,n0__4f53cda18c2baa0c,[],0.0,0.0,250.0,250.0,1.0,0.0,0.0
guarded_new_untouched_prospective,bank32nh,regression,catboost,1,BlockGuard-Greedy-t01,BlockGuard-Greedy,test,,,0.0,True,0.1722960636730887,0.1722960636730887,0.20369237549454314,0.0,1,1.0,0.08620900608671403,0.08620900608671403,0.08620900608671403,0.08620900608671403,0.12041162161748488,0.0,0.0,0.03420261553077085,0.0,False,0.01,stage_0_raw,n0__4f53cda18c2baa0c,[],0.0,0.0,250.0,250.0,1.0,0.0,0.0
