panel,dataset,problem_type,model,seed,method,family,split,alpha,selected_alpha,invariant_feature_fraction,raw_fallback,raw_disagreement,method_disagreement,maximum_method_disagreement,disagreement_reduction,inference_passes,inference_multiplier,raw_task_error,method_task_error,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive,tau,selected_candidate,selection_key,selected_features,selected_blocks,invariant_dimension_fraction,input_dimension,raw_input_dimension,input_dimension_ratio,fit_seconds,predict_seconds
guarded_new_untouched_prospective,eye_movements,classification,catboost,2,Raw,fixed,validation,0.0,0.0,,True,0.05512075660773259,0.05512075660773259,0.05735888074435914,0.0,1,1.0,0.9444154488422005,0.9444154488422005,0.9444154488422005,0.9444154488422005,1.085336496348905,0.0,0.0,0.14092104750670442,0.0,False,,,,,,,,,,,
guarded_new_untouched_prospective,eye_movements,classification,catboost,2,Raw,fixed,test,0.0,0.0,,True,0.05664977189084905,0.05664977189084905,0.05951106845944667,0.0,1,1.0,0.9504406081594893,0.9504406081594893,0.9504406081594893,0.9504406081594893,1.085336496348905,0.0,0.0,0.13489588818941567,0.0,False,,,,,,,,,,,
guarded_new_untouched_prospective,eye_movements,classification,catboost,2,Raw+Gram@0.5,fixed,validation,0.5,0.5,,False,0.05512075660773259,0.027560378303866297,0.028679440372179565,0.5,2,2.0,0.9444154488422005,0.9437359321141268,0.9444154488422005,0.9437359321141268,1.085336496348905,-0.0006795167280737591,-0.0007195103901644216,0.14092104750670442,-0.004821967620141559,False,,,,,,,,,,,
guarded_new_untouched_prospective,eye_movements,classification,catboost,2,Raw+Gram@0.5,fixed,test,0.5,0.5,,False,0.05664977189084905,0.028324885945424524,0.029755534229723338,0.5,2,2.0,0.9504406081594893,0.9499499205263646,0.9504406081594893,0.9499499205263646,1.085336496348905,-0.0004906876331246535,-0.0005162738512139765,0.13489588818941567,-0.003637528465179373,False,,,,,,,,,,,
guarded_new_untouched_prospective,eye_movements,classification,catboost,2,Raw+Gram@0.75,fixed,validation,0.75,0.75,,False,0.05512075660773259,0.013780189151933145,0.014339720186089781,0.75,2,2.0,0.9444154488422005,0.9453344512535862,0.9444154488422005,0.9453344512535862,1.085336496348905,0.0009190024113856499,0.000973091251855626,0.14092104750670442,0.006521399234858282,False,,,,,,,,,,,
guarded_new_untouched_prospective,eye_movements,classification,catboost,2,Raw+Gram@0.75,fixed,test,0.75,0.75,,False,0.05664977189084905,0.014162442972712262,0.014877767114861665,0.75,2,2.0,0.9504406081594893,0.9521296422247268,0.9504406081594893,0.9521296422247268,1.085336496348905,0.0016890340652375713,0.0017771063764924298,0.13489588818941567,0.012521019638981834,False,,,,,,,,,,,
guarded_new_untouched_prospective,eye_movements,classification,catboost,2,PureGram,fixed,validation,1.0,1.0,,False,0.05512075660773259,0.0,0.0,1.0,1,1.0,0.9444154488422005,0.9482650141608819,0.9444154488422005,0.9482650141608819,1.085336496348905,0.003849565318681414,0.004076135479783565,0.14092104750670442,0.027317177858036203,False,,,,,,,,,,,
guarded_new_untouched_prospective,eye_movements,classification,catboost,2,PureGram,fixed,test,1.0,1.0,,False,0.05664977189084905,0.0,0.0,1.0,1,1.0,0.9504406081594893,0.955934540409045,0.9504406081594893,0.955934540409045,1.085336496348905,0.005493932249555744,0.0057804056375438785,0.13489588818941567,0.04072720320312042,False,,,,,,,,,,,
guarded_new_untouched_prospective,eye_movements,classification,catboost,2,GuardedGram-G2-g0p0-t01,G2,validation,0.75,0.75,,False,0.05512075660773259,0.013780189151933145,0.014339720186089781,0.75,2,2.0,0.9444154488422005,0.9453344512535862,0.9444154488422005,0.9453344512535862,1.085336496348905,0.0009190024113856499,0.000973091251855626,0.14092104750670442,0.006521399234858282,False,,,,,,,,,,,
guarded_new_untouched_prospective,eye_movements,classification,catboost,2,GuardedGram-G2-g0p0-t01,G2,test,0.75,0.75,,False,0.05664977189084905,0.014162442972712262,0.014877767114861665,0.75,2,2.0,0.9504406081594893,0.9521296422247268,0.9504406081594893,0.9521296422247268,1.085336496348905,0.0016890340652375713,0.0017771063764924298,0.13489588818941567,0.012521019638981834,False,,,,,,,,,,,
