panel,dataset,problem_type,model,seed,method,family,split,alpha,selected_alpha,invariant_feature_fraction,raw_fallback,raw_disagreement,method_disagreement,maximum_method_disagreement,disagreement_reduction,inference_passes,inference_multiplier,raw_task_error,method_task_error,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive,tau,selected_candidate,selection_key,selected_features,selected_blocks,invariant_dimension_fraction,input_dimension,raw_input_dimension,input_dimension_ratio,fit_seconds,predict_seconds
guarded_new_untouched_prospective,waveform-5000,classification,catboost,1,Raw,fixed,validation,0.0,0.0,,True,0.05864817657369069,0.05864817657369069,0.0643385010805973,0.0,1,1.0,0.3327492774007156,0.3327492774007156,0.3327492774007156,0.3327492774007156,1.0985143048053567,0.0,0.0,0.7657650274046411,0.0,False,,,,,,,,,,,
guarded_new_untouched_prospective,waveform-5000,classification,catboost,1,Raw,fixed,test,0.0,0.0,,True,0.0578617695753791,0.0578617695753791,0.06162692978052425,0.0,1,1.0,0.36206840182244765,0.36206840182244765,0.36206840182244765,0.36206840182244765,1.0985714006966874,0.0,0.0,0.7365029988742398,0.0,False,,,,,,,,,,,
guarded_new_untouched_prospective,waveform-5000,classification,catboost,1,Raw+Gram@0.5,fixed,validation,0.5,0.5,,False,0.05864817657369069,0.02932408828684534,0.03216925054029865,0.5,2,2.0,0.3327492774007156,0.3367274510523234,0.3327492774007156,0.3367274510523234,1.0985143048053567,0.003978173651607797,0.011955468942512697,0.7657650274046411,0.005195031777686125,False,,,,,,,,,,,
guarded_new_untouched_prospective,waveform-5000,classification,catboost,1,Raw+Gram@0.5,fixed,test,0.5,0.5,,False,0.0578617695753791,0.02893088478768955,0.030813464890262127,0.5,2,2.0,0.36206840182244765,0.3600761343057535,0.36206840182244765,0.3600761343057535,1.0985714006966874,-0.001992267516694124,-0.005502461707970581,0.7365029988742398,-0.002705036530386633,False,,,,,,,,,,,
guarded_new_untouched_prospective,waveform-5000,classification,catboost,1,Raw+Gram@0.75,fixed,validation,0.75,0.75,,False,0.05864817657369069,0.014662044143422672,0.016084625270149325,0.75,2,2.0,0.3327492774007156,0.3398347383331508,0.3327492774007156,0.3398347383331508,1.0985143048053567,0.007085460932435228,0.021293692920338076,0.7657650274046411,0.009252787315776919,False,,,,,,,,,,,
guarded_new_untouched_prospective,waveform-5000,classification,catboost,1,Raw+Gram@0.75,fixed,test,0.75,0.75,,False,0.0578617695753791,0.014465442393844775,0.015406732445131063,0.75,2,2.0,0.36206840182244765,0.359962194177993,0.36206840182244765,0.359962194177993,1.0985714006966874,-0.0021062076444546274,-0.005817153979339729,0.7365029988742398,-0.0028597407582508284,False,,,,,,,,,,,
guarded_new_untouched_prospective,waveform-5000,classification,catboost,1,PureGram,fixed,validation,1.0,1.0,,False,0.05864817657369069,0.0,0.0,1.0,1,1.0,0.3327492774007156,0.34374306593200465,0.3327492774007156,0.34374306593200465,1.0985143048053567,0.010993788531289073,0.03303925591414501,0.7657650274046411,0.014356608277802427,False,,,,,,,,,,,
guarded_new_untouched_prospective,waveform-5000,classification,catboost,1,PureGram,fixed,test,1.0,1.0,,False,0.0578617695753791,0.0,0.0,1.0,1,1.0,0.36206840182244765,0.3604652551850044,0.36206840182244765,0.3604652551850044,1.0985714006966874,-0.0016031466374432646,-0.00442774522541578,0.7365029988742398,-0.002176700760069827,False,,,,,,,,,,,
guarded_new_untouched_prospective,waveform-5000,classification,catboost,1,GuardedGram-G2-g0p0-t01,G2,validation,0.75,0.75,,False,0.05864817657369069,0.014662044143422672,0.016084625270149325,0.75,2,2.0,0.3327492774007156,0.3398347383331508,0.3327492774007156,0.3398347383331508,1.0985143048053567,0.007085460932435228,0.021293692920338076,0.7657650274046411,0.009252787315776919,False,,,,,,,,,,,
guarded_new_untouched_prospective,waveform-5000,classification,catboost,1,GuardedGram-G2-g0p0-t01,G2,test,0.75,0.75,,False,0.0578617695753791,0.014465442393844775,0.015406732445131063,0.75,2,2.0,0.36206840182244765,0.359962194177993,0.36206840182244765,0.359962194177993,1.0985714006966874,-0.0021062076444546274,-0.005817153979339729,0.7365029988742398,-0.0028597407582508284,False,,,,,,,,,,,
