dataset,problem_type,model,seed,feature,feature_index,empirical_rank,block_dimension,spectrum_entropy,largest_nonzero_singular_value,smallest_nonzero_singular_value,condition_proxy,mean_gram_diagonal,embedding_type,raw_input_block_orbit_relative_frobenius,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive,raw_one_block_orbit_disagreement,basis_disagreement_benefit,gram_one_block_validation_loss,gram_one_block_fit_seconds,raw_one_block_fit_seconds,selection_split
JapaneseVowels,classification,catboost,2,utterance,0,8,8,1.213618317140727,27.78745912711334,0.6976959134177584,39.82746436193483,1.455515606458623,RBF,1.3533893541738782,0.3660072054578489,0.3695133750578401,2.1716603605486386,0.0035061695999911713,0.009579509768407983,1.8056531550907897,0.0019417735848692814,False,0.013970849744756144,0.013970849744756144,0.3695133750578401,11.71370105794631,92.21245560329407,validation_only
JapaneseVowels,classification,catboost,2,frame,1,8,8,1.2978019771780136,25.287267269161294,1.1248466966160293,22.480634334647647,1.408899801633419,RBF,1.4193910779092902,0.3660072054578489,0.362302164662465,2.1716603605486386,-0.003705040795383918,-0.010122862993227623,1.8056531550907897,-0.0020519116780197055,False,0.011739048330779189,0.011739048330779189,0.362302164662465,10.851616860833019,85.09693868318573,validation_only
JapaneseVowels,classification,catboost,2,coefficient1,2,8,8,1.0856311346250151,30.22199569767133,0.7401245205524745,40.833663604486134,1.574410082517652,RBF,1.3275763924492119,0.3660072054578489,0.36216439931816213,2.1716603605486386,-0.003842806139686794,-0.010499263627555412,1.8056531550907897,-0.0021282083598683017,False,0.020866305063433475,0.020866305063433475,0.36216439931816213,14.649749858072028,100.66440166113898,validation_only
JapaneseVowels,classification,catboost,2,coefficient2,3,8,8,1.0138155046917954,31.533301878503593,0.5860140294431524,53.809807093641524,1.5471873546180082,RBF,1.3930544959636664,0.3660072054578489,0.3611735424304959,2.1716603605486386,-0.004833663027353052,-0.013206469586593205,1.8056531550907897,-0.0026769609732219097,False,0.01979692293538054,0.01979692293538054,0.3611735424304959,16.7974642990157,123.89711114927195,validation_only
JapaneseVowels,classification,catboost,2,coefficient3,4,8,8,1.0754563710626148,29.772103297100486,0.805147584012976,36.977200066491996,1.4686668771417977,RBF,1.3522082980306582,0.3660072054578489,0.3713927927937753,2.1716603605486386,0.005385587335926367,0.01471442981344966,1.8056531550907897,0.0029826256059988306,False,0.021693895330311186,0.021693895330311186,0.3713927927937753,17.1058228360489,115.19841761956923,validation_only
JapaneseVowels,classification,catboost,2,coefficient4,5,8,8,1.071715374268797,31.855070616002976,0.45780455648612123,69.58224894157141,1.6433019337811103,RBF,1.4084669491142792,0.3660072054578489,0.3551437482338107,2.1716603605486386,-0.010863457224038253,-0.0296809927838684,1.8056531550907897,-0.006016358785966305,False,0.014121969135512424,0.014121969135512424,0.3551437482338107,13.126812810078263,100.44444244448096,validation_only
JapaneseVowels,classification,catboost,2,coefficient5,6,8,8,1.0093899154739436,32.64273413133987,0.42154161410684826,77.43656388587512,1.623713606820103,RBF,1.2962390157235093,0.3660072054578489,0.35741581090158514,2.1716603605486386,-0.008591394556263787,-0.0234732934984615,1.8056531550907897,-0.004758053633967042,False,0.013620462255530364,0.013620462255530364,0.35741581090158514,13.615107204997912,105.75454873847775,validation_only
JapaneseVowels,classification,catboost,2,coefficient6,7,8,8,1.0622272219824884,30.40305843870588,0.7580316852160627,40.107899223289145,1.4833074042081595,RBF,1.4205078475806088,0.3660072054578489,0.3623874963665651,2.1716603605486386,-0.0036197090912838403,-0.009889720850593206,1.8056531550907897,-0.0020046535964443504,False,0.01961218239821657,0.01961218239821657,0.3623874963665651,16.372761803912,117.40802191826515,validation_only
JapaneseVowels,classification,catboost,2,coefficient7,8,8,8,1.073100800756409,29.581936240709503,0.7917790697155304,37.36135163479084,1.4405204785262518,RBF,1.4001189797728892,0.3660072054578489,0.3587877153193764,2.1716603605486386,-0.007219490138472506,-0.019724994565179226,1.8056531550907897,-0.003998270718890918,False,0.0170940465352786,0.0170940465352786,0.3587877153193764,18.70859466888942,133.95902635296807,validation_only
JapaneseVowels,classification,catboost,2,coefficient8,9,8,8,1.115610885557113,29.662644113709263,0.8751421116481095,33.894659757427455,1.451914406499124,RBF,1.3627908491065064,0.3660072054578489,0.3511763665860822,2.1716603605486386,-0.014830838871766727,-0.04052061995122311,1.8056531550907897,-0.008213559082459012,False,0.014122763951928151,0.014122763951928151,0.3511763665860822,18.35835321713239,163.03443639189936,validation_only
JapaneseVowels,classification,catboost,2,coefficient9,10,8,8,1.1452408548778856,28.515730270834922,0.971934864888486,29.33913711810991,1.3974670298369483,RBF,1.3964594683864218,0.3660072054578489,0.36741816347265677,2.1716603605486386,0.0014109580148078393,0.0038550006496260955,1.8056531550907897,0.000781411430445453,False,0.020340122562012793,0.020340122562012793,0.36741816347265677,21.31141427787952,154.69010843965225,validation_only
JapaneseVowels,classification,catboost,2,coefficient10,11,8,8,1.021549571023387,32.14422169131414,0.5050501157377405,63.64560800933625,1.610929411701978,RBF,1.4202589834072827,0.3660072054578489,0.36463483426481813,2.1716603605486386,-0.001372371193030797,-0.0037495742503595208,1.8056531550907897,-0.0007600414227735741,False,0.015389686110495158,0.015389686110495158,0.36463483426481813,21.04185554292053,156.03809783095494,validation_only
JapaneseVowels,classification,catboost,2,coefficient11,12,8,8,1.0194868765391838,30.74236064940153,0.6979586852133097,44.046103731779006,1.5047014701140669,RBF,1.4041158389855886,0.3660072054578489,0.3581151958683791,2.1716603605486386,-0.00789200958946984,-0.021562443230038322,1.8056531550907897,-0.004370722897262638,False,0.011118847576777748,0.011118847576777748,0.3581151958683791,21.36796348216012,154.27879668516107,validation_only
JapaneseVowels,classification,catboost,2,coefficient12,13,8,8,1.126327146650771,29.116372472577908,0.925858672604418,31.447966448998375,1.4129790039566599,RBF,1.350124560895123,0.3660072054578489,0.3609401179862991,2.1716603605486386,-0.005067087471549825,-0.013844228736456868,1.8056531550907897,-0.0028062352159183347,False,0.012988355335325889,0.012988355335325889,0.3609401179862991,21.146440600045025,155.14202665607445,validation_only
