dataset,problem_type,model,seed,feature,feature_index,empirical_rank,block_dimension,spectrum_entropy,largest_nonzero_singular_value,smallest_nonzero_singular_value,condition_proxy,mean_gram_diagonal,embedding_type,raw_input_block_orbit_relative_frobenius,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive,raw_one_block_orbit_disagreement,basis_disagreement_benefit,gram_one_block_validation_loss,gram_one_block_fit_seconds,raw_one_block_fit_seconds,selection_split
OnlineNewsPopularity,regression,tabm_d,0,timedelta,0,8,8,1.319821044816489,28.34283880342498,0.545777994510327,51.931076533883015,1.675022628773301,RBF,1.3361728017542305,7822.702107300139,7835.6642512381495,7895.6103562054295,12.96214393801074,0.0016569906101773298,72.90824890529075,0.17778706981220768,False,0.003247664634605935,0.003247664634605935,7835.6642512381495,1.3472414000425488,9.91015359875746,validation_only
OnlineNewsPopularity,regression,tabm_d,0,n_tokens_content,1,8,8,0.8456557413398731,37.66934157276484,0.09276663037359882,406.06564473732845,1.9077551527178525,RBF,1.4613614724883188,7822.702107300139,7829.52499091131,7895.6103562054295,6.822883611171164,0.0008721901355292636,72.90824890529075,0.0935817786548985,False,0.0028341844381835272,0.0028341844381835272,7829.52499091131,1.2772605440113693,8.802047236124054,validation_only
OnlineNewsPopularity,regression,tabm_d,0,n_unique_tokens,2,8,8,1.11695668441364,29.112901862261232,0.9133813770086809,31.873763353491867,1.4034988377397737,RBF,1.4746762445793342,7822.702107300139,7824.665854276704,7895.6103562054295,1.9637469765648348,0.00025103179817268867,72.90824890529075,0.026934496522002343,False,0.0032018243372361572,0.0032018243372361572,7824.665854276704,1.1449860769789666,9.92052909755148,validation_only
OnlineNewsPopularity,regression,tabm_d,0,n_non_stop_words,3,8,8,1.0791538859059795,32.0917921330683,0.29686184057840015,108.10346008278209,1.5532833324986028,RBF,1.4558598101995177,7822.702107300139,7803.97248920379,7895.6103562054295,-18.72961809634853,-0.002394264518761371,72.90824890529075,-0.2568929905404624,False,0.002997965383108641,0.002997965383108641,7803.97248920379,1.6434655711054802,11.738476743688807,validation_only
OnlineNewsPopularity,regression,tabm_d,0,n_non_stop_unique_tokens,4,8,8,0.917314931845971,34.86371171768651,0.3217991760479125,108.33996576950736,1.727590490223165,RBF,1.428443146257096,7822.702107300139,7824.801832159268,7895.6103562054295,2.09972485912931,0.0002684142678998154,72.90824890529075,0.02879955136293143,False,0.0030755011942767063,0.0030755011942767063,7824.801832159268,1.4749671439640224,10.778017778415233,validation_only
OnlineNewsPopularity,regression,tabm_d,0,num_hrefs,5,8,8,0.9024767191807747,35.237555770928125,0.20523957210727625,171.68987154441095,1.7047449213559513,RBF,1.3967483471308058,7822.702107300139,7814.1909016659565,7895.6103562054295,-8.51120563418226,-0.001088013517252512,72.90824890529075,-0.11673858256064393,False,0.003117980072599263,0.003117980072599263,7814.1909016659565,1.7992743239738047,11.303279696963727,validation_only
OnlineNewsPopularity,regression,tabm_d,0,num_self_hrefs,6,7,8,1.0354549810257827,32.89109064826739,1.0000000000000002,32.89109064826738,1.6966078697845806,RBF,1.3048158080777608,7822.702107300139,7820.23362516972,7895.6103562054295,-2.4684821304190336,-0.0003155536407446026,72.90824890529075,-0.03385737783423712,False,0.002722858975187488,0.002722858975187488,7820.23362516972,1.4487759529147297,10.388049517991021,validation_only
OnlineNewsPopularity,regression,tabm_d,0,num_imgs,7,5,8,0.15058454042770067,66.42868797599571,0.12298419427088203,540.1400429528487,4.455393042330632,RBF,1.413827806933223,7822.702107300139,7797.304640557959,7895.6103562054295,-25.39746674217986,-0.0032466360592306033,72.90824890529075,-0.34834832990121145,False,0.0034147500137896077,0.0034147500137896077,7797.304640557959,1.4479706869460642,11.078937894897535,validation_only
OnlineNewsPopularity,regression,tabm_d,0,num_videos,8,3,8,0.020192685019017984,83.2933865299397,0.2093500118365181,397.8666435184331,6.795247850383196,RBF,1.45976243338899,7822.702107300139,7835.043311687302,7895.6103562054295,12.341204387163089,0.0015776140031775322,72.90824890529075,0.16927034419924905,False,0.002531868283159832,0.002531868283159832,7835.043311687302,1.5318205021321774,10.264849078841507,validation_only
OnlineNewsPopularity,regression,tabm_d,0,average_token_length,9,8,8,1.0396376525653124,31.38505324855595,0.5780205213231475,54.29747230550289,1.554493252253525,RBF,1.372121667619627,7822.702107300139,7826.4591876918785,7895.6103562054295,3.7570803917396915,0.00048027910819122043,72.90824890529075,0.051531622939130155,False,0.0034594733553955787,0.0034594733553955787,7826.4591876918785,1.1131641929969192,10.09700153931044,validation_only
