dataset,problem_type,model,seed,feature,feature_index,empirical_rank,block_dimension,spectrum_entropy,largest_nonzero_singular_value,smallest_nonzero_singular_value,condition_proxy,mean_gram_diagonal,embedding_type,raw_input_block_orbit_relative_frobenius,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive,raw_one_block_orbit_disagreement,basis_disagreement_benefit,gram_one_block_validation_loss,gram_one_block_fit_seconds,raw_one_block_fit_seconds,selection_split
mfeat-fourier,classification,tabpfn_2_6,1,att1,0,8,8,1.1207841413757034,32.279895543951014,0.3230934855409263,99.90884059425616,1.7859793858197568,RBF,1.3401096899848284,0.32294317374139,0.3009155465776433,2.302573656302008,-0.022027627163746677,-0.06820898831379606,1.9796304825606181,-0.011127140826430557,False,0.014876077850637437,0.014876077850637437,0.3009155465776433,0.5240728580392897,6.785357078770176,validation_only
mfeat-fourier,classification,tabpfn_2_6,1,att2,1,8,8,1.1608545895717701,30.250645428607346,0.5915163878799373,51.14084080921094,1.6739144504989443,RBF,1.4090670241952958,0.32294317374139,0.2923701123617701,2.302573656302008,-0.030573061379619904,-0.09467009636841725,1.9796304825606181,-0.015443822293579846,False,0.016912136082760813,0.016912136082760813,0.2923701123617701,0.9277674988843501,6.204870438436046,validation_only
mfeat-fourier,classification,tabpfn_2_6,1,att3,2,8,8,1.1901967945265415,29.03048463142521,0.8436851455144658,34.409145148244704,1.5742581540762375,RBF,1.494212357082473,0.32294317374139,0.290672329578314,2.302573656302008,-0.03227084416307596,-0.09992731473221406,1.9796304825606181,-0.016301448400276287,False,0.017212680885517046,0.017212680885517046,0.290672329578314,1.1283284910023212,7.364906974602491,validation_only
mfeat-fourier,classification,tabpfn_2_6,1,att4,3,8,8,1.0613332736870342,31.111552506635473,0.6207758418133993,50.11720883943061,1.5215434175024025,RBF,1.4005350759237796,0.32294317374139,0.2890616890228268,2.302573656302008,-0.03388148471856317,-0.10491469544327685,1.9796304825606181,-0.017115055065598933,False,0.020574621590366847,0.020574621590366847,0.2890616890228268,0.6550450378563255,7.274253224954009,validation_only
mfeat-fourier,classification,tabpfn_2_6,1,att5,4,8,8,1.1466468844277338,30.09066306379238,0.6255519682754801,48.10257914581619,1.5083120468226774,RBF,1.2232023286415536,0.32294317374139,0.29139315970139446,2.302573656302008,-0.03155001403999552,-0.0976952498313542,1.9796304825606181,-0.015937324828008366,False,0.008706224009993779,0.008706224009993779,0.29139315970139446,0.9611067718360573,7.9747513888869435,validation_only
mfeat-fourier,classification,tabpfn_2_6,1,att6,5,8,8,1.1109165227238464,30.906114029375694,0.5011917038895058,61.66525461121628,1.5697279905930341,RBF,1.3382778009401584,0.32294317374139,0.2917619747463931,2.302573656302008,-0.031181198994996884,-0.09655320666405078,1.9796304825606181,-0.015751019834097796,False,0.009069074465381749,0.009069074465381749,0.2917619747463931,0.7148760021664202,7.055436128983274,validation_only
mfeat-fourier,classification,tabpfn_2_6,1,att7,6,8,8,0.802762727732178,40.57456731126333,0.07686260972370221,527.8843309785682,2.104985683929253,RBF,1.4355307624148965,0.32294317374139,0.29187914918787783,2.302573656302008,-0.03106402455351215,-0.09619037366118147,1.9796304825606181,-0.015691829776904306,False,0.017037341343904173,0.017037341343904173,0.29187914918787783,0.5207951420452446,6.429381171241403,validation_only
mfeat-fourier,classification,tabpfn_2_6,1,att8,7,8,8,1.2047070772505846,28.47403141521166,0.7502225525728434,37.954112839665605,1.6019326809925816,RBF,1.4117554228411526,0.32294317374139,0.28921731216971003,2.302573656302008,-0.03372586157167995,-0.10443280525473289,1.9796304825606181,-0.017036442845664877,False,0.02050540262630765,0.02050540262630765,0.28921731216971003,0.9070005731191486,6.681535846088082,validation_only
mfeat-fourier,classification,tabpfn_2_6,1,att9,8,8,8,1.0747031303929226,30.079152943548284,0.7345791853968188,40.94746154194331,1.5010851330844743,RBF,1.4617546737737435,0.32294317374139,0.3119108689743565,2.302573656302008,-0.011032304767033485,-0.034161752481778905,1.9796304825606181,-0.005572911138832025,False,0.014848552232387142,0.014848552232387142,0.3119108689743565,1.115414987085387,7.839602708816528,validation_only
mfeat-fourier,classification,tabpfn_2_6,1,att10,9,8,8,1.0001349056716244,33.8473763606542,0.25071769512970765,135.0019444903696,1.7263814038226686,RBF,1.4568125192662615,0.32294317374139,0.2994901602930886,2.302573656302008,-0.023453013448301363,-0.0726227254677392,1.9796304825606181,-0.011847167264248877,False,0.010276238325654576,0.010276238325654576,0.2994901602930886,1.173510320018977,7.6554063085932285,validation_only
mfeat-fourier,classification,tabpfn_2_6,1,att11,10,8,8,1.1590684813112848,30.037606541342996,0.5658977181257905,53.07956823156175,1.556947931692977,RBF,1.4651163135238132,0.32294317374139,0.2988965101303243,2.302573656302008,-0.024046663611065666,-0.07446097507644493,1.9796304825606181,-0.012147046543737657,False,0.007040210165530784,0.007040210165530784,0.2988965101303243,1.0942656369879842,8.211948958225548,validation_only
mfeat-fourier,classification,tabpfn_2_6,1,att12,11,8,8,1.1491170565500837,29.555600761329703,0.7322221649803796,40.36425305716014,1.525320639620397,RBF,1.4480075115404087,0.32294317374139,0.30263560360147823,2.302573656302008,-0.020307570139911746,-0.06288279731892976,1.9796304825606181,-0.010258263003529958,False,0.00692211718669416,0.00692211718669416,0.30263560360147823,0.9935786339920014,5.772611648077145,validation_only
mfeat-fourier,classification,tabpfn_2_6,1,att13,12,8,8,1.0745856041217179,32.31839402524568,0.30637493626099815,105.48641615289941,1.7374398085853788,RBF,1.5014118394609453,0.32294317374139,0.30352465994893046,2.302573656302008,-0.019418513792459513,-0.06012981654787875,1.9796304825606181,-0.009809160832551941,False,0.009917641628909013,0.009917641628909013,0.30352465994893046,0.9044873649254441,6.581045587779954,validation_only
mfeat-fourier,classification,tabpfn_2_6,1,att14,13,8,8,1.1054317258659816,30.835412374005397,0.5379775941590528,57.317279955136804,1.50133476144158,RBF,1.4001385798405646,0.32294317374139,0.30798651729854626,2.302573656302008,-0.014956656442843719,-0.046313585977268173,1.9796304825606181,-0.00755527689364408,False,0.00758242518438353,0.00758242518438353,0.30798651729854626,0.8244799140375108,5.506001272471622,validation_only
mfeat-fourier,classification,tabpfn_2_6,1,att15,14,8,8,1.2000133382530314,29.192446558424773,0.8073033874390156,36.16044105925419,1.5158243118056118,RBF,1.3649480716548625,0.32294317374139,0.30991101724048276,2.302573656302008,-0.013032156500907222,-0.04035433339533368,1.9796304825606181,-0.006583125798330984,False,0.002680255331694025,0.002680255331694025,0.30991101724048276,0.6710384748876095,6.298867895035073,validation_only
